Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,PLTR,QQQ,SPY,PLTR,QQQ,SPY,PLTR,QQQ,SPY,PLTR,QQQ,SPY,PLTR,QQQ,SPY
Date,,,,,,,,,,,,,,,
2025-01-02,75.19000244140625,510.2300109863281,584.6400146484375,76.52999877929688,516.6400146484375,591.1300048828125,72.41999816894531,505.7099914550781,580.5,76.19999694824219,514.2999877929688,589.3900146484375,72217200,36389800,50204000
2025-01-03,79.88999938964844,518.5800170898438,591.9500122070312,79.9800033569336,519.6500244140625,592.5999755859375,75.19000244140625,512.530029296875,586.4299926757812,75.38999938964844,513.3499755859375,587.530029296875,62415000,29059500,37888500
2025-01-06,75.91999816894531,524.5399780273438,595.3599853515625,80.05999755859375,527.9199829101562,599.7000122070312,74.61000061035156,522.030029296875,593.5999755859375,78.69000244140625,524.02001953125,596.27001953125,105619500,36109700,47679400
2025-01-07,69.98999786376953,515.1799926757812,588.6300048828125,75.38999938964844,525.989990234375,597.75,69.75,513.280029296875,586.780029296875,75.19999694824219,525.5900268554688,597.4199829101562,91727300,36690300,60393100
2025-01-08,68.2300033569336,515.27001953125,589.489990234375,69.52999877929688,516.9199829101562,590.5800170898438,66.51000213623047,510.57000732421875,585.2000122070312,68.12000274658203,515.0800170898438,588.7000122070312,91349500,30777800,47304700
2025-01-10,67.26000213623047,507.19000244140625,580.489990234375,68.19999694824219,511.5799865722656,585.9500122070312,65.04000091552734,503.9200134277344,578.5499877929688,66.01000213623047,511.4800109863281,585.8800048828125,78148600,40532500,73105000
2025-01-13,64.9800033569336,505.55999755859375,581.3900146484375,65.68000030517578,506.0199890136719,581.75,63.400001525878906,499.70001220703125,575.3499755859375,64.29000091552734,501.20001220703125,575.77001953125,69046300,31694200,47910100
2025-01-14,65.91000366210938,505.0799865722656,582.1900024414062,68.2300033569336,510.1600036621094,585.0,65.19000244140625,501.5899963378906,578.3499755859375,67.18000030517578,508.739990234375,584.3599853515625,56814900,33737200,48420600
2025-01-15,68.13999938964844,516.7000122070312,592.780029296875,68.8499984741211,517.8499755859375,593.9400024414062,67.08000183105469,511.4599914550781,589.2000122070312,68.55000305175781,513.030029296875,590.3300170898438,56025800,34957600,56900200
2025-01-16,69.23999786376953,513.0800170898438,591.6400146484375,71.43000030517578,519.0599975585938,594.3499755859375,68.36000061035156,512.9500122070312,590.9299926757812,69.08000183105469,518.97998046875,594.1699829101562,62908700,28229000,43319700
2025-01-17,71.7699966430664,521.739990234375,597.5800170898438,72.33999633789062,524.0700073242188,599.3599853515625,69.94999694824219,513.1099853515625,595.6099853515625,70.9000015258789,522.8499755859375,596.9600219726562,54754000,51837900,58070600
2025-01-21,73.06999969482422,524.7999877929688,603.0499877929688,73.63600158691406,525.969970703125,603.0599975585938,70.60099792480469,520.0599975585938,598.6699829101562,73.23999786376953,524.47998046875,600.6699829101562,56229000,23628000,42532900
2025-01-22,76.87000274658203,531.510009765625,606.4400024414062,77.16000366210938,533.8200073242188,607.8200073242188,73.80000305175781,529.260009765625,605.3599853515625,74.5,529.5700073242188,605.9199829101562,66876400,33593000,48196000
2025-01-23,78.9800033569336,532.6400146484375,609.75,79.0,532.760009765625,609.75,75.83999633789062,528.4500122070312,605.52001953125,76.04000091552734,529.0399780273438,605.7999877929688,55937900,23096600,41152100
2025-01-24,78.9800033569336,529.6300048828125,607.969970703125,82.23999786376953,533.7899780273438,610.780029296875,78.44000244140625,528.1500244140625,606.7999877929688,79.05000305175781,533.02001953125,609.8099975585938,77931900,19878300,34604700
2025-01-27,75.44000244140625,514.2100219726562,599.3699951171875,76.72000122070312,517.989990234375,599.6900024414062,72.66999816894531,510.1499938964844,594.6400146484375,74.06999969482422,511.0,594.8099975585938,76093300,60771700,70361100
2025-01-28,80.2300033569336,521.8099975585938,604.52001953125,80.73999786376953,523.0,605.3699951171875,74.04000091552734,511.7799987792969,597.25,75.54000091552734,515.219970703125,600.6199951171875,65916700,33194200,44433300
2025-01-29,79.76000213623047,520.8300170898438,601.8099975585938,80.81999969482422,522.5900268554688,604.1300048828125,77.80999755859375,516.9000244140625,599.219970703125,79.94999694824219,522.4600219726562,603.719970703125,49262200,26649000,37177400
