Date,Price
5/8/2026,"15,062.65"
5/7/2026,"15,040.25"
5/6/2026,"14,917.43"
5/5/2026,"14,495.77"
5/4/2026,"14,369.61"
4/30/2026,"14,442.56"
4/29/2026,"14,311.19"
4/28/2026,"14,329.34"
4/27/2026,"14,594.01"
4/24/2026,"14,409.07"
4/22/2026,"14,335.49"
4/21/2026,"14,375.40"
4/20/2026,"14,484.91"
4/17/2026,"14,587.93"
4/16/2026,"14,201.05"
4/15/2026,"14,252.38"
4/14/2026,"14,202.24"
4/13/2026,"14,058.51"
4/10/2026,"14,073.79"
4/9/2026,"13,689.00"
4/8/2026,"13,536.84"
4/7/2026,"12,921.56"
4/6/2026,"13,112.31"
4/3/2026,"12,936.35"
4/2/2026,"13,051.69"
4/1/2026,"12,937.87"
3/31/2026,"12,790.98"
3/30/2026,"12,626.35"
3/27/2026,"12,698.19"
3/26/2026,"12,727.06"
3/25/2026,"12,963.87"
3/24/2026,"12,930.16"
3/23/2026,"13,168.16"
3/19/2026,"13,047.72"
3/18/2026,"13,115.13"
3/17/2026,"13,217.60"
3/16/2026,"12,956.72"
3/13/2026,"13,092.93"
3/12/2026,"13,286.12"
3/11/2026,"13,200.38"
3/10/2026,"13,175.74"
3/9/2026,"12,702.00"
3/6/2026,"12,792.81"
3/5/2026,"13,078.93"
3/4/2026,"12,943.19"
3/3/2026,"12,933.40"
3/2/2026,"13,346.43"
2/27/2026,"13,717.81"
2/26/2026,"13,878.54"
2/25/2026,"13,809.88"
2/24/2026,"14,050.83"
2/23/2026,"14,061.71"
2/20/2026,"13,934.06"
2/19/2026,"13,804.21"
2/18/2026,"14,259.90"
2/17/2026,"14,227.29"
2/16/2026,"14,339.30"
2/13/2026,"14,180.69"
2/12/2026,"14,180.48"
2/11/2026,"13,787.82"
2/10/2026,"13,797.04"
2/9/2026,"13,838.38"
2/6/2026,"13,521.96"
2/5/2026,"13,589.14"
2/4/2026,"13,891.21"
2/3/2026,"13,875.32"
2/2/2026,"13,620.95"
1/30/2026,"13,838.29"
1/29/2026,"13,831.09"
1/28/2026,"13,407.44"
1/27/2026,"13,106.99"
1/26/2026,"13,177.32"
1/23/2026,"12,992.71"
1/22/2026,"12,851.49"
1/21/2026,"12,728.18"
1/20/2026,"12,805.81"
1/19/2026,"12,747.88"
1/16/2026,"12,668.52"
1/15/2026,"12,456.69"
1/14/2026,"12,369.89"
1/13/2026,"12,385.61"
1/12/2026,"12,254.83"
1/9/2026,"12,200.95"
1/8/2026,"12,087.97"
1/7/2026,"12,028.84"
1/6/2026,"12,023.78"
1/5/2026,"11,702.00"
1/2/2026,"11,498.38"
12/31/2025,"11,261.52"
12/30/2025,"11,220.17"
12/29/2025,"11,150.90"
12/26/2025,"11,294.37"
12/25/2025,"11,336.18"
12/24/2025,"11,340.10"
12/23/2025,"11,290.36"
12/22/2025,"11,311.06"
12/19/2025,"11,341.90"
12/18/2025,"11,335.05"
12/17/2025,"11,286.81"
12/16/2025,"11,348.83"
12/15/2025,"11,456.34"
12/12/2025,"11,311.31"
12/11/2025,"11,233.66"
12/10/2025,"11,193.88"
12/9/2025,"11,238.36"
12/8/2025,"11,189.50"
12/5/2025,"11,007.37"
12/4/2025,"10,918.51"
12/3/2025,"11,036.82"
12/2/2025,"11,123.47"
12/1/2025,"11,116.45"
11/28/2025,"10,898.70"
11/27/2025,"10,945.49"
11/26/2025,"10,914.65"
11/25/2025,"10,857.17"
11/24/2025,"10,888.02"
11/21/2025,"10,922.86"
11/20/2025,"10,979.73"
11/19/2025,"10,903.91"
11/18/2025,"10,728.60"
11/17/2025,"10,698.13"
11/14/2025,"10,565.74"
11/13/2025,"10,628.63"
11/12/2025,"10,640.86"
11/11/2025,"10,576.45"
11/10/2025,"10,789.03"
11/7/2025,"10,924.53"
11/6/2025,"11,073.27"
11/5/2025,"10,970.37"
11/4/2025,"10,914.10"
11/3/2025,"11,060.39"
10/31/2025,"10,971.52"
10/30/2025,"10,837.30"
10/28/2025,"10,871.08"
10/27/2025,"10,853.43"
10/24/2025,"10,941.79"
10/23/2025,"10,608.26"
10/22/2025,"10,551.34"
10/21/2025,"10,467.20"
10/20/2025,"10,484.39"
10/17/2025,"10,208.76"
10/16/2025,"10,370.78"
10/15/2025,"10,464.48"
10/14/2025,"10,316.40"
10/13/2025,"10,556.18"
10/10/2025,"10,720.36"
10/9/2025,"10,726.98"
10/8/2025,"10,756.27"
10/7/2025,"10,814.11"
10/6/2025,"10,734.87"
10/3/2025,"10,858.52"
10/2/2025,"11,082.63"
10/1/2025,"11,220.22"
9/30/2025,"11,012.12"
9/29/2025,"11,048.13"
9/26/2025,"11,151.20"
9/25/2025,"11,377.55"
9/24/2025,"11,366.93"
9/23/2025,"11,331.75"
9/22/2025,"11,468.07"
9/19/2025,"11,294.48"
9/18/2025,"11,048.11"
9/17/2025,"11,165.85"
9/16/2025,"11,182.96"
9/15/2025,"11,000.26"
9/12/2025,"10,372.04"
9/11/2025,"10,382.89"
9/10/2025,"10,586.32"
9/9/2025,"10,486.09"
9/8/2025,"10,449.36"
9/5/2025,"10,729.49"
9/4/2025,"10,828.93"
9/3/2025,"10,737.68"
9/2/2025,"10,877.52"
9/1/2025,"11,279.95"
8/29/2025,"11,288.05"
8/28/2025,"11,368.78"
8/27/2025,"11,359.01"
8/26/2025,"11,529.81"
8/25/2025,"11,477.80"
8/22/2025,"11,372.33"
8/21/2025,"11,313.90"
8/20/2025,"11,134.73"
8/19/2025,"10,962.02"
8/18/2025,"10,929.77"
8/15/2025,"10,870.57"
8/14/2025,"10,824.55"
8/13/2025,"10,949.95"
8/12/2025,"10,954.50"
8/11/2025,"11,038.32"
8/8/2025,"10,972.63"
8/7/2025,"10,956.05"
8/6/2025,"10,901.01"
8/5/2025,"10,849.96"
8/4/2025,"10,853.49"
8/1/2025,"10,746.98"
7/31/2025,"10,743.20"
7/30/2025,"10,618.97"
7/29/2025,"10,487.25"
7/28/2025,"10,542.09"
7/25/2025,"10,642.60"
7/24/2025,"10,689.05"
7/23/2025,"10,591.98"
7/22/2025,"10,616.09"
7/21/2025,"10,616.18"
7/18/2025,"10,366.16"
7/17/2025,"10,370.71"
7/16/2025,"10,121.52"
7/14/2025,"10,225.48"
7/11/2025,"10,358.46"
7/10/2025,"10,331.31"
7/9/2025,"10,167.26"
7/8/2025,"9,998.20"
7/7/2025,"10,107.68"
7/4/2025,"10,275.75"
7/3/2025,"10,228.39"
7/2/2025,"10,189.02"
7/1/2025,"10,080.35"
6/30/2025,"9,948.51"
6/27/2025,"9,404.89"
6/26/2025,"9,301.05"
6/25/2025,"9,418.52"
6/24/2025,"9,448.90"
6/23/2025,"9,141.31"
6/20/2025,"9,203.37"
6/19/2025,"9,102.02"
6/18/2025,"9,196.13"
6/17/2025,"9,339.59"
6/16/2025,"9,350.01"
6/13/2025,"9,311.88"
6/12/2025,"9,520.22"
6/11/2025,"9,686.11"
6/10/2025,"9,659.31"
6/5/2025,"9,486.56"
6/4/2025,"9,474.96"
6/3/2025,"9,277.01"
6/2/2025,"9,008.87"
5/30/2025,"9,019.57"
5/29/2025,"9,170.56"
5/28/2025,"9,177.70"
5/27/2025,"9,213.58"
5/26/2025,"9,345.15"
5/23/2025,"9,356.04"
5/22/2025,"9,475.21"
5/21/2025,"9,398.93"
5/20/2025,"9,514.01"
5/16/2025,"9,668.36"
5/15/2025,"9,541.30"
5/14/2025,"9,701.55"
5/13/2025,"9,700.17"
5/12/2025,"9,747.07"
5/9/2025,"9,390.51"
5/8/2025,"9,279.21"
5/7/2025,"9,074.62"
5/6/2025,"9,134.68"
5/5/2025,"9,112.19"
5/2/2025,"9,167.58"
4/30/2025,"9,078.43"
4/29/2025,"9,224.84"
4/28/2025,"9,306.96"
4/25/2025,"9,432.55"
4/24/2025,"9,490.90"
4/22/2025,"9,312.13"
4/21/2025,"9,321.64"
4/18/2025,"9,317.24"
4/17/2025,"9,396.02"
4/16/2025,"9,266.09"
4/15/2025,"9,393.79"
4/14/2025,"9,423.62"
4/11/2025,"9,380.95"
4/10/2025,"9,338.58"
4/9/2025,"9,275.50"
4/8/2025,"9,477.14"
4/7/2025,"9,407.17"
4/4/2025,"9,379.83"
4/3/2025,"9,484.26"
4/2/2025,"9,523.31"
3/28/2025,"9,659.48"
3/27/2025,"9,612.84"
3/26/2025,"9,649.53"
3/25/2025,"9,715.58"
3/24/2025,"9,299.36"
3/21/2025,"9,044.64"
3/20/2025,"9,810.94"
3/19/2025,"9,860.29"
3/18/2025,"10,802.23"
3/17/2025,"10,862.14"
3/14/2025,"10,840.59"
3/13/2025,"10,727.58"
3/12/2025,"10,580.26"
3/11/2025,"10,438.33"
3/10/2025,"10,422.24"
3/7/2025,"10,507.11"
3/6/2025,"10,459.08"
