Date,Volume
1/2/2018,"1,590,000,000"
1/3/2018,"1,790,000,000"
1/4/2018,"1,450,000,000"
1/5/2018,"1,120,000,000"
1/8/2018,"1,090,000,000"
1/9/2018,"1,200,000,000"
1/10/2018,"1,280,000,000"
1/11/2018,"1,370,000,000"
1/12/2018,"1,210,000,000"
1/15/2018,"1,530,000,000"
1/16/2018,"1,720,000,000"
1/17/2018,"1,500,000,000"
1/18/2018,"1,300,000,000"
1/19/2018,"1,470,000,000"
1/22/2018,"1,240,000,000"
1/23/2018,"1,380,000,000"
1/24/2018,"1,400,000,000"
1/25/2018,"1,330,000,000"
1/26/2018,"1,260,000,000"
1/29/2018,"1,250,000,000"
1/30/2018,"1,340,000,000"
1/31/2018,"1,140,000,000"
2/1/2018,"1,130,000,000"
2/2/2018,"851,230,000"
2/5/2018,"937,790,000"
2/6/2018,"1,280,000,000"
2/7/2018,"1,220,000,000"
2/8/2018,"1,130,000,000"
2/9/2018,"947,530,000"
2/12/2018,"846,850,000"
2/13/2018,"846,980,000"
2/14/2018,"884,870,000"
2/15/2018,"980,710,000"
2/16/2018,"977,490,000"
2/19/2018,"964,730,000"
2/20/2018,"1,120,000,000"
2/21/2018,"918,590,000"
2/22/2018,"916,950,000"
2/23/2018,"766,640,000"
2/26/2018,"921,180,000"
2/27/2018,"956,530,000"
2/28/2018,"974,340,000"
3/1/2018,"1,100,000,000"
3/2/2018,"840,010,000"
3/5/2018,"739,650,000"
3/6/2018,"996,350,000"
3/7/2018,"837,790,000"
3/8/2018,"719,870,000"
3/9/2018,"846,110,000"
3/12/2018,"1,030,000,000"
3/13/2018,"1,050,000,000"
3/14/2018,"988,890,000"
3/15/2018,"1,030,000,000"
3/16/2018,"907,640,000"
3/19/2018,"788,870,000"
3/20/2018,"933,860,000"
3/21/2018,"1,320,000,000"
3/22/2018,"1,300,000,000"
3/23/2018,"1,580,000,000"
3/26/2018,"1,820,000,000"
3/27/2018,"1,550,000,000"
3/28/2018,"1,440,000,000"
3/29/2018,"1,030,000,000"
3/30/2018,"927,870,000"
4/2/2018,"680,940,000"
4/3/2018,"972,810,000"
4/4/2018,"1,070,000,000"
4/5/2018,"1,360,000,000"
4/6/2018,"939,890,000"
4/9/2018,"1,110,000,000"
4/10/2018,"1,430,000,000"
4/11/2018,"1,470,000,000"
4/12/2018,"1,160,000,000"
4/13/2018,"869,900,000"
4/16/2018,"959,240,000"
4/17/2018,"1,520,000,000"
4/18/2018,"1,550,000,000"
4/19/2018,"1,130,000,000"
4/20/2018,"969,760,000"
4/24/2018,"883,350,000"
4/25/2018,"1,190,000,000"
4/26/2018,"915,270,000"
4/27/2018,"923,580,000"
4/30/2018,"925,420,000"
5/2/2018,"1,130,000,000"
5/3/2018,"1,110,000,000"
5/4/2018,"1,140,000,000"
5/7/2018,"813,330,000"
5/8/2018,"1,180,000,000"
5/9/2018,"1,260,000,000"
5/10/2018,"1,100,000,000"
5/11/2018,"942,020,000"
5/14/2018,"854,860,000"
5/15/2018,"1,050,000,000"
5/16/2018,"1,050,000,000"
5/17/2018,"932,750,000"
5/18/2018,"783,930,000"
5/21/2018,"811,860,000"
5/22/2018,"1,030,000,000"
5/23/2018,"1,100,000,000"
5/24/2018,"1,260,000,000"
5/25/2018,"1,000,000,000"
5/28/2018,"977,400,000"
5/29/2018,"925,310,000"
5/30/2018,"1,120,000,000"
5/31/2018,"1,290,000,000"
6/1/2018,"1,320,000,000"
6/4/2018,"917,680,000"
6/5/2018,"859,750,000"
6/6/2018,"1,120,000,000"
6/7/2018,"1,200,000,000"
6/8/2018,"1,070,000,000"
6/11/2018,"1,200,000,000"
6/12/2018,"905,890,000"
6/13/2018,"857,530,000"
6/14/2018,"478,600,000"
6/18/2018,"699,640,000"
6/19/2018,"954,060,000"
6/20/2018,"909,910,000"
6/21/2018,"822,430,000"
6/22/2018,"737,520,000"
6/25/2018,"1,360,000,000"
6/26/2018,"1,080,000,000"
6/27/2018,"1,390,000,000"
6/28/2018,"1,210,000,000"
6/29/2018,"1,010,000,000"
7/2/2018,"978,210,000"
7/3/2018,"942,950,000"
7/4/2018,"817,840,000"
7/5/2018,"1,310,000,000"
7/6/2018,"1,160,000,000"
7/9/2018,"1,380,000,000"
7/10/2018,"1,590,000,000"
7/11/2018,"1,790,000,000"
7/12/2018,"1,910,000,000"
7/13/2018,"1,000,000,000"
7/16/2018,"1,110,000,000"
7/17/2018,"1,340,000,000"
7/18/2018,"1,540,000,000"
7/19/2018,"1,160,000,000"
7/20/2018,"1,040,000,000"
7/23/2018,"1,120,000,000"
7/24/2018,"1,480,000,000"
7/25/2018,"1,620,000,000"
7/26/2018,"1,680,000,000"
7/27/2018,"1,200,000,000"
7/30/2018,"1,060,000,000"
7/31/2018,"1,240,000,000"
8/1/2018,"1,100,000,000"
8/2/2018,"1,140,000,000"
8/3/2018,"1,250,000,000"
8/6/2018,"1,160,000,000"
8/7/2018,"1,430,000,000"
8/8/2018,"1,300,000,000"
8/9/2018,"2,250,000,000"
8/10/2018,"2,350,000,000"
8/13/2018,"2,590,000,000"
8/14/2018,"1,820,000,000"
8/15/2018,"1,700,000,000"
8/16/2018,"1,530,000,000"
8/17/2018,"1,330,000,000"
8/20/2018,"388,950,000"
8/27/2018,"928,990,000"
8/28/2018,"1,250,000,000"
8/29/2018,"1,080,000,000"
8/31/2018,"960,910,000"
9/3/2018,"1,040,000,000"
9/4/2018,"868,920,000"
9/5/2018,"999,320,000"
9/6/2018,"775,440,000"
9/7/2018,"912,890,000"
9/10/2018,"918,610,000"
9/11/2018,"878,740,000"
9/12/2018,"1,080,000,000"
9/13/2018,"1,600,000,000"
9/14/2018,"1,550,000,000"
9/17/2018,"1,270,000,000"
9/18/2018,"1,260,000,000"
9/19/2018,"1,830,000,000"
9/20/2018,"2,190,000,000"
9/21/2018,"1,280,000,000"
9/24/2018,"1,870,000,000"
9/25/2018,"1,740,000,000"
9/26/2018,"1,160,000,000"
9/27/2018,"1,950,000,000"
9/28/2018,"2,020,000,000"
10/1/2018,"1,690,000,000"
10/2/2018,"1,290,000,000"
10/3/2018,"1,300,000,000"
10/4/2018,"1,290,000,000"
10/5/2018,"1,260,000,000"
10/8/2018,"1,410,000,000"
10/9/2018,"1,540,000,000"
10/10/2018,"1,450,000,000"
10/11/2018,"1,370,000,000"
10/12/2018,"1,840,000,000"
10/15/2018,"1,860,000,000"
10/16/2018,"1,510,000,000"
10/17/2018,"1,600,000,000"
10/18/2018,"1,280,000,000"
10/19/2018,"1,170,000,000"
10/22/2018,"1,070,000,000"
10/23/2018,"1,250,000,000"
10/24/2018,"993,470,000"
10/25/2018,"1,060,000,000"
10/26/2018,"1,070,000,000"
10/30/2018,"1,210,000,000"
10/31/2018,"1,380,000,000"
11/1/2018,"1,170,000,000"
11/2/2018,"1,500,000,000"
11/5/2018,"1,410,000,000"
11/6/2018,"1,360,000,000"
11/7/2018,"1,260,000,000"
11/8/2018,"1,300,000,000"
11/9/2018,"1,210,000,000"
11/12/2018,"955,590,000"
11/13/2018,"1,190,000,000"
11/14/2018,"1,390,000,000"
11/15/2018,"1,330,000,000"
11/16/2018,"994,150,000"
11/19/2018,"1,180,000,000"
11/20/2018,"1,620,000,000"
11/21/2018,"1,200,000,000"
11/22/2018,"902,860,000"
11/23/2018,"828,980,000"
11/26/2018,"1,420,000,000"
11/27/2018,"1,260,000,000"
11/28/2018,"1,260,000,000"
11/29/2018,"1,200,000,000"
11/30/2018,"1,650,000,000"
12/3/2018,"1,450,000,000"
12/4/2018,"1,390,000,000"
12/5/2018,"1,180,000,000"
12/6/2018,"1,160,000,000"
12/7/2018,"998,480,000"
12/10/2018,"846,930,000"
12/11/2018,"1,030,000,000"
12/12/2018,"1,300,000,000"
12/13/2018,"928,920,000"
12/14/2018,"1,040,000,000"
12/17/2018,"779,300,000"
12/18/2018,"1,030,000,000"
12/19/2018,"1,200,000,000"
12/20/2018,"1,120,000,000"
12/21/2018,"1,170,000,000"
12/24/2018,"721,910,000"
12/25/2018,"447,850,000"
12/26/2018,"457,080,000"
12/27/2018,"714,550,000"
12/28/2018,"648,650,000"
12/31/2018,"616,240,000"
1/2/2019,"771,040,000"
1/3/2019,"959,780,000"
1/4/2019,"918,290,000"
1/7/2019,"971,550,000"
1/8/2019,"981,650,000"
1/9/2019,"1,130,000,000"
1/10/2019,"1,020,000,000"
1/11/2019,"912,420,000"
1/14/2019,"937,270,000"
1/15/2019,"1,290,000,000"
1/16/2019,"1,670,000,000"
1/17/2019,"1,850,000,000"
1/18/2019,"1,440,000,000"
1/21/2019,"1,560,000,000"
1/22/2019,"1,620,000,000"
1/23/2019,"1,520,000,000"
1/24/2019,"1,600,000,000"
1/25/2019,"1,350,000,000"
1/28/2019,"1,280,000,000"
1/29/2019,"1,540,000,000"
1/30/2019,"1,640,000,000"
1/31/2019,"1,880,000,000"
2/1/2019,"1,430,000,000"
2/4/2019,"1,110,000,000"
2/5/2019,"1,540,000,000"
2/6/2019,"1,460,000,000"
2/7/2019,"1,420,000,000"
2/8/2019,"1,100,000,000"
2/11/2019,"1,300,000,000"
2/12/2019,"1,450,000,000"
2/13/2019,"1,550,000,000"
2/14/2019,"1,640,000,000"
2/15/2019,"1,300,000,000"
2/18/2019,"1,260,000,000"
2/19/2019,"1,180,000,000"
2/20/2019,"1,120,000,000"
2/21/2019,"1,070,000,000"
2/22/2019,"1,190,000,000"
2/25/2019,"1,710,000,000"
2/26/2019,"1,520,000,000"
2/27/2019,"1,550,000,000"
2/28/2019,"1,330,000,000"
3/1/2019,"1,390,000,000"
3/4/2019,"1,340,000,000"
3/5/2019,"2,010,000,000"
3/6/2019,"1,550,000,000"
3/7/2019,"1,530,000,000"
3/8/2019,"1,170,000,000"
3/11/2019,"1,100,000,000"
3/12/2019,"1,170,000,000"
3/13/2019,"1,220,000,000"
3/14/2019,"1,220,000,000"
3/15/2019,"1,510,000,000"
3/18/2019,"1,410,000,000"
3/19/2019,"1,670,000,000"
3/20/2019,"1,850,000,000"
3/21/2019,"1,550,000,000"
3/22/2019,"1,790,000,000"
3/25/2019,"1,630,000,000"
3/26/2019,"1,460,000,000"
3/27/2019,"2,010,000,000"
3/28/2019,"2,040,000,000"
