Date,Price,,,,
1/1/2018,104.93,,,,
1/2/2018,104.29,,,,
1/3/2018,104.89,,,,
1/4/2018,105.88,,,,
1/5/2018,105.2,,,,
1/8/2018,106.58,,,,
1/9/2018,105.78,,,,
1/10/2018,105.33,,,,
1/11/2018,105.78,,,,
1/12/2018,105.19,,,,
1/15/2018,105.47,,,,
1/16/2018,105.56,,,,
1/17/2018,105.16,,,,
1/18/2018,104.43,,,,
1/19/2018,104.35,,,,
1/22/2018,103.84,,,,
1/23/2018,104.52,,,,
1/24/2018,104.36,,,,
1/25/2018,104.89,,,,
1/26/2018,104.86,,,,
1/29/2018,104.14,,,,
1/30/2018,104.39,,,,
1/31/2018,105.37,,,,
2/1/2018,105.96,,,,
2/2/2018,105.08,,,,
2/5/2018,104.38,,,,
2/6/2018,104.03,,,,
2/7/2018,104.37,,,,
2/8/2018,103.79,,,,
2/9/2018,102.09,,,,
2/12/2018,101.86,,,,
2/13/2018,102.06,,,,
2/14/2018,100.82,,,,
2/15/2018,101.76,,,,
2/16/2018,102.68,,,,
2/19/2018,103.11,,,,
2/20/2018,102.26,,,,
2/21/2018,102.46,,,,
2/22/2018,102.77,,,,
2/23/2018,103.71,,,,
2/26/2018,104.34,,,,
2/27/2018,103.89,,,,
2/28/2018,104.13,,,,
3/1/2018,103.28,,,,
3/2/2018,102.69,,,,
3/5/2018,102.14,,,,
3/6/2018,102.52,,,,
3/7/2018,101.63,,,,
3/8/2018,101.12,,,,
3/9/2018,101.01,,,,
3/12/2018,101.62,,,,
3/13/2018,101.77,,,,
3/14/2018,100.54,,,,
3/15/2018,100.04,,,,
3/16/2018,100.59,,,,
3/19/2018,99.93,,,,
3/20/2018,99.99,,,,
3/21/2018,100.19,,,,
3/22/2018,100.04,,,,
3/23/2018,99.78,,,,
3/26/2018,99.55,,,,
3/27/2018,99.99,,,,
3/28/2018,100.32,,,,
3/29/2018,100.23,,,,
3/30/2018,100.27,,,,
4/2/2018,100.09,,,,
4/3/2018,100.09,,,,
4/4/2018,100.56,,,,
4/5/2018,101.33,,,,
4/6/2018,101.24,,,,
4/9/2018,97.25,,,,
4/10/2018,94.25,,,,
4/11/2018,95.25,,,,
4/12/2018,97.38,,,,
4/13/2018,96.5,,,,
4/16/2018,95.62,,,,
4/17/2018,96.25,,,,
4/18/2018,97.38,,,,
4/19/2018,97.25,,,,
4/20/2018,96.12,,,,
4/23/2018,96.75,,,,
4/24/2018,97,,,,
4/25/2018,95.75,,,,
4/26/2018,96,,,,
4/27/2018,96.25,,,,
4/30/2018,97.05,,,,
5/1/2018,96,,,,
5/2/2018,95.5,,,,
5/3/2018,95,,,,
5/4/2018,93.5,,,,
5/7/2018,93.5,,,,
5/8/2018,93.12,,,,
5/9/2018,91.5,,,,
5/10/2018,94.62,,,,
5/11/2018,95.75,,,,
5/14/2018,95,,,,
5/15/2018,93.12,,,,
5/16/2018,94,,,,
5/17/2018,93.25,,,,
5/18/2018,92.62,,,,
5/21/2018,92.75,,,,
5/22/2018,93.5,,,,
5/23/2018,94.88,,,,
5/24/2018,96,,,,
5/25/2018,95.88,,,,
5/28/2018,95.88,,,,
5/29/2018,96,,,,
5/30/2018,95.62,,,,
5/31/2018,95,,,,
6/1/2018,94.25,,,,
6/4/2018,94.75,,,,
6/5/2018,94.5,,,,
6/6/2018,94.5,,,,
6/7/2018,94.12,,,,
6/8/2018,93.38,,,,
6/11/2018,93.12,,,,
6/12/2018,92.88,,,,
6/13/2018,92.75,,,,
6/14/2018,94.12,,,,
6/15/2018,94,,,,
6/18/2018,93,,,,
6/19/2018,92.75,,,,
6/20/2018,94,,,,
6/21/2018,94.12,,,,
6/22/2018,94.75,,,,
6/25/2018,94.75,,,,
6/26/2018,94.75,,,,
6/27/2018,94.88,,,,
6/28/2018,95.5,,,,
6/29/2018,96.5,,,,
7/2/2018,96.38,,,,
7/3/2018,97.5,,,,
7/4/2018,97.5,,,,
7/5/2018,98.5,,,,
7/6/2018,98.38,,,,
7/9/2018,98.5,,,,
7/10/2018,99.75,,,,
7/11/2018,99.62,,,,
7/12/2018,99.75,,,,
7/13/2018,100.75,,,,
7/16/2018,100.5,,,,
7/17/2018,99.75,,,,
7/18/2018,99,,,,
7/19/2018,98.5,,,,
7/20/2018,99,,,,
7/23/2018,98.62,,,,
7/24/2018,98.5,,,,
7/25/2018,98.38,,,,
7/26/2018,98.88,,,,
7/27/2018,99,,,,
7/30/2018,99.25,,,,
7/31/2018,99.75,,,,
8/1/2018,98.75,,,,
8/2/2018,97.75,,,,
8/3/2018,97.88,,,,
8/6/2018,97.5,,,,
8/7/2018,97.25,,,,
8/8/2018,95.3,,,,
8/9/2018,94.75,,,,
8/10/2018,94.62,,,,
8/13/2018,93.75,,,,
8/14/2018,95.12,,,,
8/15/2018,95.12,,,,
8/16/2018,94.25,,,,
8/17/2018,94.62,,,,
8/20/2018,94.25,,,,
8/21/2018,94.38,,,,
8/22/2018,94.5,,,,
8/23/2018,94.5,,,,
8/24/2018,95,,,,
8/27/2018,94.62,,,,
8/28/2018,94.88,,,,
8/29/2018,94.88,,,,
8/30/2018,95.12,,,,
8/31/2018,95,,,,
9/3/2018,95,,,,
9/4/2018,93.75,,,,
9/5/2018,94,,,,
9/6/2018,93.88,,,,
9/7/2018,93.25,,,,
9/10/2018,92.5,,,,
9/11/2018,92.38,,,,
9/12/2018,93.12,,,,
9/13/2018,94,,,,
9/14/2018,94,,,,
9/17/2018,93.25,,,,
9/18/2018,93.38,,,,
9/19/2018,92.62,,,,
9/20/2018,92.88,,,,
9/21/2018,93.5,,,,
9/24/2018,93.62,,,,
9/25/2018,93.75,,,,
9/26/2018,94.25,,,,
9/27/2018,95.25,,,,
9/28/2018,96.12,,,,
10/1/2018,96,,,,
10/2/2018,95.5,,,,
10/3/2018,95.75,,,,
10/4/2018,93.62,,,,
10/5/2018,93.62,,,,
10/8/2018,93.38,,,,
10/9/2018,93,,,,
10/10/2018,93.5,,,,
10/11/2018,93,,,,
10/12/2018,93.62,,,,
10/15/2018,93.75,,,,
10/16/2018,93.75,,,,
10/17/2018,93.62,,,,
10/18/2018,92.88,,,,
10/19/2018,92.75,,,,
10/22/2018,92.88,,,,
10/23/2018,92.5,,,,
10/24/2018,93,,,,
10/25/2018,92.88,,,,
10/26/2018,93,,,,
10/29/2018,92.88,,,,
10/30/2018,92.88,,,,
10/31/2018,92.5,,,,
11/1/2018,92.38,,,,
11/2/2018,92.5,,,,
11/5/2018,92.12,,,,
11/6/2018,92.25,,,,
11/7/2018,91.62,,,,
11/8/2018,91,,,,
11/9/2018,90.12,,,,
11/12/2018,90.12,,,,
11/13/2018,90.38,,,,
11/14/2018,91,,,,
11/15/2018,91.12,,,,
11/16/2018,90.88,,,,
11/19/2018,91,,,,
11/20/2018,90.62,,,,
11/21/2018,91,,,,
11/22/2018,91,,,,
11/23/2018,91,,,,
11/26/2018,89.5,,,,
11/27/2018,89.5,,,,
11/28/2018,89.62,,,,
11/29/2018,89.62,,,,
11/30/2018,91.5,,,,
12/3/2018,92.5,,,,
12/4/2018,92.88,,,,
12/5/2018,92.25,,,,
12/6/2018,92,,,,
12/7/2018,92.88,,,,
12/10/2018,92.75,,,,
12/11/2018,92.75,,,,
12/12/2018,92.75,,,,
12/13/2018,93,,,,
12/14/2018,93.38,,,,
12/17/2018,93.5,,,,
12/18/2018,93.38,,,,
12/19/2018,93.5,,,,
12/20/2018,94,,,,
12/21/2018,93.88,,,,
12/24/2018,93.88,,,,
12/25/2018,93.88,,,,
12/26/2018,94,,,,
12/27/2018,93.88,,,,
12/28/2018,93.5,,,,
12/31/2018,93.75,,,,
1/1/2019,93.75,,,,
1/2/2019,93.88,,,,
1/3/2019,93.88,,,,
1/4/2019,93.88,,,,
1/7/2019,98.25,,,,
1/8/2019,97.5,,,,
1/9/2019,97.38,,,,
1/10/2019,96.5,,,,
