Date,Price
3/25/2019,101.25
3/26/2019,100.98
3/27/2019,101.36
3/28/2019,101.74
3/29/2019,101.56
4/1/2019,100.77
4/2/2019,100.75
4/3/2019,100.35
4/4/2019,100.44
4/5/2019,100.51
4/8/2019,101.35
4/9/2019,101.92
4/10/2019,101.98
4/11/2019,101.7
4/12/2019,101.24
4/15/2019,101.23
4/16/2019,100.91
4/17/2019,101.02
4/18/2019,101.32
4/19/2019,101.32
4/22/2019,101.97
4/23/2019,102.05
4/24/2019,102.44
4/25/2019,102.39
4/26/2019,102.77
4/29/2019,102.31
4/30/2019,102.45
5/1/2019,103.5
5/2/2019,102.99
5/3/2019,103.01
5/6/2019,103.37
5/7/2019,103.1
5/8/2019,103.03
5/9/2019,102.36
5/10/2019,102.64
5/13/2019,102.58
5/14/2019,102.37
5/15/2019,103.19
5/16/2019,103.56
5/17/2019,103.75
5/20/2019,104.14
5/21/2019,104.54
5/22/2019,104.64
5/23/2019,104.65
5/24/2019,104.36
5/27/2019,104.65
5/28/2019,104.9
5/29/2019,104.26
5/30/2019,104.68
5/31/2019,104.48
6/3/2019,104.53
6/4/2019,104.69
6/5/2019,105.33
6/6/2019,105.58
6/7/2019,105.9
6/10/2019,105.24
6/11/2019,106.27
6/12/2019,105.47
6/13/2019,105.79
6/14/2019,106.02
6/17/2019,106.28
6/18/2019,106.61
6/19/2019,107.35
6/20/2019,107.94
6/21/2019,108.29
6/24/2019,108.36
6/25/2019,108.29
6/26/2019,108.15
6/27/2019,108.37
6/28/2019,108.67
7/1/2019,108.84
7/2/2019,109.48
7/3/2019,109.64
7/4/2019,109.79
7/5/2019,109.37
7/8/2019,109.18
7/9/2019,108.79
7/10/2019,108.69
7/11/2019,108.38
7/12/2019,108.6
7/15/2019,108.85
7/16/2019,109.07
7/17/2019,109.03
7/18/2019,108.92
7/19/2019,108.98
7/22/2019,108.7
7/23/2019,108.19
7/24/2019,108.88
7/25/2019,108.59
7/26/2019,108.65
7/29/2019,108.91
7/30/2019,108.71
7/31/2019,108.74
8/1/2019,108.91
8/2/2019,108.77
8/5/2019,108.95
8/6/2019,109.14
8/7/2019,109.55
8/8/2019,109.63
8/9/2019,110.48
8/12/2019,111.02
8/13/2019,110.86
8/14/2019,112.26
8/15/2019,112.65
8/16/2019,112.29
8/19/2019,112.14
8/20/2019,112.22
8/21/2019,111.96
8/22/2019,111.75
8/23/2019,112.49
8/26/2019,111.47
8/27/2019,112.44
8/28/2019,112.76
8/29/2019,112.58
8/30/2019,112.73
9/2/2019,113.25
9/3/2019,114.21
9/4/2019,114.92
9/5/2019,114.71
9/6/2019,114.47
9/9/2019,114.04
9/10/2019,112.95
9/11/2019,113.15
9/12/2019,113.42
9/13/2019,111.62
9/16/2019,113.2
9/17/2019,113.04
9/18/2019,113.32
9/19/2019,113.22
9/20/2019,113.66
9/23/2019,114.36
9/24/2019,114.69
9/25/2019,113.06
9/26/2019,113.99
9/27/2019,113.84
9/30/2019,113.5
10/1/2019,112.83
10/2/2019,113.23
10/3/2019,112.58
10/4/2019,113.09
10/7/2019,113.66
10/8/2019,113.52
10/9/2019,113.36
10/10/2019,112.73
10/11/2019,113.11
10/14/2019,112.91
10/15/2019,112.62
10/16/2019,113.06
10/17/2019,113.31
10/18/2019,113.31
10/21/2019,112.95
10/22/2019,112.75
10/23/2019,113.09
10/24/2019,113.39
10/25/2019,113.03
10/28/2019,112.99
10/29/2019,113.33
10/30/2019,113.47
10/31/2019,114.45
11/1/2019,115.44
11/4/2019,115.59
11/5/2019,114.86
11/6/2019,114.72
11/7/2019,113.96
11/8/2019,114.34
11/11/2019,114.06
11/12/2019,114.48
11/13/2019,113.91
11/14/2019,114.74
11/15/2019,114.81
11/18/2019,114.64
11/19/2019,115.47
11/20/2019,115.43
11/21/2019,116.32
11/22/2019,117.38
11/25/2019,117.02
11/26/2019,117.23
11/27/2019,117.74
11/28/2019,117.52
11/29/2019,117.76
12/2/2019,117.38
12/3/2019,117.55
12/4/2019,118.57
12/5/2019,118.36
12/6/2019,118.19
12/9/2019,118.36
12/10/2019,118.6
12/11/2019,119.45
12/12/2019,119.36
12/13/2019,120.49
12/16/2019,119.46
12/17/2019,120.19
12/18/2019,120.02
12/19/2019,120.03
12/20/2019,119.55
12/23/2019,118.92
12/24/2019,119.77
12/25/2019,119.78
12/26/2019,119.73
12/27/2019,119.57
12/30/2019,120.04
12/31/2019,119.97
1/1/2020,120
1/2/2020,119.2
1/3/2020,119.26
1/6/2020,118.35
1/7/2020,118.82
1/8/2020,118.69
1/9/2020,119.17
1/10/2020,119.43
1/13/2020,119.74
1/14/2020,119.41
1/15/2020,119.59
1/16/2020,119.75
1/17/2020,120.02
1/20/2020,119.91
1/21/2020,119.81
1/22/2020,119.91
1/23/2020,120.41
1/24/2020,120.39
1/27/2020,120.19
1/28/2020,120.3
1/29/2020,120.67
1/30/2020,121.85
1/31/2020,121.72
2/3/2020,122
2/4/2020,120.65
2/5/2020,120.7
2/6/2020,120.88
2/7/2020,120.5
2/10/2020,120.99
2/11/2020,121.55
2/12/2020,121.54
2/13/2020,121.74
2/14/2020,121.77
2/17/2020,121.9
2/18/2020,122.07
2/19/2020,122.24
2/20/2020,122.73
2/21/2020,123.93
2/24/2020,124.11
2/25/2020,124.09
2/26/2020,123.06
2/27/2020,121.34
2/28/2020,120.61
3/2/2020,121.06
3/3/2020,123.84
3/4/2020,125.43
3/5/2020,125.34
3/6/2020,124.7
3/9/2020,118.24
3/10/2020,120.26
3/11/2020,118.16
3/12/2020,112.64
3/13/2020,114.39
3/16/2020,111.23
3/17/2020,111.21
3/18/2020,106.36
3/19/2020,105.64
3/20/2020,109.13
3/23/2020,108.5
3/24/2020,111.39
3/25/2020,115.69
3/26/2020,116.8
3/27/2020,117.68
3/30/2020,114.35
3/31/2020,115.98
4/1/2020,114.2
4/2/2020,116.85
4/3/2020,118.73
4/6/2020,119.09
4/7/2020,119.9
4/8/2020,118.58
4/9/2020,118.84
4/10/2020,119.12
4/13/2020,118.94
4/14/2020,120.13
4/15/2020,118.03
4/16/2020,118.38
4/17/2020,118.19
4/20/2020,117.49
4/21/2020,114.94
4/22/2020,114.76
4/23/2020,116.8
4/24/2020,117.01
4/27/2020,116.95
4/28/2020,115.74
4/29/2020,116.35
4/30/2020,117.01
5/1/2020,116.64
5/4/2020,116.35
5/5/2020,116.87
5/6/2020,117.05
5/7/2020,116.74
5/8/2020,117.74
5/11/2020,117.6
5/12/2020,118.59
5/13/2020,119
5/14/2020,118.78
5/15/2020,119.25
5/18/2020,121.08
5/19/2020,122
5/20/2020,123.38
5/21/2020,124.59
5/22/2020,124.3
5/25/2020,124.21
5/26/2020,124.41
5/27/2020,125.17
5/28/2020,125.23
5/29/2020,125.09
6/1/2020,125.23
6/2/2020,126.06
6/3/2020,126.04
6/4/2020,126.11
6/5/2020,123.93
6/8/2020,124.51
6/9/2020,124.21
6/10/2020,124.61
6/11/2020,123.16
6/12/2020,122.94
6/15/2020,121.41
6/16/2020,124.34
6/17/2020,124.07
6/18/2020,123.87
6/19/2020,124.45
6/22/2020,124.83
6/23/2020,125.56
6/24/2020,125.62
6/25/2020,124.9
6/26/2020,125.61
6/29/2020,125.26
6/30/2020,123.84
7/1/2020,124.22
7/2/2020,124.72
7/3/2020,124.91
7/6/2020,123.97
7/7/2020,123.53
7/8/2020,123.67
7/9/2020,124.08
7/10/2020,123.58
7/13/2020,124.08
7/14/2020,123.96
7/15/2020,124.18
7/16/2020,124.37
7/17/2020,124.98
7/20/2020,125.03
7/21/2020,125.54
7/22/2020,124.87
7/23/2020,125.45
7/24/2020,124.74
7/27/2020,124.9
7/28/2020,124.58
7/29/2020,124.59
7/30/2020,124.83
7/31/2020,124.8
8/3/2020,125.17
8/4/2020,125.59
8/5/2020,126.95
8/6/2020,127.77
8/7/2020,127.44
8/10/2020,128.22
8/11/2020,128.1
8/12/2020,127.85
8/13/2020,127.89
8/14/2020,126.96
8/17/2020,126.06
8/18/2020,126.59
8/19/2020,126.32
8/20/2020,125.19
8/21/2020,125.42
8/24/2020,125.18
8/25/2020,124.98
8/26/2020,124.03
8/27/2020,124.12
8/28/2020,124.17
8/31/2020,124.65
9/1/2020,124.84
9/2/2020,125.39
9/3/2020,125.17
9/4/2020,124.09
9/7/2020,123.41
9/8/2020,122.95
9/9/2020,122.84
9/10/2020,123.08
9/11/2020,123.25
9/14/2020,123.19
9/15/2020,123.4
9/16/2020,123.68
9/17/2020,123.77
9/18/2020,123.55
9/21/2020,122.42
9/22/2020,122.33
9/23/2020,122.58
9/24/2020,121.72
9/25/2020,121.98
9/28/2020,122.25
9/29/2020,122.46
9/30/2020,122.17
10/1/2020,123.8
10/2/2020,122.78
10/5/2020,122.98
10/6/2020,123.01
10/7/2020,122.97
10/8/2020,123.29
10/9/2020,123.57
10/12/2020,123.86
10/13/2020,123.78
10/14/2020,123.6
10/15/2020,123.6
10/16/2020,123.71
10/19/2020,123.8
10/20/2020,123.75
10/21/2020,123.77
10/22/2020,123.17
10/23/2020,123.12
10/26/2020,123.22
10/27/2020,123.03
10/28/2020,122.09
10/29/2020,121.28
10/30/2020,121.67
11/2/2020,121.19
11/3/2020,121.26
11/4/2020,123.57
11/5/2020,124.91
11/6/2020,124.65
11/9/2020,125.09
11/10/2020,125.08
11/11/2020,124.9
11/12/2020,125.2
11/13/2020,125.58
11/16/2020,125.76
11/17/2020,125.97
11/18/2020,125.89
11/19/2020,126.11
11/20/2020,126.12
11/23/2020,125.99
11/24/2020,125.95
11/25/2020,125.96
11/26/2020,126.34
11/27/2020,126.04
11/30/2020,126.03
12/1/2020,126
12/2/2020,125.82
12/3/2020,125.97
12/4/2020,126.1
12/7/2020,126.09
12/8/2020,125.76
12/9/2020,125.92
12/10/2020,125.76
12/11/2020,126.2
12/14/2020,126.53
12/15/2020,126.94
12/16/2020,126.4
12/17/2020,126.93
12/18/2020,126.67
12/21/2020,126.36
12/22/2020,126.44
12/23/2020,125.97
12/24/2020,124.89
12/25/2020,125.01
12/28/2020,126.49
12/29/2020,126.76
12/30/2020,126.14
12/31/2020,126.33
1/1/2021,126.33
1/4/2021,126.18
1/5/2021,125.65
1/6/2021,124.78
1/7/2021,124.25
1/8/2021,124.48
1/11/2021,124.85
1/12/2021,123.6
1/13/2021,124.36
1/14/2021,124.81
1/15/2021,124.67
1/18/2021,124.25
1/19/2021,124.86
1/20/2021,124.85
1/21/2021,124.44
1/22/2021,123.3
1/25/2021,123.59
1/26/2021,123.42
1/27/2021,123.92
1/28/2021,124
1/29/2021,124.14
2/1/2021,124.66
2/2/2021,124.04
2/3/2021,123.44
2/4/2021,123.5
2/5/2021,123.44
2/8/2021,122.94
2/9/2021,122.89
2/10/2021,122.61
2/11/2021,122.94
2/12/2021,123.05
2/15/2021,122.04
2/16/2021,120.78
2/17/2021,120.33
2/18/2021,120.86
2/19/2021,120.43
2/22/2021,120.73
2/23/2021,120.03
2/24/2021,119.46
