Date,Price,,
1/2/2018,111.7,,
1/3/2018,112.22,,
1/4/2018,112.17,,
1/5/2018,112.4,,
1/8/2018,112.17,,
1/9/2018,111.64,,
1/10/2018,111.18,,
1/11/2018,111.69,,
1/12/2018,111.96,,
1/15/2018,111.88,,
1/16/2018,111.46,,
1/17/2018,111.05,,
1/18/2018,110.51,,
1/19/2018,109.9,,
1/22/2018,109.88,,
1/23/2018,110.2,,
1/24/2018,109.82,,
1/25/2018,110.12,,
1/26/2018,110.33,,
1/29/2018,110,,
1/30/2018,109.47,,
1/31/2018,109.91,,
2/1/2018,110.13,,
2/2/2018,108.88,,
2/5/2018,108.26,,
2/6/2018,108.03,,
2/7/2018,108.43,,
2/8/2018,106.98,,
2/9/2018,106.13,,
2/12/2018,106.04,,
2/13/2018,105.71,,
2/14/2018,104.92,,
2/15/2018,105.41,,
2/16/2018,106.33,,
2/19/2018,106.73,,
2/20/2018,105.81,,
2/21/2018,106.05,,
2/22/2018,105.45,,
2/23/2018,105.26,,
2/26/2018,105.82,,
2/27/2018,105.61,,
2/28/2018,105.45,,
3/1/2018,105.18,,
3/2/2018,105,,
3/5/2018,105,,
3/6/2018,105.14,,
3/7/2018,105,,
3/8/2018,105,,
3/9/2018,105,,
3/12/2018,105,,
3/13/2018,104.12,,
3/14/2018,104.45,,
3/15/2018,104.31,,
3/16/2018,104.06,,
3/19/2018,103.62,,
3/20/2018,103.44,,
3/21/2018,103.57,,
3/22/2018,103.88,,
3/23/2018,103.56,,
3/26/2018,103.3,,
3/27/2018,103.49,,
3/28/2018,103.39,,
3/29/2018,103.61,,
4/3/2018,103.66,,
4/4/2018,103.65,,
4/5/2018,103.5,,
4/6/2018,103.89,,
4/9/2018,103.5,,
4/10/2018,103.5,,
4/11/2018,102.83,,
4/12/2018,102.98,,
4/13/2018,103.2,,
4/16/2018,102.65,,
4/17/2018,102.61,,
4/18/2018,103.52,,
4/19/2018,103.43,,
4/20/2018,102.86,,
4/23/2018,102.61,,
4/24/2018,102.91,,
4/25/2018,102.8,,
4/26/2018,102.93,,
4/27/2018,102.62,,
4/30/2018,102.57,,
5/2/2018,101.15,,
5/3/2018,100.8,,
5/4/2018,100.12,,
5/7/2018,99.37,,
5/8/2018,98.29,,
5/9/2018,97.94,,
5/10/2018,97.97,,
5/11/2018,97.98,,
5/14/2018,97.5,,
5/15/2018,94.1,,
5/16/2018,94.23,,
5/17/2018,93.79,,
5/18/2018,93.53,,
5/22/2018,92.24,,
5/23/2018,93.45,,
5/24/2018,94.99,,
5/25/2018,96.34,,
5/28/2018,96.3,,
5/29/2018,97.74,,
5/30/2018,98,,
5/31/2018,96.68,,
6/1/2018,94.47,,
6/4/2018,94.68,,
6/5/2018,94.49,,
6/6/2018,94.18,,
6/7/2018,95.22,,
6/8/2018,94.94,,
6/11/2018,94.29,,
6/12/2018,93.21,,
6/13/2018,92.5,,
6/14/2018,93.09,,
6/15/2018,92.5,,
6/18/2018,90.65,,
6/19/2018,89.33,,
