Date,Price
1/2/2018,116.48%
1/3/2018,116.92%
1/4/2018,116.97%
1/5/2018,117.12%
1/8/2018,117.19%
1/9/2018,116.98%
1/10/2018,116.13%
1/11/2018,116.15%
1/12/2018,116.20%
1/15/2018,116.28%
1/16/2018,116.03%
1/17/2018,115.92%
1/18/2018,115.43%
1/19/2018,114.60%
1/22/2018,114.33%
1/23/2018,115.36%
1/24/2018,114.80%
1/25/2018,114.59%
1/26/2018,114.77%
1/29/2018,114.70%
1/30/2018,114.12%
1/31/2018,114.43%
2/1/2018,114.48%
2/2/2018,114.10%
2/5/2018,112.68%
2/6/2018,112.43%
2/7/2018,112.84%
2/8/2018,112.25%
2/9/2018,110.80%
2/12/2018,110.27%
2/13/2018,110.35%
2/14/2018,109.94%
2/15/2018,109.70%
2/16/2018,110.80%
2/19/2018,110.95%
2/20/2018,110.84%
2/21/2018,110.42%
2/22/2018,109.72%
2/23/2018,109.62%
2/26/2018,110.14%
2/27/2018,110.30%
2/28/2018,109.50%
3/1/2018,109.53%
3/2/2018,109.20%
3/5/2018,109.30%
3/6/2018,109.50%
3/7/2018,109.39%
3/8/2018,109.14%
3/9/2018,109.07%
3/12/2018,109.09%
3/13/2018,108.55%
3/14/2018,108.62%
3/15/2018,108.57%
3/16/2018,108.43%
3/19/2018,107.93%
3/20/2018,107.50%
3/21/2018,107.68%
3/22/2018,108.14%
3/23/2018,107.67%
3/26/2018,107.62%
3/27/2018,107.48%
3/28/2018,107.53%
3/29/2018,108.00%
4/3/2018,108.05%
4/4/2018,108.05%
4/5/2018,108.00%
4/6/2018,108.13%
4/9/2018,108.40%
4/10/2018,108.00%
4/11/2018,107.05%
4/12/2018,107.00%
4/13/2018,107.35%
4/16/2018,107.40%
4/17/2018,107.15%
4/18/2018,107.72%
4/19/2018,108.53%
4/20/2018,107.65%
4/23/2018,107.15%
4/24/2018,107.04%
4/25/2018,107.29%
4/26/2018,107.45%
4/27/2018,106.90%
4/30/2018,106.70%
5/2/2018,106.17%
5/3/2018,104.13%
5/4/2018,103.48%
5/7/2018,102.86%
5/8/2018,102.58%
5/9/2018,101.18%
5/10/2018,101.49%
5/11/2018,102.17%
5/14/2018,101.62%
5/15/2018,100.05%
5/16/2018,97.56%
5/17/2018,97.14%
5/18/2018,96.82%
5/22/2018,96.00%
5/23/2018,96.15%
5/24/2018,99.55%
5/25/2018,98.60%
5/28/2018,99.65%
5/29/2018,101.63%
5/30/2018,101.47%
5/31/2018,101.21%
6/1/2018,98.14%
6/4/2018,98.55%
6/5/2018,98.55%
6/6/2018,97.27%
6/7/2018,98.24%
6/8/2018,97.87%
6/11/2018,97.72%
6/12/2018,96.72%
6/13/2018,95.77%
6/14/2018,95.77%
6/15/2018,95.27%
6/18/2018,94.82%
6/19/2018,93.54%
6/20/2018,94.69%
6/21/2018,95.32%
6/22/2018,97.85%
6/25/2018,99.27%
6/26/2018,96.08%
6/27/2018,96.40%
6/28/2018,96.94%
6/29/2018,97.41%
7/2/2018,98.15%
7/3/2018,97.38%
7/4/2018,97.33%
7/5/2018,99.00%
7/6/2018,99.00%
7/9/2018,99.32%
7/10/2018,97.27%
7/11/2018,95.47%
7/12/2018,93.60%
7/13/2018,94.16%
7/16/2018,94.45%
7/17/2018,95.00%
7/18/2018,96.20%
7/19/2018,96.52%
7/20/2018,97.12%
7/23/2018,97.37%
7/24/2018,97.23%
7/25/2018,96.30%
7/26/2018,96.71%
7/27/2018,96.07%
7/30/2018,95.83%
7/31/2018,94.92%
8/1/2018,94.65%
8/2/2018,92.63%
8/3/2018,93.63%
8/6/2018,93.80%
8/7/2018,93.56%
8/8/2018,94.00%
8/9/2018,92.57%
8/10/2018,91.80%
8/13/2018,85.60%
8/14/2018,81.74%
8/16/2018,83.51%
8/20/2018,90.61%
8/21/2018,88.18%
8/22/2018,90.25%
8/23/2018,92.73%
8/24/2018,90.50%
8/27/2018,90.50%
8/28/2018,90.50%
8/29/2018,90.50%
8/30/2018,87.01%
8/31/2018,85.45%
9/3/2018,84.00%
9/4/2018,84.00%
9/5/2018,84.08%
9/6/2018,85.73%
9/7/2018,87.35%
9/10/2018,86.49%
9/11/2018,86.43%
9/12/2018,86.92%
9/13/2018,86.88%
9/17/2018,91.17%
9/18/2018,91.11%
9/19/2018,91.29%
9/20/2018,93.14%
9/24/2018,93.05%
9/25/2018,93.52%
9/26/2018,93.23%
9/27/2018,93.54%
9/28/2018,94.60%
10/1/2018,93.92%
10/2/2018,93.09%
10/4/2018,91.00%
10/5/2018,90.07%
10/8/2018,89.68%
10/9/2018,89.57%
10/10/2018,90.34%
10/11/2018,90.83%
10/12/2018,92.44%
10/15/2018,92.35%
10/16/2018,92.08%
10/17/2018,92.77%
10/18/2018,92.48%
10/19/2018,92.17%
10/22/2018,92.02%
10/23/2018,91.61%
10/24/2018,91.72%
10/25/2018,91.95%
10/26/2018,92.24%
10/29/2018,92.42%
10/30/2018,92.49%
11/1/2018,92.75%
11/2/2018,92.29%
11/5/2018,93.55%
11/6/2018,94.04%
11/7/2018,94.68%
11/8/2018,93.75%
11/9/2018,94.00%
11/12/2018,94.50%
11/13/2018,93.53%
11/14/2018,93.17%
11/15/2018,92.97%
11/16/2018,92.89%
11/19/2018,92.21%
11/20/2018,91.89%
11/21/2018,91.01%
11/22/2018,91.00%
11/23/2018,90.93%
11/26/2018,89.96%
11/27/2018,89.82%
11/28/2018,88.79%
11/29/2018,90.76%
11/30/2018,90.66%
12/3/2018,91.72%
12/4/2018,91.76%
12/5/2018,91.30%
12/6/2018,91.10%
12/7/2018,91.24%
12/10/2018,91.97%
12/11/2018,92.20%
12/12/2018,92.11%
12/13/2018,92.77%
12/14/2018,93.16%
12/17/2018,93.48%
12/18/2018,93.73%
