Date,Price,,,,
1/1/2018,173.625,,,,
1/2/2018,173.625,,,,
1/3/2018,173.75,,,,
1/4/2018,173.875,,,,
1/5/2018,174,,,,
1/8/2018,174.625,,,,
1/9/2018,174.5,,,,
1/10/2018,174,,,,
1/11/2018,174,,,,
1/12/2018,173.875,,,,
1/15/2018,174,,,,
1/16/2018,174.125,,,,
1/17/2018,174.125,,,,
1/18/2018,173.125,,,,
1/19/2018,172.75,,,,
1/22/2018,172.5,,,,
1/23/2018,172.75,,,,
1/24/2018,172.375,,,,
1/25/2018,172.375,,,,
1/26/2018,172.5,,,,
1/29/2018,171.75,,,,
1/30/2018,171.875,,,,
1/31/2018,172.25,,,,
2/1/2018,172.375,,,,
2/2/2018,172,,,,
2/5/2018,171.625,,,,
2/6/2018,171.375,,,,
2/7/2018,171.75,,,,
2/8/2018,170.875,,,,
2/9/2018,170,,,,
2/12/2018,170.375,,,,
2/13/2018,169.625,,,,
2/14/2018,169,,,,
2/15/2018,169.25,,,,
2/16/2018,169.375,,,,
2/19/2018,169.625,,,,
2/20/2018,169.5,,,,
2/21/2018,169.25,,,,
2/22/2018,169.125,,,,
2/23/2018,169.375,,,,
2/26/2018,169.75,,,,
2/27/2018,169.75,,,,
2/28/2018,169.5,,,,
3/1/2018,168.875,,,,
3/2/2018,168.625,,,,
3/5/2018,168.5,,,,
3/6/2018,168.375,,,,
3/7/2018,168,,,,
3/8/2018,167.75,,,,
3/9/2018,167.5,,,,
3/12/2018,167.5,,,,
3/13/2018,167.5,,,,
3/14/2018,167.125,,,,
3/15/2018,166.625,,,,
3/16/2018,166.875,,,,
3/19/2018,166.75,,,,
3/20/2018,166.25,,,,
3/21/2018,166.375,,,,
3/22/2018,166.5,,,,
3/23/2018,166.25,,,,
3/26/2018,166.125,,,,
3/27/2018,166.375,,,,
3/28/2018,166.625,,,,
3/29/2018,166.5,,,,
3/30/2018,166.5,,,,
4/2/2018,166.5,,,,
4/3/2018,166.625,,,,
4/4/2018,166.875,,,,
4/5/2018,167,,,,
4/6/2018,167.125,,,,
4/9/2018,163.875,,,,
4/10/2018,160,,,,
4/11/2018,160.5,,,,
4/12/2018,162.125,,,,
4/13/2018,161.5,,,,
4/16/2018,160.75,,,,
4/17/2018,161,,,,
4/18/2018,161.5,,,,
4/19/2018,161.625,,,,
4/20/2018,161,,,,
4/23/2018,161.5,,,,
4/24/2018,161.625,,,,
4/25/2018,161.25,,,,
4/26/2018,161,,,,
4/27/2018,161.25,,,,
4/30/2018,161.75,,,,
5/1/2018,161.25,,,,
5/2/2018,160.75,,,,
5/3/2018,160.5,,,,
5/4/2018,159.75,,,,
5/7/2018,159.625,,,,
5/8/2018,159.75,,,,
5/9/2018,158.5,,,,
5/10/2018,160.125,,,,
5/11/2018,161.375,,,,
5/14/2018,161.625,,,,
5/15/2018,160.5,,,,
