Date,Price
1/1/2018,111.88
1/2/2018,112.12
1/3/2018,112.25
1/4/2018,112.62
1/5/2018,112.75
1/8/2018,113.88
1/9/2018,113.12
1/10/2018,112.38
1/11/2018,112.38
1/12/2018,112.25
1/15/2018,112.5
1/16/2018,112.75
1/17/2018,112.38
1/18/2018,111.5
1/19/2018,110.62
1/22/2018,110.5
1/23/2018,111.38
1/24/2018,110.88
1/25/2018,111.5
1/26/2018,112
1/29/2018,110.5
1/30/2018,111.12
1/31/2018,112
2/1/2018,112.88
2/2/2018,111.88
2/5/2018,111.38
2/6/2018,110.88
2/7/2018,111.75
2/8/2018,111.75
2/9/2018,108.88
2/12/2018,109
2/13/2018,108.38
2/14/2018,107.75
2/15/2018,108.38
2/16/2018,109.12
2/19/2018,109.5
2/20/2018,109.12
2/21/2018,109.25
2/22/2018,109.12
2/23/2018,110.25
2/26/2018,111.12
2/27/2018,110.75
2/28/2018,110.38
3/1/2018,109.62
3/2/2018,109.25
3/5/2018,109.38
3/6/2018,109.38
3/7/2018,108.88
3/8/2018,108.75
3/9/2018,108.62
3/12/2018,108.75
3/13/2018,108.75
3/14/2018,108.38
3/15/2018,107.88
3/16/2018,108
3/19/2018,107.75
3/20/2018,106.75
3/21/2018,107
3/22/2018,107.25
3/23/2018,106.75
3/26/2018,106.62
3/27/2018,107.12
3/28/2018,107.62
3/29/2018,107.62
3/30/2018,107.62
4/2/2018,107.62
4/3/2018,108.25
4/4/2018,109
4/5/2018,109.75
4/6/2018,110.25
4/9/2018,106
4/10/2018,102.25
4/11/2018,103.25
4/12/2018,105.5
4/13/2018,104.75
4/16/2018,104
4/17/2018,104.38
4/18/2018,105.25
4/19/2018,105.38
4/20/2018,104.25
4/23/2018,104.5
4/24/2018,104.38
4/25/2018,103.75
4/26/2018,104
4/27/2018,104.25
4/30/2018,105
5/1/2018,104.25
5/2/2018,103.75
5/3/2018,102.8
5/4/2018,102
5/7/2018,101.75
5/8/2018,101.8
5/9/2018,99.62
5/10/2018,102.75
5/11/2018,103.62
5/14/2018,103.25
5/15/2018,101.75
5/16/2018,102
5/17/2018,101.62
5/18/2018,101.38
5/21/2018,101.12
5/22/2018,101.5
5/23/2018,102.5
5/24/2018,103.62
5/25/2018,103.75
5/28/2018,103.75
5/29/2018,103.88
5/30/2018,103.62
5/31/2018,103.25
6/1/2018,102.5
6/4/2018,102.5
6/5/2018,102.5
6/6/2018,102.5
6/7/2018,102
6/8/2018,101.5
6/11/2018,101.5
6/12/2018,101
6/13/2018,100.5
6/14/2018,101.75
6/15/2018,102
6/18/2018,101.25
6/19/2018,100.88
6/20/2018,101.88
6/21/2018,102
6/22/2018,102.88
6/25/2018,102.88
6/26/2018,103
6/27/2018,103.38
6/28/2018,103.75
6/29/2018,104.5
7/2/2018,104.88
7/3/2018,105.5
7/4/2018,105.5
7/5/2018,106.5
7/6/2018,106.5
7/9/2018,107.25
7/10/2018,107.88
7/11/2018,107.62
7/12/2018,108
7/13/2018,108.5
7/16/2018,108.5
7/17/2018,107.5
7/18/2018,106.62
7/19/2018,106.38
7/20/2018,106.75
7/23/2018,106.88
7/24/2018,106.5
7/25/2018,105.88
7/26/2018,106.75
7/27/2018,106.75
7/30/2018,107
7/31/2018,107.25
8/1/2018,106.75
8/2/2018,106.25
8/3/2018,105.88
8/6/2018,105.88
8/7/2018,105.62
8/8/2018,103.62
8/9/2018,103.25
8/10/2018,103.38
8/13/2018,102
8/14/2018,102.88
8/15/2018,102.88
8/16/2018,102.38
8/17/2018,102.5
8/20/2018,102.75
8/21/2018,102.5
8/22/2018,103.12
8/23/2018,103
8/24/2018,103.25
8/27/2018,102.88
8/28/2018,103.5
8/29/2018,103.5
8/30/2018,103.88
8/31/2018,103.62
9/3/2018,103.5
9/4/2018,102.5
9/5/2018,102.5
9/6/2018,102.75
9/7/2018,102.62
9/10/2018,101.88
9/11/2018,102.12
9/12/2018,102.88
9/13/2018,103.25
9/14/2018,103.38
9/17/2018,102.88
9/18/2018,103
9/19/2018,102.12
9/20/2018,102.62
9/21/2018,103
9/24/2018,103
9/25/2018,103.25
9/26/2018,103.62
9/27/2018,104.75
9/28/2018,105.25
10/1/2018,105.12
10/2/2018,104.75
10/3/2018,104.88
10/4/2018,103
10/5/2018,102.75
10/8/2018,102.75
10/9/2018,102
10/10/2018,102.25
10/11/2018,101.88
10/12/2018,102.12
10/15/2018,102.5
10/16/2018,102.5
10/17/2018,103
10/18/2018,101.75
10/19/2018,101.62
10/22/2018,101.75
10/23/2018,101.5
10/24/2018,102
10/25/2018,101.62
10/26/2018,101.75
10/29/2018,101.75
10/30/2018,102
10/31/2018,101.75
11/1/2018,101.5
11/2/2018,101.62
11/5/2018,101.25
11/6/2018,101.38
11/7/2018,101.25
11/8/2018,100.62
11/9/2018,100
11/12/2018,99.88
11/13/2018,100.25
11/14/2018,100.62
11/15/2018,101.38
11/16/2018,101.25
11/19/2018,101
11/20/2018,100.75
