Date,Price,,,,,,,,
1/29/2021,96.74%,,,,,,,,
2/1/2021,96.99%,,,,,,,,
2/2/2021,97.00%,,,,,,,,
2/3/2021,97.06%,,,,,,,,
2/4/2021,96.98%,,,,,,,,
2/5/2021,96.98%,,,,,,,,
2/8/2021,96.76%,,,,,,,,
2/9/2021,96.57%,,,,,,,,
2/10/2021,96.30%,,,,,,,,
2/11/2021,96.24%,,,,,,,,
2/12/2021,96.07%,,,,,,,,
2/15/2021,95.61%,,,,,,,,
2/16/2021,95.82%,,,,,,,,
2/17/2021,94.69%,,,,,,,,
2/18/2021,94.40%,,,,,,,,
2/19/2021,94.23%,,,,,,,,
2/22/2021,94.09%,,,,,,,,
2/23/2021,93.77%,,,,,,,,
2/24/2021,93.87%,,,,,,,,
2/25/2021,93.56%,,,,,,,,
2/26/2021,91.52%,,,,,,,,
3/1/2021,92.30%,,,,,,,,
3/2/2021,92.49%,,,,,,,,
3/3/2021,93.17%,,,,,,,,
3/4/2021,93.31%,,,,,,,,
3/5/2021,92.77%,,,,,,,,
3/8/2021,92.12%,,,,,,,,
3/9/2021,91.82%,,,,,,,,
3/10/2021,92.07%,,,,,,,,
3/11/2021,92.82%,,,,,,,,
3/12/2021,92.85%,,,,,,,,
3/15/2021,92.38%,,,,,,,,
3/16/2021,92.36%,,,,,,,,
3/17/2021,92.19%,,,,,,,,
3/18/2021,91.83%,,,,,,,,
3/19/2021,91.34%,,,,,,,,
3/22/2021,91.41%,,,,,,,,
3/23/2021,91.45%,,,,,,,,
3/24/2021,91.44%,,,,,,,,
3/25/2021,91.35%,,,,,,,,
3/26/2021,91.25%,,,,,,,,
3/29/2021,91.50%,,,,,,,,
3/30/2021,91.61%,,,,,,,,
3/31/2021,91.38%,,,,,,,,
4/1/2021,91.48%,,,,,,,,
4/6/2021,91.68%,,,,,,,,
4/7/2021,91.39%,,,,,,,,
4/8/2021,91.57%,,,,,,,,
4/9/2021,91.69%,,,,,,,,
4/12/2021,91.57%,,,,,,,,
4/13/2021,91.59%,,,,,,,,
4/14/2021,91.65%,,,,,,,,
4/15/2021,91.70%,,,,,,,,
4/16/2021,91.92%,,,,,,,,
4/19/2021,92.41%,,,,,,,,
4/20/2021,92.30%,,,,,,,,
4/21/2021,92.20%,,,,,,,,
4/22/2021,92.14%,,,,,,,,
4/23/2021,92.08%,,,,,,,,
4/26/2021,92.19%,,,,,,,,
4/27/2021,92.12%,,,,,,,,
4/28/2021,91.89%,,,,,,,,
4/29/2021,91.71%,,,,,,,,
4/30/2021,91.63%,,,,,,,,
5/3/2021,91.48%,,,,,,,,
5/4/2021,91.59%,,,,,,,,
5/5/2021,91.92%,,,,,,,,
5/6/2021,92.37%,,,,,,,,
5/7/2021,93.02%,,,,,,,,
5/10/2021,93.68%,,,,,,,,
5/11/2021,93.61%,,,,,,,,
5/12/2021,93.43%,,,,,,,,
5/13/2021,93.20%,,,,,,,,
5/14/2021,93.00%,,,,,,,,
5/17/2021,92.82%,,,,,,,,
5/18/2021,92.77%,,,,,,,,
5/19/2021,92.73%,,,,,,,,
