Date,Price,,
9/10/2020,101.19%,,
9/11/2020,101.07%,,
9/14/2020,101.33%,,
9/15/2020,101.10%,,
9/16/2020,101.17%,,
9/17/2020,101.06%,,
9/18/2020,97.00%,,
9/21/2020,101.27%,,
9/22/2020,100.61%,,
9/23/2020,100.61%,,
9/24/2020,100.31%,,
9/25/2020,100.13%,,
9/28/2020,100.02%,,
9/29/2020,96.23%,,
9/30/2020,94.97%,,
10/1/2020,97.51%,,
10/2/2020,98.23%,,
10/5/2020,98.34%,,
10/6/2020,98.40%,,
10/7/2020,98.49%,,
10/8/2020,98.36%,,
10/9/2020,98.18%,,
10/12/2020,98.46%,,
10/13/2020,98.51%,,
10/14/2020,98.49%,,
10/15/2020,97.55%,,
10/16/2020,96.80%,,
10/19/2020,96.98%,,
10/20/2020,96.89%,,
10/21/2020,96.85%,,
10/22/2020,96.39%,,
10/23/2020,96.11%,,
10/26/2020,96.09%,,
10/27/2020,94.76%,,
10/28/2020,95.39%,,
10/29/2020,94.64%,,
10/30/2020,94.39%,,
11/2/2020,93.30%,,
11/3/2020,92.93%,,
11/4/2020,93.19%,,
11/5/2020,93.93%,,
11/6/2020,94.14%,,
11/9/2020,94.14%,,
11/10/2020,94.34%,,
11/11/2020,97.59%,,
11/12/2020,97.76%,,
11/13/2020,97.67%,,
11/16/2020,97.51%,,
11/17/2020,97.16%,,
11/18/2020,96.71%,,
11/19/2020,96.89%,,
11/20/2020,96.73%,,
11/23/2020,96.43%,,
11/24/2020,96.48%,,
11/25/2020,96.88%,,
11/26/2020,96.85%,,
11/27/2020,96.90%,,
11/30/2020,96.51%,,
12/1/2020,96.58%,,
12/2/2020,96.38%,,
12/3/2020,96.87%,,
12/4/2020,98.83%,,
12/7/2020,99.09%,,
12/8/2020,99.25%,,
12/9/2020,99.26%,,
12/10/2020,99.73%,,
12/11/2020,99.16%,,
12/14/2020,99.12%,,
12/15/2020,99.23%,,
12/16/2020,99.61%,,
12/17/2020,99.97%,,
12/18/2020,100.17%,,
12/21/2020,100.46%,,
12/22/2020,100.04%,,
12/23/2020,99.89%,,
12/28/2020,99.86%,,
12/29/2020,99.86%,,
12/30/2020,99.84%,,
1/4/2021,100.53%,,
1/5/2021,100.60%,,
1/6/2021,100.59%,,
1/7/2021,100.62%,,
1/8/2021,100.74%,,
1/11/2021,100.79%,,
1/12/2021,100.90%,,
1/13/2021,100.92%,,
1/14/2021,101.40%,,
1/15/2021,101.99%,,
1/18/2021,102.49%,,
1/19/2021,102.31%,,
1/20/2021,102.17%,,
1/21/2021,102.18%,,
1/22/2021,101.92%,,
1/25/2021,101.46%,,
1/26/2021,101.01%,,
1/27/2021,101.33%,,
1/28/2021,100.78%,,
1/29/2021,101.12%,,
2/1/2021,101.32%,,
2/2/2021,101.36%,,
2/3/2021,101.54%,,
2/4/2021,101.33%,,
2/5/2021,101.42%,,
2/8/2021,101.28%,,
2/9/2021,101.07%,,
2/10/2021,100.84%,,
2/11/2021,100.63%,,
2/12/2021,100.48%,,
2/15/2021,99.80%,,
2/16/2021,99.73%,,
2/17/2021,98.95%,,
2/18/2021,98.83%,,
2/19/2021,98.82%,,
2/22/2021,98.82%,,
2/23/2021,98.83%,,
2/24/2021,98.80%,,
2/25/2021,98.36%,,
2/26/2021,96.13%,,
3/1/2021,96.82%,,
3/2/2021,97.03%,,
3/3/2021,97.62%,,
3/4/2021,97.46%,,
3/5/2021,96.71%,,
3/8/2021,96.11%,,
3/9/2021,95.78%,,
3/10/2021,96.05%,,
3/11/2021,96.40%,,
3/12/2021,96.42%,,
3/15/2021,96.09%,,
3/16/2021,96.28%,,
3/17/2021,95.02%,,
3/18/2021,94.43%,,
3/19/2021,94.42%,,
3/22/2021,94.37%,,
3/23/2021,94.57%,,
3/24/2021,94.48%,,
3/25/2021,94.48%,,
3/26/2021,94.28%,,
3/29/2021,94.52%,,
3/30/2021,94.56%,,
3/31/2021,94.15%,,
4/1/2021,94.56%,,
4/6/2021,94.54%,,
4/7/2021,94.58%,,
4/8/2021,94.81%,,
4/9/2021,94.87%,,
4/12/2021,94.86%,,
4/13/2021,94.76%,,
4/14/2021,94.94%,,
