Date,Price,,,
4/30/2021,100.21,,,
5/3/2021,100.52,,,
5/4/2021,100.45,,,
5/5/2021,100.42,,,
5/6/2021,100.6,,,
5/7/2021,100.69,,,
5/10/2021,100.59,,,
5/11/2021,100.8,,,
5/12/2021,100.81,,,
5/13/2021,100.73,,,
5/14/2021,100.7,,,
5/17/2021,100.56,,,
5/18/2021,100.745,,,
5/19/2021,100.76,,,
5/20/2021,100.73,,,
5/21/2021,100.745,,,
5/25/2021,100.86,,,
5/26/2021,100.93,,,
5/27/2021,100.97,,,
5/28/2021,101.01,,,
5/31/2021,101.14,,,
6/1/2021,101.1,,,
6/2/2021,101.19,,,
6/3/2021,101.07,,,
6/4/2021,101.23,,,
6/7/2021,101.06,,,
6/8/2021,101.31,,,
6/9/2021,101.27,,,
6/10/2021,101.35,,,
6/11/2021,101.6,,,
6/14/2021,102.31,,,
6/15/2021,102.21,,,
6/16/2021,102.06,,,
6/17/2021,101.78,,,
6/18/2021,101.65,,,
6/21/2021,101.79,,,
6/22/2021,101.94,,,
6/23/2021,101.9,,,
6/24/2021,101.92,,,
6/25/2021,101.93,,,
6/28/2021,101.79,,,
6/29/2021,101.78,,,
6/30/2021,101.81,,,
7/1/2021,102.02,,,
7/2/2021,102.01,,,
7/5/2021,102.02,,,
7/6/2021,102.02,,,
7/7/2021,102.02,,,
7/8/2021,102.09,,,
7/9/2021,102.01,,,
7/12/2021,101.89,,,
7/13/2021,101.89,,,
7/14/2021,101.87,,,
7/15/2021,101.92,,,
7/16/2021,102.03,,,
7/19/2021,102.03,,,
7/20/2021,101.99,,,
7/21/2021,102.02,,,
7/22/2021,101.93,,,
7/23/2021,101.63,,,
7/26/2021,101.65,,,
7/27/2021,101.99,,,
7/28/2021,101.97,,,
7/29/2021,101.96,,,
7/30/2021,101.98,,,
8/2/2021,101.91,,,
8/3/2021,101.91,,,
8/4/2021,101.92,,,
8/5/2021,102.08,,,
8/6/2021,102.02,,,
8/9/2021,102.03,,,
8/10/2021,101.99,,,
8/11/2021,101.95,,,
8/12/2021,101.96,,,
8/13/2021,101.83,,,
8/16/2021,101.98,,,
8/17/2021,101.99,,,
8/18/2021,101.88,,,
8/19/2021,101.82,,,
8/20/2021,101.8,,,
8/23/2021,101.81,,,
8/24/2021,101.8,,,
8/25/2021,101.81,,,
8/26/2021,101.96,,,
8/27/2021,101.95,,,
8/30/2021,101.99,,,
8/31/2021,102.09,,,
9/1/2021,101.93,,,
9/2/2021,102.07,,,
9/3/2021,102.11,,,
9/6/2021,102.06,,,
9/7/2021,102.1,,,
9/8/2021,102.09,,,
9/9/2021,102.13,,,
9/10/2021,102.25,,,
9/13/2021,102.28,,,
9/14/2021,102.33,,,
9/15/2021,102.33,,,
9/16/2021,102.37,,,
9/17/2021,102.38,,,
9/20/2021,102.33,,,
9/21/2021,102.34,,,
9/22/2021,102.33,,,
9/23/2021,102.28,,,
9/24/2021,102.08,,,
9/27/2021,102.12,,,
9/28/2021,101.36,,,
9/29/2021,101.05,,,
9/30/2021,101.14,,,
10/1/2021,100.99,,,
10/4/2021,100.55,,,
10/5/2021,100.58,,,
10/6/2021,100.55,,,
10/7/2021,100.68,,,
10/8/2021,100.72,,,
10/11/2021,100.55,,,
10/12/2021,100.55,,,
10/13/2021,100.57,,,
10/14/2021,100.68,,,
10/15/2021,100.85,,,
10/18/2021,100.63,,,
10/19/2021,100.88,,,
10/20/2021,100.87,,,
10/21/2021,100.73,,,
10/22/2021,100.7,,,
10/25/2021,100.49,,,
10/26/2021,100.65,,,
10/27/2021,100.87,,,
10/28/2021,100.54,,,
10/29/2021,100.53,,,
11/1/2021,100.35,,,
11/2/2021,100.36,,,
11/3/2021,100.35,,,
11/4/2021,100.38,,,
11/5/2021,100.3,,,
11/8/2021,100.27,,,
11/9/2021,100.09,,,
11/10/2021,100.14,,,
11/11/2021,99.77,,,
11/12/2021,99.29,,,
11/15/2021,99.25,,,
11/16/2021,99.63,,,
11/17/2021,98.95,,,
11/18/2021,99.11,,,
11/19/2021,99.37,,,
11/22/2021,98.97,,,
11/23/2021,98.9,,,
11/24/2021,98.91,,,
11/25/2021,98.9,,,
11/26/2021,98.5,,,
11/29/2021,98.09,,,
11/30/2021,98.15,,,
12/1/2021,98.22,,,
12/2/2021,98.1,,,
12/3/2021,98.27,,,
12/6/2021,98.09,,,
12/7/2021,98.27,,,
12/8/2021,98.27,,,
12/9/2021,98.26,,,
12/10/2021,98.47,,,
12/13/2021,98.17,,,
12/14/2021,98.7,,,
12/15/2021,98.7,,,
12/16/2021,99.41,,,
12/17/2021,99.23,,,
12/20/2021,99.22,,,
12/21/2021,99.26,,,
12/22/2021,99.38,,,
12/23/2021,99.33,,,
12/27/2021,99.39,,,
12/28/2021,99.39,,,
12/29/2021,99.39,,,
12/30/2021,99.36,,,
1/3/2022,99.44,,,
1/4/2022,99.28,,,
1/5/2022,99.28,,,
1/6/2022,98.9,,,
1/7/2022,98.92,,,
1/10/2022,98.86,,,
1/11/2022,98.81,,,
1/12/2022,98.63,,,
1/13/2022,98.6,,,
1/14/2022,98.62,,,
1/17/2022,98.73,,,
1/18/2022,98.58,,,
1/19/2022,98.53,,,
1/20/2022,97.99,,,
1/21/2022,98.07,,,
1/24/2022,97.99,,,
1/25/2022,97.74,,,
1/26/2022,97.3,,,
1/27/2022,96.82,,,
1/28/2022,97.12,,,
1/31/2022,97.3,,,
2/1/2022,97.31,,,
2/2/2022,97.16,,,
2/3/2022,97.19,,,
2/4/2022,97.23,,,
2/7/2022,96.66,,,
2/8/2022,96.33,,,
2/9/2022,96.29,,,
2/10/2022,96.3,,,
2/11/2022,95.85,,,
2/14/2022,95.58,,,
2/15/2022,95.62,,,
2/16/2022,95.62,,,
2/17/2022,95.72,,,
2/18/2022,95.9,,,
2/21/2022,95.46,,,
2/22/2022,95.01,,,
2/23/2022,94.95,,,
2/24/2022,95.29,,,
2/25/2022,92.09,,,
2/28/2022,90.53,,,
