model,rmse,mae,r2,corr,direction_accuracy,n_features,selected_alpha
GLOBAL_EQUITY_RISK,1.3678165481340254,1.027879473949,0.06418086290878389,0.3622617057404531,0.55,4,172.25859653987874
ALL,1.386676443862841,1.0444950229115204,0.03819619481181702,0.21941644453209896,0.4875,53,547.8901179593945
PRICE_MACRO_ALL,1.3974382327326171,1.0559723132800007,0.023209433098612564,0.18127145866082853,0.5,36,690.5513520162331
CRYPTO,1.4064612873018878,1.0522527579165737,0.010554721703963321,0.22978370350168753,0.575,2,547.8901179593945
VOLUME_ALL,1.410636877787204,1.054477670978549,0.0046709461852662,0.10044077206368107,0.525,17,615.0985788580505
LOCAL_EQUITY_VOLUME,1.410970773032817,1.056702104131721,0.004199705179517732,0.22618052829443447,0.4875,3,1552.225357427048
REGIONAL_MARKET_VOLUME,1.414449066171288,1.0567019799772244,-0.0007159949870529925,0.09963068056802729,0.55,5,1956.3983435170649
LOCAL_CURRENCY,1.4160693752446303,1.0625139670621793,-0.003010030134532604,0.04886611609904239,0.55,5,488.02515836544336
CRYPTO_VOLUME,1.416756851847231,1.0603033470888819,-0.003984153748978203,0.0416790455075394,0.5,2,1742.6333860096543
LOCAL_RATES,1.4169407960593958,1.0607804121529003,-0.004244874652065134,0.12097030667497556,0.5,4,2196.3853724165515
RUSSIA_CREDIT,1.4170858314723034,1.0608696422696249,-0.004450470432419751,0.03804835926757457,0.5,2,870.3591361485165
REGIONAL_EQUITY,1.4173095543064937,1.0611081681917687,-0.004767651283159369,0.06396687230193235,0.5,5,24945.081352303165
COMMODITIES,1.417391686146985,1.061291514150213,-0.004884105458317967,0.015023931517731062,0.5,3,100000.0
GLOBAL_RATES,1.4174689956463187,1.0610984575060816,-0.004993728234440331,-0.2458129557303081,0.5,3,100000.0
COMMODITY_VOLUME,1.4198143453794267,1.0663005949047384,-0.008322212711123544,0.005836367611217864,0.4875,3,217.11179456945052
REGIONAL_ALL,1.4199691134708043,1.0620369489829138,-0.008542050763018505,-0.01079658742736678,0.5,20,2196.3853724165515
REGIONAL_BOND_YIELDS_EX_RUSSIA,1.421008350114856,1.066761404177195,-0.01001883978502982,-0.0932821346604329,0.45,5,1742.6333860096543
REGIONAL_ICE_INDICES,1.4245590640008274,1.0633285744408387,-0.015072671451705766,-0.08162555704191687,0.475,3,547.8901179593945
GLOBAL_EQUITY_VOLUME,1.424668565114516,1.0623373499717748,-0.015228727964537114,-0.1023096558532606,0.45,4,690.5513520162331
REGIONAL_CREDIT_ALL,1.4257047676545818,1.0675643311294807,-0.0167060753014161,-0.10535439538231783,0.475,10,1382.6221737646592
