,GLOBAL_PC1,GLOBAL_PC2,GLOBAL_PC3,GLOBAL_PC4,GLOBAL_PC5
GLOBAL__CRYPTO__SOL,0.1637185003056277,-0.09870528944801299,-0.27894226298296043,0.3644644988641915,0.05322361654819729
GLOBAL__MARKET_USD__FM,0.33926803515456694,0.016347821995394404,-0.02857146299275073,-0.1820051699300474,-0.17096432924610244
GLOBAL__MARKET_USD__FTMC,0.3173201997936952,-0.11439858892311769,0.33619157387612325,0.04012611956647518,-0.11625708067470518
GLOBAL__MARKET_USD__EEM,0.3909929261042688,-0.015061260140247763,-0.051433025929846846,-0.21200234569448267,-0.051322627060312556
GLOBAL__US_YIELD_BPS_CHG__US5Y,0.07734855249179753,0.5757813602321881,0.11326158455376834,0.21124309723546494,0.16353668524549872
GLOBAL__US_YIELD_BPS_CHG__US2Y,0.05335456411182669,0.2636864435362881,0.06832983587125155,0.028698946395455473,-0.034089687348997325
GLOBAL__US_YIELD_BPS_CHG__US10Y,0.09139998554339722,0.5683136132553571,0.10353951613838301,0.19805306848925897,0.1802518356191361
GLOBAL__COMMODITY__Brent,0.161074662354277,0.14168371720617004,-0.01199309717149223,-0.09547897462155602,0.4469654624964285
GLOBAL__COMMODITY__Gold,0.09742404333023548,-0.3055093647432591,-0.0451748291916676,-0.19100706536708376,0.5087001176863141
GLOBAL__COMMODITY__Copper,0.21807917301775753,-0.08042561831428625,0.010658980706013007,-0.17953051156970765,0.5735971824946025
GLOBAL__MARKET_USD__HSBK,0.1969533768310754,-0.055452296072826895,0.23126730141571736,0.03528987402310761,-0.14778839390065296
GLOBAL__MARKET_USD__EUFN,0.41204223215787855,0.0645521094984758,0.004078834213611189,-0.18213428139323268,-0.18046282411155498
GLOBAL__MARKET_USD__IXG,0.4132869085800797,0.08905581103955475,-0.0039059148328056403,-0.17435204148688127,-0.19234382285845142
GLOBAL__FX__EURUSD,0.06340395635088668,-0.21171136196811116,0.4676526021869705,0.3055618316000423,0.09230738017003956
GLOBAL__FX__GBPUSD,0.07064919019001077,-0.21040722122813046,0.5270298015276812,0.3000239965702611,0.06057954368096998
GLOBAL__CRYPTO__ETH,0.24650465723352316,-0.11855770097991088,-0.3368513173406529,0.4362405443252843,0.009757019235894329
GLOBAL__CRYPTO__BTC,0.23493823651899065,-0.12017001430310448,-0.3342817992126285,0.43182874538860416,0.011569955822680413
