,LOCAL_PC1,LOCAL_PC2,LOCAL_PC3,LOCAL_PC4,LOCAL_PC5
LOCAL__ICE_TRI__GAGE,0.33278462253127267,0.0071763574550235765,0.00045531872705746867,0.04601869426548175,0.08210253296005816
LOCAL__BOND_YLD_BPS_CHG__Georgia__XS3262542155__mat2031,0.05105587868744386,0.00021275722787997414,-0.003539640611255035,0.3561475031529738,0.5609995472026379
LOCAL__ICE_TRI__G0GE,0.410883797770013,0.0073084864210920955,0.0022549008727566254,-0.022351527540363302,-0.02879056804909663
LOCAL__ICE_TRI__G4GE,0.2810353115985124,0.008283635106739639,0.0012401060016491176,-0.0779826888243045,-0.11622221373575878
LOCAL__ICE_TRI__G3GE,0.4017824637397598,0.0077974518785926825,0.0018401738246320394,-0.024448303834874858,-0.024867289362055213
LOCAL__ICE_TRI__G2GE,0.4020231227497469,0.007675120550693913,0.0015204205557523194,-0.003997550126145245,-0.0006570181916774093
LOCAL__ICE_TRI__G1GE,0.3828864935379948,0.010560956691382406,0.0019206664032250438,0.025424247591807666,0.03843284157505973
LOCAL__ICE_TRI__GJGE,0.40999371137968443,0.006944257752056753,0.0018665528222025051,-0.021512022436937384,-0.02989081715777302
LOCAL__BOND_YLD_BPS_CHG__TBC_Bank__XS2808539410__mat2029,-0.0004328846145444578,0.007092383508731586,-0.002783632127089539,0.3418674774950842,0.38370233181979596
LOCAL__BOND_YLD_BPS_CHG__Bank_of_Georgia__XS2801343414__mat2029,-0.009313260215169494,-0.0032188004155062374,0.009797046750542155,0.23824587046480242,0.3051354393701765
LOCAL__BOND_YLD_BPS_CHG__Georgia__XS2334109423__mat2026,0.010994831164160565,0.05171579936321111,-0.010177037574331313,0.6196744406958938,-0.2622818143452496
LOCAL__ICE_TRI__GDGE,-0.004108842720925478,0.00040905136226621194,0.0026812481312703702,0.17118030330476827,-0.4536291341554559
LOCAL__TIBR_BPS_CHG__TIBR6M,-0.0011571886132500937,-0.008769694924678622,0.5769864365412695,0.009265695144076552,0.00828197542221955
LOCAL__TIBR_BPS_CHG__TIBR1M,-0.002830241406758759,-0.00844154724768075,0.5293694671632515,-0.017978823772294938,0.006367791000294812
LOCAL__TIBR_BPS_CHG__TIBR3M,-0.0013794294334356215,-0.01646001917287371,0.6202301741311231,0.011747997423673748,-0.003156500146069129
LOCAL__TIBR_BPS_CHG__TIBR,-0.01689562312870282,-0.03827347049733116,0.030702395324086675,-0.09035767718217502,-0.0962478638463405
LOCAL__FX_GEL__AZNGEL,-0.007158082086102287,0.44470441408568273,0.009047865468107779,0.0452338652991677,-0.01927020594377708
LOCAL__FX_GEL__AMDGEL,-0.007371389481731764,0.4402486107253925,0.018434777177081908,-0.005160531986185575,-0.01096509965184258
LOCAL__FX_GEL__TRYGEL,-0.00427743732111051,0.24776731801821564,0.01810976578052779,-0.02152446400136644,0.006717867511309091
LOCAL__FX_GEL__RUBGEL,-0.006493261215922605,0.12864329146419,-0.010739052562982371,-0.5125413340047819,0.3653418384048313
LOCAL__FX_GEL__GBPGEL,-0.014354399964919747,0.38094883462858165,0.004448355303737477,-0.01720499506204547,-0.052045094316522406
LOCAL__FX_GEL__EURGEL,-0.011804116067051597,0.3983131939018649,-0.00031448584416142586,0.03301663597046338,-0.014132788132214727
LOCAL__FX_GEL__USDGEL,-0.00773777565721593,0.4707798162929683,0.009742133357258608,0.021714701937791243,-0.0020054789453189358
