factor,pc,block,feature,component,loading,abs_loading,contribution_pct
Local currency,LOCAL_CURRENCY_PC1,LOCAL_CURRENCY,LOCAL__CURRENCY__USDGEL,Local FX: USDGEL,0.47273993386508245,0.47273993386508245,0.22348304507076253
Local currency,LOCAL_CURRENCY_PC1,LOCAL_CURRENCY,LOCAL__CURRENCY__AMDGEL,Local FX: AMDGEL,0.44153731665781415,0.44153731665781415,0.19495520200138283
Local currency,LOCAL_CURRENCY_PC1,LOCAL_CURRENCY,LOCAL__CURRENCY__AZNGEL,Local FX: AZNGEL,0.4390258905452683,0.4390258905452683,0.1927437325690659
Local currency,LOCAL_CURRENCY_PC1,LOCAL_CURRENCY,LOCAL__CURRENCY__EURGEL,Local FX: EURGEL,0.384275953274724,0.384275953274724,0.14766800826519788
Local currency,LOCAL_CURRENCY_PC1,LOCAL_CURRENCY,LOCAL__CURRENCY__GBPGEL,Local FX: GBPGEL,0.366480025778554,0.366480025778554,0.1343076092946496
Local currency,LOCAL_CURRENCY_PC1,LOCAL_CURRENCY,LOCAL__CURRENCY__TRYGEL,Local FX: TRYGEL,0.2809987051611675,0.2809987051611675,0.07896027230225273
Local currency,LOCAL_CURRENCY_PC1,LOCAL_CURRENCY,LOCAL__CURRENCY__RUBGEL,Local FX: RUBGEL,0.16697943135814217,0.16697943135814217,0.02788213049668851
Local interest rates,LOCAL_RATES_PC1,LOCAL_RATES,LOCAL__TIBR_BPS_CHG__TIBR3M,TIBR bps: TIBR3M,0.6164140352423312,0.6164140352423312,0.379966262843734
Local interest rates,LOCAL_RATES_PC1,LOCAL_RATES,LOCAL__TIBR_BPS_CHG__TIBR6M,TIBR bps: TIBR6M,0.5822654672495409,0.5822654672495409,0.3390330743513262
Local interest rates,LOCAL_RATES_PC1,LOCAL_RATES,LOCAL__TIBR_BPS_CHG__TIBR1M,TIBR bps: TIBR1M,0.5291562998300852,0.5291562998300852,0.28000638964986707
Local interest rates,LOCAL_RATES_PC1,LOCAL_RATES,LOCAL__TIBR_BPS_CHG__TIBR,TIBR bps: TIBR,0.03153209721970205,0.03153209721970205,0.000994273155072742
Local equity volume,LOCAL_EQUITY_VOLUME_PC1,LOCAL_EQUITY_VOLUME,LOCAL__EQUITY_VOLUME__BGEO,Local equity volume: BGEO,0.6731008972205331,0.6731008972205331,0.4530648178390867
Local equity volume,LOCAL_EQUITY_VOLUME_PC1,LOCAL_EQUITY_VOLUME,LOCAL__EQUITY_VOLUME__TBCG,Local equity volume: TBCG,0.6239305430995131,0.6239305430995131,0.3892893226124534
Local equity volume,LOCAL_EQUITY_VOLUME_PC1,LOCAL_EQUITY_VOLUME,LOCAL__EQUITY_VOLUME__CGEO,Local equity volume: CGEO,0.3970464198912515,0.3970464198912515,0.15764585954846
Regional ICE bond indices,REGIONAL_ICE_INDICES_PC1,REGIONAL_ICE_INDICES,REGIONAL__ICE_TRI__GDAZ,Regional ICE TRI: GDAZ,0.6176800546129735,0.6176800546129735,0.38152864986668594
Regional ICE bond indices,REGIONAL_ICE_INDICES_PC1,REGIONAL_ICE_INDICES,REGIONAL__ICE_TRI__GDAM,Regional ICE TRI: GDAM,0.5948174733336338,0.5948174733336338,0.3538078265830082
Regional ICE bond indices,REGIONAL_ICE_INDICES_PC1,REGIONAL_ICE_INDICES,REGIONAL__ICE_TRI__GDTR,Regional ICE TRI: GDTR,0.5144545884238043,0.5144545884238043,0.2646635235503059
Regional bond yields ex Russia,REGIONAL_BOND_YIELDS_EX_RUSSIA_PC1,REGIONAL_BOND_YIELDS_EX_RUSSIA,REGIONAL__BOND_YLD_BPS_CHG__Azerbaijan__XS1678623734__mat2032,Regional bond yield bps: Azerbaijan | XS1678623734 | mat2032,0.42956020887644486,0.42956020887644486,0.18452197304997497
Regional bond yields ex Russia,REGIONAL_BOND_YIELDS_EX_RUSSIA_PC1,REGIONAL_BOND_YIELDS_EX_RUSSIA,REGIONAL__BOND_YLD_BPS_CHG__Armenia__XS2010043904__mat2029,Regional bond yield bps: Armenia | XS2010043904 | mat2029,0.42928420357716873,0.42928420357716873,0.18428492744088407
Regional bond yields ex Russia,REGIONAL_BOND_YIELDS_EX_RUSSIA_PC1,REGIONAL_BOND_YIELDS_EX_RUSSIA,REGIONAL__BOND_YLD_BPS_CHG__Azerbaijan__XS1678623064__mat2029,Regional bond yield bps: Azerbaijan | XS1678623064 | mat2029,0.3978490593713509,0.3978490593713509,0.15828387404266872
Regional bond yields ex Russia,REGIONAL_BOND_YIELDS_EX_RUSSIA_PC1,REGIONAL_BOND_YIELDS_EX_RUSSIA,REGIONAL__BOND_YLD_BPS_CHG__Armenia__XS2010028939__mat2031,Regional bond yield bps: Armenia | XS2010028939 | mat2031,0.37276051591819637,0.37276051591819637,0.13895040222759997
Regional bond yields ex Russia,REGIONAL_BOND_YIELDS_EX_RUSSIA_PC1,REGIONAL_BOND_YIELDS_EX_RUSSIA,REGIONAL__BOND_YLD_BPS_CHG__Turkey__US900123CB40__mat2043,Regional bond yield bps: Turkey | US900123CB40 | mat2043,0.3659644650185995,0.3659644650185995,0.13392998965634978
Regional bond yields ex Russia,REGIONAL_BOND_YIELDS_EX_RUSSIA_PC1,REGIONAL_BOND_YIELDS_EX_RUSSIA,REGIONAL__BOND_YLD_BPS_CHG__Turkey__US900123AY60__mat2036,Regional bond yield bps: Turkey | US900123AY60 | mat2036,0.31650950190842303,0.31650950190842303,0.10017826479831805
Regional bond yields ex Russia,REGIONAL_BOND_YIELDS_EX_RUSSIA_PC1,REGIONAL_BOND_YIELDS_EX_RUSSIA,REGIONAL__BOND_YLD_BPS_CHG__Turkey__US900123BB58__mat2038,Regional bond yield bps: Turkey | US900123BB58 | mat2038,0.315991406187264,0.315991406187264,0.0998505687842045
Russia credit,RUSSIA_CREDIT_PC1,RUSSIA_CREDIT,REGIONAL__BOND_YLD_BPS_CHG__Russia__XS0088543193__mat2028,Regional bond yield bps: Russia | XS0088543193 | mat2028,0.7071067811865477,0.7071067811865477,0.5000000000000002
Russia credit,RUSSIA_CREDIT_PC1,RUSSIA_CREDIT,REGIONAL__BOND_YLD_BPS_CHG__Russia__RU000A0JXU14__mat2047,Regional bond yield bps: Russia | RU000A0JXU14 | mat2047,0.7071067811865474,0.7071067811865474,0.4999999999999998
Regional equities,REGIONAL_EQUITY_PC1,REGIONAL_EQUITY,REGIONAL__MARKET__BIST,Regional equity: BIST,0.6496158263791783,0.6496158263791783,0.42200072188230264
Regional equities,REGIONAL_EQUITY_PC1,REGIONAL_EQUITY,REGIONAL__MARKET__AKBNK,Regional equity: AKBNK,0.6288442059076568,0.6288442059076568,0.39544503530363145
Regional equities,REGIONAL_EQUITY_PC1,REGIONAL_EQUITY,REGIONAL__MARKET__HSBK,Regional equity: HSBK,0.2813602741066335,0.2813602741066335,0.07916360384535993
Regional equities,REGIONAL_EQUITY_PC1,REGIONAL_EQUITY,REGIONAL__MARKET__MOEX,Regional equity: MOEX,0.27811058173516784,0.27811058173516784,0.07734549567307347
Regional equities,REGIONAL_EQUITY_PC1,REGIONAL_EQUITY,REGIONAL__MARKET__AAZ,Regional equity: AAZ,0.1613850776733479,0.1613850776733479,0.026045143295632532
Regional market volume,REGIONAL_MARKET_VOLUME_PC1,REGIONAL_MARKET_VOLUME,REGIONAL__MARKET_VOLUME__BIST,Regional volume: BIST,0.6895708818536632,0.6895708818536632,0.47550800110043867
Regional market volume,REGIONAL_MARKET_VOLUME_PC1,REGIONAL_MARKET_VOLUME,REGIONAL__MARKET_VOLUME__AKBNK,Regional volume: AKBNK,0.6854065612070509,0.6854065612070509,0.4697821541456747
Regional market volume,REGIONAL_MARKET_VOLUME_PC1,REGIONAL_MARKET_VOLUME,REGIONAL__MARKET_VOLUME__HSBK,Regional volume: HSBK,0.1721276310916628,0.1721276310916628,0.029627921385227553
Regional market volume,REGIONAL_MARKET_VOLUME_PC1,REGIONAL_MARKET_VOLUME,REGIONAL__MARKET_VOLUME__MOEX,Regional volume: MOEX,0.1559409812604866,0.1559409812604866,0.02431758963648343
Regional market volume,REGIONAL_MARKET_VOLUME_PC1,REGIONAL_MARKET_VOLUME,REGIONAL__MARKET_VOLUME__AAZ,Regional volume: AAZ,0.027646586266220335,0.027646586266220335,0.0007643337321755627
Global equities,GLOBAL_EQUITY_RISK_PC1,GLOBAL_EQUITY_RISK,GLOBAL__MARKET__EUFN,Global equity: EUFN,0.5397437201791465,0.5397437201791465,0.29132328347282466
Global equities,GLOBAL_EQUITY_RISK_PC1,GLOBAL_EQUITY_RISK,GLOBAL__MARKET__IXG,Global equity: IXG,0.538524931693664,0.538524931693664,0.2900091020556653
Global equities,GLOBAL_EQUITY_RISK_PC1,GLOBAL_EQUITY_RISK,GLOBAL__MARKET__EEM,Global equity: EEM,0.47914145968292826,0.47914145968292826,0.229576538387087
Global equities,GLOBAL_EQUITY_RISK_PC1,GLOBAL_EQUITY_RISK,GLOBAL__MARKET__FTMC,Global equity: FTMC,0.43484603721825865,0.43484603721825865,0.18909107608442305
Global equity volume,GLOBAL_EQUITY_VOLUME_PC1,GLOBAL_EQUITY_VOLUME,GLOBAL__EQUITY_VOLUME__EEM,Global equity volume: EEM,0.6396984234181776,0.6396984234181776,0.40921407292370204
Global equity volume,GLOBAL_EQUITY_VOLUME_PC1,GLOBAL_EQUITY_VOLUME,GLOBAL__EQUITY_VOLUME__FTMC,Global equity volume: FTMC,0.5963001144287309,0.5963001144287309,0.3555738264677175
Global equity volume,GLOBAL_EQUITY_VOLUME_PC1,GLOBAL_EQUITY_VOLUME,GLOBAL__EQUITY_VOLUME__EUFN,Global equity volume: EUFN,0.4478958059743215,0.4478958059743215,0.20061065300938705
