,REGIONAL_PC1,REGIONAL_PC2,REGIONAL_PC3,REGIONAL_PC4,REGIONAL_PC5
REGIONAL__BOND_YLD_BPS_CHG__Armenia__XS3020792696__mat2035,-0.020967374886663122,-0.00017683495903911929,0.10875817380274592,0.10083908299377053,0.07787733117123377
REGIONAL__ICE_TRI__GDRU,0.19824980826464533,-0.21833930138528254,0.06584965545371398,0.0029289405053594094,0.18882262255148213
REGIONAL__BOND_YLD_BPS_CHG__Armenia__XS2010028939__mat2031,-0.22058191528028406,0.04706681725420046,0.3033485835006514,0.06186138257473749,0.057088616304195886
REGIONAL__BOND_YLD_BPS_CHG__Azerbaijan__XS1678623734__mat2032,-0.20913001593717134,-0.008737065506717203,0.4280151725354165,0.18710429336977252,0.04106108961213388
REGIONAL__BOND_YLD_BPS_CHG__Azerbaijan__XS1678623064__mat2029,-0.17333799542494038,-0.030562325343016127,0.4136237087059809,0.21769749507024344,0.06811743104433317
REGIONAL__BOND_YLD_BPS_CHG__Armenia__XS2010043904__mat2029,-0.2204960365170073,0.014119374646552886,0.38661616610163163,0.19314533377734444,0.032016962059821935
REGIONAL__BOND_YLD_BPS_CHG__Russia__RU000A1006S9__mat2035,-0.18821299866994212,0.40788436711751397,-0.11469361474707632,-0.006295299365505036,0.1407740584210826
REGIONAL__BOND_YLD_BPS_CHG__Russia__XS0767473852__mat2042,-0.21241125911479802,0.3861498262427363,-0.13061419124294152,-0.05775547042858022,0.07501763257358221
REGIONAL__ICE_TRI__GDAM,0.27967304246252883,0.05570822907449069,-0.1891972759526211,0.05167522760895774,0.1492182859511652
REGIONAL__ICE_TRI__GDAZ,0.25747862271756494,0.11298097376583885,-0.09118978869611814,0.20468305672218043,0.15872400182207005
REGIONAL__ICE_TRI__GDTR,0.306540394717943,0.24392598882728025,0.16906824582402966,0.21552891113387723,-0.035773318685453935
REGIONAL__BOND_YLD_BPS_CHG__Russia__RU000A0JXU14__mat2047,-0.1972365823728877,0.4110593737699062,-0.10780117319804451,-0.02125020558168839,0.1644013232817241
REGIONAL__BOND_YLD_BPS_CHG__Turkey__US900123CB40__mat2043,-0.29784909980755714,-0.2072294526553516,-0.0444191816803785,-0.2989454678513524,0.027507352829200415
REGIONAL__BOND_YLD_BPS_CHG__Turkey__US900123AY60__mat2036,-0.30259622580360623,-0.21612313454957807,-0.14610672696294438,-0.22450855157839048,0.02074924020920547
REGIONAL__BOND_YLD_BPS_CHG__Turkey__US900123BB58__mat2038,-0.2196042932232647,-0.14712474325520056,0.009359482585961013,-0.34422661703274327,0.1008792266324528
REGIONAL__BOND_YLD_BPS_CHG__Russia__XS0088543193__mat2028,-0.20678001463368215,0.4042959493052584,-0.10447993077984266,-0.041228181421210305,0.11884376838629765
REGIONAL__MARKET_USD__BIST,0.2116880344259905,0.19882542782506457,0.2791620339302598,-0.379370198392198,-0.17618751476436492
REGIONAL__MARKET_USD__MOEX,0.13072637071159346,-0.00718866818735937,0.15713913109080443,-0.19473300230826668,0.5993668141560715
REGIONAL__MARKET_USD__AAZ,0.10005606230378776,0.04422171201231869,-0.0029010308851845474,0.07877406595301202,0.06383381524628834
REGIONAL__USD_FX__USDRUB,-0.13651873443146006,0.07666127489423571,-0.1081563519542871,0.18249593888203944,-0.5868017589643825
REGIONAL__MARKET_USD__AKBNK,0.20709031426259877,0.1999305118085483,0.25335952851483967,-0.3503543845030759,-0.17934932670453038
REGIONAL__USD_FX__USDAZN,0.00853965947692065,-0.019846884223885326,0.026077227058197282,0.04222705442250457,0.028489444353725087
REGIONAL__USD_FX__USDTRY,-0.1510499211481501,-0.14688649918179045,-0.23884277410797,0.406659220703912,0.19105404661552286
REGIONAL__USD_FX__USDAMD,-0.06073788784010922,0.07051300764191246,0.054399052457582316,0.015019405811036016,-0.11312926887144724
