Date,Price
5/8/2026,27.6591
5/7/2026,27.858
5/6/2026,27.8849
5/5/2026,28.1542
5/4/2026,28.1952
5/1/2026,27.9387
4/30/2026,27.9283
4/29/2026,27.9589
4/28/2026,27.9961
4/27/2026,27.8796
4/24/2026,28.0192
4/23/2026,28.2519
4/22/2026,27.9582
4/21/2026,27.9434
4/20/2026,27.9179
4/17/2026,28.2985
4/16/2026,28.4219
4/15/2026,28.2811
4/14/2026,28.0448
4/13/2026,28.2682
4/10/2026,28.6454
4/9/2026,28.8498
4/8/2026,29.1936
4/7/2026,29.1794
4/6/2026,29.3971
4/3/2026,29.6921
4/2/2026,29.7887
4/1/2026,29.8258
3/31/2026,30.1932
3/30/2026,30.1834
3/27/2026,30.3012
3/26/2026,30.1538
3/25/2026,30.0149
3/24/2026,29.7634
3/23/2026,30.1232
3/20/2026,30.6207
3/19/2026,31.665
3/18/2026,30.8743
3/17/2026,30.3668
3/16/2026,29.9706
3/13/2026,29.3442
3/12/2026,29.21
3/11/2026,29.0531
3/10/2026,29.0447
3/9/2026,28.5202
3/6/2026,28.8356
3/5/2026,28.7695
3/4/2026,28.593
3/3/2026,28.7213
3/2/2026,28.5921
2/27/2026,28.9117
2/26/2026,28.7527
2/25/2026,28.6831
2/24/2026,28.6644
2/23/2026,28.7714
2/20/2026,28.6859
2/19/2026,28.6845
2/18/2026,28.6738
2/17/2026,28.5244
2/16/2026,28.6668
2/13/2026,28.615
2/12/2026,28.8189
2/11/2026,28.7508
2/10/2026,28.8105
2/9/2026,28.7028
2/6/2026,28.6708
2/5/2026,28.5671
2/4/2026,28.5708
2/3/2026,28.6494
2/2/2026,28.5364
1/30/2026,28.2563
1/29/2026,28.231
1/28/2026,28.4397
1/27/2026,28.3282
1/26/2026,28.4304
1/23/2026,28.0287
1/22/2026,28.2144
1/21/2026,28.5856
1/20/2026,28.9754
1/19/2026,28.7713
1/16/2026,28.9569
1/15/2026,29.0444
1/14/2026,29.1264
1/13/2026,29.2191
1/12/2026,29.0562
1/9/2026,29.3066
1/8/2026,29.7184
1/7/2026,29.8631
1/6/2026,29.8631
1/5/2026,29.9966
1/2/2026,29.7888
1/1/2026,29.2138
12/31/2025,29.2138
12/30/2025,29.5137
12/29/2025,29.1533
12/26/2025,28.7936
12/25/2025,28.9499
12/24/2025,29.3172
12/23/2025,28.9354
12/22/2025,29.2213
12/19/2025,29.8406
12/18/2025,29.6069
12/17/2025,29.8628
12/16/2025,29.3249
12/15/2025,29.4918
12/12/2025,29.6958
12/11/2025,29.759
12/10/2025,28.9705
12/9/2025,28.6174
12/8/2025,28.3764
12/5/2025,28.3579
12/4/2025,28.6105
12/3/2025,28.7481
12/2/2025,28.7286
12/1/2025,28.8013
11/28/2025,28.7073
