Date,Price
5/8/2026,16.9053
5/7/2026,16.9026
5/6/2026,16.8665
5/5/2026,16.862
5/4/2026,16.8503
5/1/2026,16.8458
4/30/2026,16.8379
4/29/2026,16.8023
4/28/2026,16.7809
4/27/2026,16.766
4/24/2026,16.7561
4/23/2026,16.7495
4/22/2026,16.7231
4/21/2026,16.7109
4/20/2026,16.7161
4/17/2026,16.7018
4/16/2026,16.6767
4/15/2026,16.6483
4/14/2026,16.64
4/13/2026,16.6081
4/10/2026,16.5814
4/9/2026,16.562
4/8/2026,16.5425
4/7/2026,16.5952
4/6/2026,16.584
4/3/2026,16.5471
4/2/2026,16.5123
4/1/2026,16.5194
3/31/2026,16.5096
3/30/2026,16.4968
3/27/2026,16.5188
3/26/2026,16.4271
3/25/2026,16.4309
3/24/2026,16.3955
3/23/2026,16.2907
3/20/2026,16.3179
3/19/2026,16.28
3/18/2026,16.2739
3/17/2026,16.2897
3/16/2026,16.2396
3/13/2026,16.1908
3/12/2026,16.2135
3/11/2026,16.1791
3/10/2026,16.1906
3/9/2026,16.1546
3/6/2026,16.0863
3/5/2026,16.0943
3/4/2026,16.1397
3/3/2026,16.2569
3/2/2026,16.2215
2/27/2026,16.4294
2/26/2026,16.422
2/25/2026,16.4125
2/24/2026,16.4103
2/23/2026,16.3957
2/20/2026,16.387
2/19/2026,16.354
2/18/2026,16.3485
2/17/2026,16.3319
2/16/2026,16.3239
2/13/2026,16.3051
2/12/2026,16.2902
2/11/2026,16.2736
2/10/2026,16.268
2/9/2026,16.249
2/6/2026,16.2352
2/5/2026,16.2013
2/4/2026,16.1802
2/3/2026,16.1782
2/2/2026,16.166
1/30/2026,16.1701
1/29/2026,16.1447
1/28/2026,16.13
1/27/2026,16.1222
1/26/2026,16.1091
1/23/2026,16.0984
1/22/2026,16.0637
1/21/2026,16.0725
1/20/2026,16.068
1/19/2026,16.0621
1/16/2026,16.0676
1/15/2026,16.0439
1/14/2026,16.0227
1/13/2026,16.0119
1/12/2026,15.9941
1/9/2026,15.9686
1/8/2026,15.9664
1/7/2026,15.9647
1/6/2026,15.9632
1/5/2026,15.9648
1/2/2026,15.9625
1/1/2026,15.9341
12/31/2025,15.9364
12/30/2025,15.9412
12/29/2025,15.9452
12/26/2025,15.9031
12/25/2025,15.9023
12/24/2025,15.9004
12/23/2025,15.8831
12/22/2025,15.8544
12/19/2025,15.8455
12/18/2025,15.8533
12/17/2025,15.8408
12/16/2025,15.8385
12/15/2025,15.8376
12/12/2025,15.8384
12/11/2025,15.7981
12/10/2025,15.7746
12/9/2025,15.7866
12/8/2025,15.7803
12/5/2025,15.7634
12/4/2025,15.7449
12/3/2025,15.7204
12/2/2025,15.6955
12/1/2025,15.7163
11/28/2025,15.7341
11/27/2025,15.7096
11/26/2025,15.7061
11/25/2025,15.698
11/24/2025,15.6906
11/21/2025,15.6972
11/20/2025,15.6641
11/19/2025,15.6448
11/18/2025,15.6519
11/17/2025,15.6407
11/14/2025,15.6086
11/13/2025,15.6028
11/12/2025,15.5652
11/11/2025,15.6135
11/10/2025,15.6213
11/7/2025,15.6073
11/6/2025,15.557
11/5/2025,15.5525
11/4/2025,15.5222
11/3/2025,15.5271
10/31/2025,15.5167
10/30/2025,15.4699
10/29/2025,15.4627
10/28/2025,15.4435
10/27/2025,15.4004
10/24/2025,15.4689
10/23/2025,15.4078
10/22/2025,15.4679
10/21/2025,15.5011
10/20/2025,15.3708
10/17/2025,15.4861
10/16/2025,15.4647
10/15/2025,15.4497
10/14/2025,15.4384
10/13/2025,15.4348
10/10/2025,15.4433
10/9/2025,15.4167
10/8/2025,15.3877
10/7/2025,15.3794
10/6/2025,15.3574
10/3/2025,15.3005
10/2/2025,15.2866
10/1/2025,15.2505
9/30/2025,15.2852
9/29/2025,15.3397
9/26/2025,15.2808
9/25/2025,15.3214
9/24/2025,15.303
9/23/2025,15.2925
9/22/2025,15.1878
9/19/2025,15.1481
9/18/2025,15.0715
9/17/2025,15.1662
9/16/2025,15.2267
9/15/2025,15.2725
9/12/2025,15.3221
9/11/2025,15.3159
9/10/2025,15.3277
9/9/2025,15.3293
9/8/2025,15.3026
9/5/2025,15.3153
9/4/2025,15.28
9/3/2025,15.268
9/2/2025,15.2667
9/1/2025,15.264
8/29/2025,15.2534
8/28/2025,15.2299
8/27/2025,15.2295
8/26/2025,15.2058
8/25/2025,15.2119
8/22/2025,15.1523
8/21/2025,15.1405
8/20/2025,15.1494
8/19/2025,15.1649
8/18/2025,15.1493
8/15/2025,15.1415
8/14/2025,15.1253
8/13/2025,14.9523
8/12/2025,15.1027
8/11/2025,15.0637
8/8/2025,15.0956
8/7/2025,15.0697
8/6/2025,15.0697
8/5/2025,15.0733
8/4/2025,15.0571
8/1/2025,15.0312
7/31/2025,15.0318
7/30/2025,15.0097
7/29/2025,15.007
7/28/2025,14.996
7/25/2025,14.986
7/24/2025,15.0237
7/23/2025,14.9379
7/22/2025,14.9182
7/21/2025,14.9093
7/18/2025,14.9076
7/17/2025,14.8691
7/16/2025,14.8504
7/15/2025,14.8237
7/14/2025,14.8095
7/11/2025,14.8138
7/10/2025,14.7482
7/9/2025,14.7428
7/8/2025,14.7414
7/7/2025,14.7151
7/4/2025,14.6677
7/3/2025,14.6533
7/2/2025,14.6357
7/1/2025,14.654
6/30/2025,14.6338
6/27/2025,14.6581
6/26/2025,14.6092
6/25/2025,14.6023
6/24/2025,14.528
6/23/2025,14.5447
6/20/2025,14.5624
6/19/2025,14.5412
6/18/2025,14.5075
6/17/2025,14.4918
6/16/2025,14.4312
6/13/2025,14.45
6/12/2025,14.4273
6/11/2025,14.3608
6/10/2025,14.3615
6/9/2025,14.395
6/6/2025,14.3677
6/5/2025,14.3838
6/4/2025,14.3451
6/3/2025,14.3368
6/2/2025,14.3505
5/30/2025,14.3589
5/29/2025,14.3154
5/28/2025,14.3127
5/27/2025,14.2522
5/26/2025,14.241
5/23/2025,14.2228
5/22/2025,14.229
5/21/2025,14.2085
5/20/2025,14.1774
5/19/2025,14.1589
5/16/2025,14.1874
5/15/2025,14.1231
5/14/2025,14.1468
5/13/2025,14.154
5/12/2025,14.1418
5/9/2025,14.1378
5/8/2025,14.0879
5/7/2025,14.0926
5/6/2025,14.0822
5/5/2025,14.0647
5/2/2025,14.0527
5/1/2025,14.0032
4/30/2025,14.0188
4/29/2025,14.0016
4/28/2025,13.9935
4/25/2025,13.9892
4/24/2025,13.961
4/23/2025,13.9452
4/22/2025,13.9309
4/21/2025,13.7451
4/18/2025,13.5588
4/17/2025,13.5429
4/16/2025,13.7204
4/15/2025,13.6973
4/14/2025,13.6627
4/11/2025,13.6076
4/10/2025,13.6074
4/9/2025,13.6311
4/8/2025,13.6247
4/7/2025,13.6422
4/4/2025,13.6544
4/3/2025,13.6224
4/2/2025,13.5906
4/1/2025,13.5984
3/31/2025,13.5925
3/28/2025,13.5513
3/27/2025,13.5497
3/26/2025,13.5592
3/25/2025,13.5203
3/24/2025,13.5041
3/21/2025,13.3405
3/20/2025,13.369
3/19/2025,13.4225
3/18/2025,13.0265
3/17/2025,12.9447
3/14/2025,13.0265
3/13/2025,12.9815
3/12/2025,12.9902
3/11/2025,13.0114
3/10/2025,13.0257
3/7/2025,13.0075
3/6/2025,12.9393
3/5/2025,12.9537
3/4/2025,12.9221
3/3/2025,12.9042
2/28/2025,12.9284
2/27/2025,12.8653
2/26/2025,12.7683
2/25/2025,12.8242
2/24/2025,12.7781
2/21/2025,12.8426
2/20/2025,12.7674
2/19/2025,12.756
2/18/2025,12.735
2/17/2025,12.7058
2/14/2025,12.6676
2/13/2025,12.5858
2/12/2025,12.6867
2/11/2025,12.7062
2/10/2025,12.7636
2/7/2025,12.7838
2/6/2025,12.6723
2/5/2025,12.6112
2/4/2025,12.563
2/3/2025,12.5272
1/31/2025,12.4036
1/30/2025,12.3465
1/29/2025,12.3018
1/28/2025,12.2865
1/27/2025,12.2113
1/24/2025,12.2514
1/23/2025,12.2829
1/22/2025,12.3141
1/21/2025,12.2934
1/20/2025,12.3459
1/17/2025,12.3109
1/16/2025,12.3445
1/15/2025,12.3646
1/14/2025,12.3105
1/13/2025,12.378
1/10/2025,12.3724
1/9/2025,12.3432
1/8/2025,12.2706
1/7/2025,12.3695
1/6/2025,12.3617
1/3/2025,12.4341
1/2/2025,12.4027
1/1/2025,12.4065
12/31/2024,12.3982
12/30/2024,12.4339
12/27/2024,12.4362
12/26/2024,12.4579
12/25/2024,12.3823
12/24/2024,12.2393
12/23/2024,12.3905
12/20/2024,12.3799
12/19/2024,12.3695
12/18/2024,12.3788
12/17/2024,12.3367
12/16/2024,12.2777
12/13/2024,12.254
12/12/2024,12.0658
12/11/2024,12.1443
12/10/2024,12.267
12/9/2024,12.3425
12/6/2024,12.2965
12/5/2024,12.2971
12/4/2024,12.0417
12/3/2024,12.0094
12/2/2024,11.8434
11/29/2024,12.1298
11/28/2024,12.5052
11/27/2024,12.5074
11/26/2024,12.5166
11/25/2024,12.4817
11/22/2024,12.4905
11/21/2024,12.4842
11/20/2024,12.4338
11/19/2024,12.3559
11/18/2024,12.5156
11/15/2024,12.5067
11/14/2024,12.4328
11/13/2024,12.4592
11/12/2024,12.3995
11/11/2024,12.4789
11/8/2024,12.4631
11/7/2024,12.4156
11/6/2024,12.4137
11/5/2024,12.5638
11/4/2024,12.4395
11/1/2024,12.4508
10/31/2024,12.3613
10/30/2024,12.3037
10/29/2024,12.3221
10/28/2024,12.4214
10/25/2024,12.2438
10/24/2024,12.3766
10/23/2024,12.388
10/22/2024,12.3595
10/21/2024,12.4245
10/18/2024,12.3582
10/17/2024,12.3992
10/16/2024,12.3913
10/15/2024,12.3937
10/14/2024,12.5492
10/11/2024,12.43
10/10/2024,12.3963
10/9/2024,12.417
10/8/2024,12.3834
10/7/2024,12.3369
10/4/2024,12.3691
10/3/2024,12.2973
10/2/2024,12.3937
10/1/2024,12.4159
9/30/2024,12.3995
9/27/2024,12.3998
9/26/2024,12.3919
9/25/2024,12.3888
9/24/2024,12.405
9/23/2024,12.4204
9/20/2024,12.3793
9/19/2024,12.3142
9/18/2024,12.4112
9/17/2024,12.4925
9/16/2024,12.4919
9/13/2024,12.4545
9/12/2024,12.4572
9/11/2024,12.479
9/10/2024,12.5121
9/9/2024,12.5827
9/6/2024,12.4971
9/5/2024,12.4842
9/4/2024,12.4947
9/3/2024,12.5133
9/2/2024,12.488
8/30/2024,12.5585
8/29/2024,12.5206
8/28/2024,12.5115
8/27/2024,12.5002
8/26/2024,12.4657
8/23/2024,12.4757
8/22/2024,12.3616
8/21/2024,12.3698
8/20/2024,12.4178
8/19/2024,12.3643
8/16/2024,12.4218
8/15/2024,12.3545
8/14/2024,12.3526
8/13/2024,12.3182
8/12/2024,12.2684
8/9/2024,12.4245
8/8/2024,12.361
8/7/2024,12.2438
8/6/2024,12.2966
8/5/2024,12.2069
8/2/2024,12.1309
8/1/2024,12.097
7/31/2024,12.0996
7/30/2024,12.1037
7/29/2024,12.118
7/26/2024,12.022
7/25/2024,12.0336
7/24/2024,11.9184
7/23/2024,11.9638
7/22/2024,12.0104
7/19/2024,11.992
7/18/2024,12.1506
7/17/2024,12.2182
7/16/2024,12.1519
7/15/2024,12.0941
7/12/2024,12.0034
7/11/2024,11.8845
7/10/2024,11.8787
7/9/2024,11.8047
7/8/2024,11.7746
7/5/2024,11.7816
7/4/2024,11.6444
7/3/2024,11.537
7/2/2024,11.5251
7/1/2024,11.5626
6/28/2024,11.5162
6/27/2024,11.5916
6/26/2024,11.453
6/25/2024,11.5499
6/24/2024,11.4193
6/21/2024,11.5688
6/20/2024,11.6127
6/19/2024,11.5053
6/18/2024,11.3189
6/17/2024,11.3504
6/14/2024,11.2702
6/13/2024,11.1537
6/12/2024,11.1594
6/11/2024,11.1682
6/10/2024,11.1623
6/7/2024,11.2935
6/6/2024,11.2699
6/5/2024,11.3969
6/4/2024,11.5635
6/3/2024,11.4192
5/31/2024,11.4299
5/30/2024,11.4199
5/29/2024,11.416
5/28/2024,11.4101
5/27/2024,11.393
5/24/2024,11.4185
5/23/2024,11.7367
5/22/2024,11.6299
5/21/2024,11.7022
5/20/2024,11.6212
5/17/2024,11.904
5/16/2024,11.6926
5/15/2024,11.9777
5/14/2024,11.8238
5/13/2024,12.0201
5/10/2024,12.0145
5/9/2024,11.9312
5/8/2024,11.907
5/7/2024,11.9273
5/6/2024,11.949
5/3/2024,11.9713
5/2/2024,11.9725
5/1/2024,12.0245
4/30/2024,11.9869
4/29/2024,11.9614
4/26/2024,11.9829
4/25/2024,12.0204
4/24/2024,11.9938
4/23/2024,11.9983
4/22/2024,12.023
4/19/2024,12.0572
4/18/2024,12.1073
4/17/2024,12.1053
4/16/2024,11.9934
4/15/2024,12.0406
4/12/2024,12.075
4/11/2024,11.985
4/10/2024,11.977
4/9/2024,11.9432
4/8/2024,11.8466
4/5/2024,11.8657
4/4/2024,11.7907
4/3/2024,11.7939
4/2/2024,11.8474
4/1/2024,11.8577
3/29/2024,11.8919
3/28/2024,11.8767
3/27/2024,11.8334
3/26/2024,11.7766
3/25/2024,11.8504
3/22/2024,11.7652
3/21/2024,11.7539
3/20/2024,11.822
3/19/2024,11.8138
3/18/2024,11.7686
3/15/2024,11.7151
3/14/2024,11.7744
3/13/2024,11.8836
3/12/2024,11.9519
3/11/2024,11.9197
3/8/2024,11.8515
3/7/2024,11.8884
3/6/2024,11.8471
3/5/2024,11.8
3/4/2024,11.7791
3/1/2024,11.6741
2/29/2024,11.6349
2/28/2024,11.5969
2/27/2024,11.6011
2/26/2024,11.5919
2/23/2024,11.5757
2/22/2024,11.4659
2/21/2024,11.5535
2/20/2024,11.5707
2/19/2024,11.5401
2/16/2024,11.5641
2/15/2024,11.3408
2/14/2024,11.4983
2/13/2024,11.4822
2/12/2024,11.5198
2/9/2024,11.4606
2/8/2024,11.4549
2/7/2024,11.4511
2/6/2024,11.2952
2/5/2024,11.363
2/2/2024,11.3007
2/1/2024,11.2319
1/31/2024,11.2696
1/30/2024,11.1833
1/29/2024,11.1957
1/26/2024,11.2127
1/25/2024,11.2002
1/24/2024,11.2078
1/23/2024,11.2335
1/22/2024,11.2675
1/19/2024,11.2609
1/18/2024,11.2064
1/17/2024,11.2266
1/16/2024,11.1794
1/15/2024,11.2218
1/12/2024,11.1844
1/11/2024,11.0773
1/10/2024,11.0524
1/9/2024,11.0469
1/8/2024,10.9839
1/5/2024,11.0005
1/4/2024,10.9377
1/3/2024,10.9777
1/2/2024,10.9222
1/1/2024,10.9402
12/29/2023,10.9181
12/28/2023,10.8322
12/27/2023,10.8032
12/26/2023,10.7878
12/25/2023,10.7722
12/22/2023,10.7623
12/21/2023,10.7361
12/20/2023,10.7244
12/19/2023,10.727
12/18/2023,10.7347
12/15/2023,10.684
12/14/2023,10.7011
12/13/2023,10.702
12/12/2023,10.7247
12/11/2023,10.7402
12/8/2023,10.727
12/7/2023,10.7394
12/6/2023,10.666
12/5/2023,10.6226
12/4/2023,10.6557
12/1/2023,10.6208
11/30/2023,10.6359
11/29/2023,10.5606
11/28/2023,10.6213
11/27/2023,10.5661
11/24/2023,10.5502
11/23/2023,10.5227
11/22/2023,10.5429
11/21/2023,10.5303
11/20/2023,10.5478
11/17/2023,10.5201
