Date,GAGE
1/31/2026,101.56
2/2/2026,101.56
2/3/2026,101.56
2/4/2026,101.53
2/5/2026,101.53
2/6/2026,101.52
2/9/2026,101.52
2/10/2026,101.51
2/11/2026,101.58
2/12/2026,101.58
2/13/2026,101.58
2/16/2026,101.57
2/17/2026,101.59
2/18/2026,101.58
2/19/2026,101.58
2/20/2026,101.58
2/23/2026,101.57
2/24/2026,101.56
2/25/2026,101.55
2/26/2026,101.65
2/27/2026,101.65
2/28/2026,101.65
3/2/2026,101.64
3/3/2026,101.63
3/4/2026,101.61
3/5/2026,101.59
3/6/2026,101.59
3/9/2026,101.58
3/10/2026,101.57
3/11/2026,101.55
3/12/2026,101.56
3/13/2026,101.56
3/16/2026,101.55
3/17/2026,101.55
3/18/2026,101.59
3/19/2026,101.59
3/20/2026,101.58
3/23/2026,101.58
3/24/2026,101.58
3/25/2026,101.6
3/26/2026,101.6
3/27/2026,101.59
3/30/2026,101.58
3/31/2026,101.57
4/1/2026,101.56
4/2/2026,101.55
4/3/2026,101.54
4/6/2026,101.53
4/7/2026,101.52
4/8/2026,101.38
4/9/2026,101.38
4/10/2026,101.37
4/13/2026,101.37
4/14/2026,101.35
4/15/2026,101.37
4/16/2026,101.36
4/17/2026,101.35
4/20/2026,101.35
4/21/2026,101.35
4/22/2026,101.37
4/23/2026,101.37
4/24/2026,101.36
4/27/2026,101.36
4/28/2026,101.35
4/29/2026,101.35
4/30/2026,101.35
5/1/2026,101.34
5/4/2026,101.33
5/5/2026,101.33
5/6/2026,101.31
5/7/2026,101.21
5/8/2026,101.2
