Date,GDAM
5/6/2016,98.14
5/9/2016,98.12
5/10/2016,98.25
5/11/2016,98.37
5/12/2016,98.55
5/13/2016,98.56
5/16/2016,98.56
5/17/2016,98.55
5/18/2016,98.73
5/19/2016,97.87
5/20/2016,97.87
5/23/2016,97.76
5/24/2016,97.8
5/25/2016,97.88
5/26/2016,98
5/27/2016,97.95
5/30/2016,97.95
5/31/2016,97.78
6/1/2016,97.96
6/2/2016,97.96
6/3/2016,98.22
6/6/2016,98.39
6/7/2016,99.26
6/8/2016,99.62
6/9/2016,99.94
6/10/2016,99.9
6/13/2016,99.56
6/14/2016,99.38
6/15/2016,99.3
6/16/2016,99.37
6/17/2016,99.42
6/20/2016,100.07
6/21/2016,100.25
6/22/2016,100.19
6/23/2016,101.44
6/24/2016,100.44
6/27/2016,100.45
6/28/2016,100.82
6/29/2016,101.2
6/30/2016,101.06
7/1/2016,101.78
7/4/2016,101.78
7/5/2016,101.97
7/6/2016,102.99
7/7/2016,103.18
7/8/2016,103.34
7/11/2016,103.69
7/12/2016,103.88
7/13/2016,104.09
7/14/2016,106.18
7/15/2016,106.25
7/18/2016,105.77
7/19/2016,105.65
7/20/2016,105.63
7/21/2016,105.75
7/22/2016,105.25
7/25/2016,105.25
7/26/2016,105.23
7/27/2016,104.02
7/28/2016,104.19
7/29/2016,103.86
7/31/2016,103.86
8/1/2016,103.82
8/2/2016,103.88
8/3/2016,103.88
8/4/2016,104.07
8/5/2016,104.37
8/8/2016,104.38
8/9/2016,104.97
8/10/2016,105.86
8/11/2016,105.88
8/12/2016,106.08
8/15/2016,106
8/16/2016,106.01
8/17/2016,105.96
8/18/2016,105.91
8/19/2016,105.89
8/22/2016,105.93
8/23/2016,105.81
8/24/2016,105.89
8/25/2016,105.91
8/26/2016,105.56
8/29/2016,105.57
8/30/2016,105.66
8/31/2016,105.52
9/1/2016,105.46
9/2/2016,105.46
9/5/2016,105.46
9/6/2016,105.58
9/7/2016,105.6
9/8/2016,105.65
9/9/2016,105.64
9/12/2016,105
9/13/2016,105
9/14/2016,104.62
9/15/2016,104.28
9/16/2016,104.25
9/19/2016,104.25
9/20/2016,104.32
9/21/2016,104.32
9/22/2016,104.89
9/23/2016,104.89
9/26/2016,104.96
9/27/2016,104.83
9/28/2016,104.83
9/29/2016,104.96
9/30/2016,104.83
10/3/2016,104.83
10/4/2016,105.06
10/5/2016,104.75
10/6/2016,104.81
10/7/2016,104.75
10/10/2016,104.75
10/11/2016,104.71
10/12/2016,104.8
10/13/2016,104.56
10/14/2016,104.69
10/17/2016,104.66
10/18/2016,104.47
10/19/2016,104.67
10/20/2016,104.7
10/21/2016,104.79
10/24/2016,104.73
10/25/2016,104.85
10/26/2016,104.72
10/27/2016,104.48
10/28/2016,104.46
10/31/2016,104.44
11/1/2016,104.47
11/2/2016,104.48
11/3/2016,104.53
11/4/2016,104.51
11/7/2016,104.58
11/8/2016,104.53
11/9/2016,104.41
11/10/2016,103.6
11/11/2016,103.6
11/14/2016,100.77
11/15/2016,100.76
11/16/2016,100.79
11/17/2016,101.38
11/18/2016,101.27
11/21/2016,101.13
11/22/2016,101.38
11/23/2016,101.63
11/24/2016,101.63
11/25/2016,101.5
11/28/2016,101.5
11/29/2016,101.9
11/30/2016,102.04
12/1/2016,101.84
12/2/2016,101.99
12/5/2016,101.95
