Date,GDAZ
10/20/2016,104
10/21/2016,104.03
10/24/2016,104.01
10/25/2016,104
10/26/2016,103.88
10/27/2016,103.13
10/28/2016,103.38
10/31/2016,103.29
11/1/2016,103.18
11/2/2016,103.02
11/3/2016,102.92
11/4/2016,102.45
11/7/2016,102.71
11/8/2016,103
8/5/2016,102.14
8/8/2016,102.74
8/9/2016,103.01
8/10/2016,103.13
8/11/2016,103.5
8/12/2016,103.58
8/15/2016,104.25
8/16/2016,104.25
8/17/2016,104.3
8/18/2016,104.25
8/19/2016,104.25
8/22/2016,104.12
8/23/2016,103.82
8/24/2016,103.63
8/25/2016,103
8/26/2016,103
8/29/2016,102.72
8/30/2016,102.77
8/31/2016,102.75
9/1/2016,102.75
9/2/2016,102.73
9/5/2016,102.73
9/6/2016,103.27
9/7/2016,103.69
9/8/2016,103.78
9/9/2016,103.54
9/12/2016,102.76
9/13/2016,102.4
9/14/2016,102.2
9/15/2016,102.01
9/16/2016,102.01
9/19/2016,102.33
9/20/2016,102.37
9/21/2016,102.46
9/22/2016,103.49
9/23/2016,103.43
9/26/2016,103.15
9/27/2016,103.16
9/28/2016,103.43
9/29/2016,103.52
9/30/2016,103.65
10/3/2016,103.66
10/4/2016,104.12
10/5/2016,103.92
10/6/2016,103.84
10/7/2016,104.02
10/10/2016,104.02
10/11/2016,104.2
10/12/2016,103.9
10/13/2016,103.98
10/14/2016,104
10/17/2016,104
10/18/2016,104.03
10/19/2016,104.03
6/27/2016,98.88
6/28/2016,100.38
6/29/2016,100.63
6/30/2016,101.13
7/1/2016,102.13
7/4/2016,102.13
7/5/2016,101.13
7/6/2016,101.13
7/7/2016,101.13
7/8/2016,101.38
7/11/2016,101.63
7/12/2016,101.51
7/13/2016,102.63
7/14/2016,102.88
7/15/2016,103.63
7/18/2016,103.38
7/19/2016,103.38
7/20/2016,103.38
7/21/2016,103.88
7/22/2016,102.88
7/25/2016,102.88
7/26/2016,102
7/27/2016,102
7/28/2016,101.77
7/29/2016,101.09
7/31/2016,101.09
8/1/2016,101.33
8/2/2016,101.04
8/3/2016,101.04
8/4/2016,101.25
5/20/2016,96.77
5/23/2016,96.77
5/24/2016,96.77
5/25/2016,96.77
5/26/2016,96.52
5/27/2016,96.52
5/30/2016,96.52
5/31/2016,96.27
6/1/2016,96.52
6/2/2016,96.52
6/3/2016,96.82
6/6/2016,97.08
6/7/2016,97.45
6/8/2016,98.06
6/9/2016,98.66
6/10/2016,98.83
6/13/2016,98.5
6/14/2016,98
6/15/2016,97.5
6/16/2016,97.81
6/17/2016,98.38
6/20/2016,99.51
6/21/2016,99.88
6/22/2016,99.38
6/23/2016,99.38
6/24/2016,98.63
5/6/2016,96.02
5/9/2016,96.27
5/10/2016,96.27
5/11/2016,96.52
5/12/2016,97.52
5/13/2016,97.27
5/16/2016,97.27
5/17/2016,97.77
5/18/2016,97.52
5/19/2016,96.52
11/9/2016,102.5
11/10/2016,100.88
11/11/2016,100.88
11/14/2016,97.75
11/15/2016,98.4
11/16/2016,98.38
11/17/2016,98.02
11/18/2016,97.83
11/21/2016,97.74
11/22/2016,98.13
11/23/2016,98.06
11/24/2016,98.06
11/25/2016,98.17
11/28/2016,98.4
11/29/2016,98.55
11/30/2016,98.97
12/1/2016,98.69
12/2/2016,99
12/5/2016,99.1
12/6/2016,99.36
12/7/2016,99.33
12/8/2016,99.52
12/9/2016,99.51
12/12/2016,99.61
12/13/2016,99.74
12/14/2016,99.88
12/15/2016,99.14
12/16/2016,99.06
12/19/2016,99.18
12/20/2016,99.04
12/21/2016,99.13
12/22/2016,99.13
12/23/2016,99.15
12/27/2016,99.41
12/28/2016,99.13
12/29/2016,99.3
12/30/2016,99.25
12/31/2016,99.25
1/3/2017,99.29
1/4/2017,99.77
1/5/2017,100.27
1/6/2017,100.3
1/9/2017,100.05
1/10/2017,100.14
1/11/2017,99.92
1/12/2017,100.47
1/13/2017,100.62
1/16/2017,100.62
1/17/2017,100.88
1/18/2017,100.75
1/19/2017,99.8
1/20/2017,99.77
1/23/2017,100
1/24/2017,100.32
1/25/2017,99.67
1/26/2017,99.51
1/27/2017,99.68
1/30/2017,99.37
1/31/2017,99.54
2/1/2017,99.52
2/2/2017,99.85
2/3/2017,100.21
2/6/2017,100.46
2/7/2017,100.59
2/8/2017,100.75
2/9/2017,100.77
2/10/2017,100.88
2/13/2017,101
2/14/2017,101.21
2/15/2017,101.11
2/16/2017,101.12
2/17/2017,101.35
2/20/2017,101.35
2/21/2017,101.41
2/22/2017,101.56
2/23/2017,101.5
2/24/2017,101.62
2/27/2017,101.57
2/28/2017,101.61
3/1/2017,101.16
3/2/2017,101.19
3/3/2017,101.07
3/6/2017,101.19
3/7/2017,101.16
3/8/2017,100.55
3/9/2017,99.55
3/10/2017,99.38
3/13/2017,99.6
3/14/2017,99.2
3/15/2017,99.15
3/16/2017,99.77
3/17/2017,99.84
3/20/2017,99.75
3/21/2017,100.29
3/22/2017,100.15
3/23/2017,100.25
3/24/2017,100.37
3/27/2017,100.5
3/28/2017,100.52
3/29/2017,100.63
3/30/2017,100.75
3/31/2017,100.65
4/3/2017,100.64
4/4/2017,100.82
4/5/2017,100.9
4/6/2017,101.25
4/7/2017,101.25
4/10/2017,101.25
4/11/2017,101.35
4/12/2017,101.24
4/13/2017,101.23
4/17/2017,101.31
4/18/2017,101.31
4/19/2017,101.49
4/20/2017,101.46
4/21/2017,101.52
4/24/2017,101.58
4/25/2017,101.64
4/26/2017,101.63
4/27/2017,101.74
4/28/2017,101.81
4/30/2017,101.81
5/1/2017,101.9
5/2/2017,102.09
5/3/2017,102.51
5/4/2017,102.24
5/5/2017,102
5/8/2017,102
5/9/2017,101.92
5/10/2017,102.07
5/11/2017,102.17
5/12/2017,101.97
5/15/2017,102.3
5/16/2017,102.02
5/17/2017,101.07
5/18/2017,100.9
5/19/2017,100.97
5/22/2017,100.75
5/23/2017,101.58
5/24/2017,101.89
5/25/2017,101.74
5/26/2017,102.03
5/29/2017,102.03
5/30/2017,102
5/31/2017,101.59
6/1/2017,101.75
6/2/2017,101.75
6/5/2017,101.87
6/6/2017,101.82
6/7/2017,101.95
6/8/2017,101.76
6/9/2017,101.65
6/12/2017,101.51
6/13/2017,101.5
6/14/2017,101.5
6/15/2017,101.05
6/16/2017,101.06
6/19/2017,101.12
6/20/2017,100.34
6/21/2017,100.3
6/22/2017,99.76
6/23/2017,100
6/26/2017,100.41
6/27/2017,100.5
6/28/2017,100.29
6/29/2017,100.23
6/30/2017,100.14
7/3/2017,100.17
7/4/2017,100.17
7/5/2017,99.79
7/6/2017,98.66
7/7/2017,98.55
7/10/2017,99.25
7/11/2017,99.22
7/12/2017,99.63
7/13/2017,99.75
7/14/2017,100.06
7/17/2017,100.04
7/18/2017,100.26
7/19/2017,100.39
7/20/2017,100.83
7/21/2017,101.37
7/24/2017,101.38
7/25/2017,101.35
7/26/2017,101.41
7/27/2017,101.72
7/28/2017,101.74
7/31/2017,101.8
8/1/2017,101.88
8/2/2017,101.99
8/3/2017,102.22
8/4/2017,102.14
8/7/2017,102.02
8/8/2017,102.15
8/9/2017,101.92
8/10/2017,101.7
8/11/2017,101.24
8/14/2017,101.65
8/15/2017,101.65
8/16/2017,101.6
8/17/2017,101.93
8/18/2017,101.75
8/21/2017,101.65
8/22/2017,101.73
8/23/2017,101.9
8/24/2017,102.04
8/25/2017,102.01
8/28/2017,102.36
8/29/2017,102.5
8/30/2017,103.1
8/31/2017,103.87
9/1/2017,104.4
9/4/2017,104.4
9/5/2017,104.15
9/6/2017,104.09
9/7/2017,104
9/8/2017,104
9/11/2017,103.88
9/12/2017,103
9/13/2017,103.12
9/14/2017,102.7
9/15/2017,102.72
9/18/2017,102.76
9/19/2017,102.6
9/20/2017,102.02
9/21/2017,101.4
9/22/2017,102.02
9/25/2017,102
9/26/2017,102.1
9/27/2017,101.91
9/28/2017,102.14
9/29/2017,102.75
9/30/2017,96.07
10/2/2017,96.19
10/3/2017,96.17
10/4/2017,96.44
10/5/2017,96.56
10/6/2017,96.27
10/9/2017,96.27
10/10/2017,96.3
10/11/2017,96.34
10/12/2017,96.33
10/13/2017,96.35
10/16/2017,96.31
10/17/2017,96.18
10/18/2017,96.02
10/19/2017,96.2
10/20/2017,95.95
10/23/2017,95.84
10/24/2017,95.59
10/25/2017,95.33
10/26/2017,95.3
10/27/2017,95.06
10/30/2017,95.56
10/31/2017,95.66
11/1/2017,95.7
11/2/2017,95.86
11/3/2017,95.62
11/6/2017,95.12
11/7/2017,95.05
11/8/2017,94.57
11/9/2017,94.75
11/10/2017,94.34
11/13/2017,94.68
11/14/2017,94.91
11/15/2017,94.95
11/16/2017,94.95
11/17/2017,94.98
11/20/2017,94.95
11/21/2017,95
11/22/2017,95.05
11/23/2017,95.05
11/24/2017,95.21
11/27/2017,95.47
11/28/2017,95.8
11/29/2017,95.65
11/30/2017,95.6
12/1/2017,95.62
12/4/2017,95.62
12/5/2017,95.6
12/6/2017,95.82
12/7/2017,95.64
12/8/2017,95.58
12/11/2017,95.65
12/12/2017,95.64
12/13/2017,95.65
12/14/2017,95.72
12/15/2017,95.98
12/18/2017,95.98
12/19/2017,95.96
12/20/2017,95.95
12/21/2017,95.86
12/22/2017,95.88
12/26/2017,95.88
12/27/2017,96
12/28/2017,96
12/29/2017,96.09
12/31/2017,96.09
1/2/2018,96.07
1/3/2018,96.37
1/4/2018,96.75
1/5/2018,97.93
1/8/2018,97.8
1/9/2018,97.09
1/10/2018,96.6
1/11/2018,96.92
1/12/2018,96.94
1/15/2018,96.94
1/16/2018,97.26
1/17/2018,97.14
1/18/2018,96.75
1/19/2018,96.34
1/22/2018,96.41
1/23/2018,96.8
1/24/2018,96.74
1/25/2018,97
1/26/2018,97.93
1/29/2018,97.01
1/30/2018,97.05
1/31/2018,97.64
2/1/2018,97.71
2/2/2018,96.97
2/5/2018,96.42
2/6/2018,96.28
2/7/2018,96.68
2/8/2018,95.88
2/9/2018,95.02
2/12/2018,94.51
2/13/2018,94.24
2/14/2018,93.28
2/15/2018,93.42
2/16/2018,94.5
2/19/2018,94.5
2/20/2018,94.41
2/21/2018,94.31
2/22/2018,94.1
2/23/2018,94.28
2/26/2018,94.31
2/27/2018,94.35
2/28/2018,94.23
3/1/2018,93.84
3/2/2018,93.51
3/5/2018,93.6
3/6/2018,94
3/7/2018,93.88
3/8/2018,93.7
3/9/2018,93.58
3/12/2018,93.93
3/13/2018,93.95
3/14/2018,94.15
3/15/2018,94.15
3/16/2018,93.99
3/19/2018,93.18
3/20/2018,92.75
3/21/2018,92.6
3/22/2018,92.7
3/23/2018,92.22
3/26/2018,92.05
3/27/2018,92.79
3/28/2018,93.5
3/29/2018,93.72
3/31/2018,93.72
4/2/2018,93.71
4/3/2018,93.99
4/4/2018,94.02
4/5/2018,94.7
4/6/2018,94.9
4/9/2018,94.62
4/10/2018,94.25
4/11/2018,94
4/12/2018,94
4/13/2018,94.01
4/16/2018,93.83
4/17/2018,93.81
4/18/2018,93.59
4/19/2018,93.55
4/20/2018,93.3
4/23/2018,92.83
4/24/2018,92.84
4/25/2018,92.47
4/26/2018,92.55
4/27/2018,92.36
4/30/2018,92.22
5/1/2018,91.57
5/2/2018,91.15
5/3/2018,90.25
5/4/2018,90.05
5/7/2018,90.42
5/8/2018,90.06
5/9/2018,89.69
5/10/2018,91.39
5/11/2018,91.77
5/14/2018,92.12
5/15/2018,91.71
5/16/2018,91.44
5/17/2018,90.62
5/18/2018,90.48
5/21/2018,90.37
5/22/2018,91.13
5/23/2018,91.41
5/24/2018,92.18
5/25/2018,93.2
5/28/2018,93.2
5/29/2018,93.47
5/30/2018,93.21
5/31/2018,92.41
6/1/2018,91.89
6/4/2018,91.86
6/5/2018,91.92
6/6/2018,91.83
6/7/2018,91.91
6/8/2018,91.48
6/11/2018,91.42
6/12/2018,91.04
6/13/2018,90.61
6/14/2018,91.29
6/15/2018,91.06
6/18/2018,90.65
6/19/2018,90.29
6/20/2018,91
6/21/2018,91.11
6/22/2018,91.62
6/25/2018,91.66
6/26/2018,91.46
6/27/2018,91.52
6/28/2018,91.63
6/29/2018,91.82
6/30/2018,91.82
7/2/2018,91.77
7/3/2018,92.06
7/4/2018,92.06
7/5/2018,92.39
7/6/2018,92.68
7/9/2018,93.26
7/10/2018,93.54
7/11/2018,93.5
7/12/2018,93.6
7/13/2018,93.85
7/16/2018,93.68
7/17/2018,93.41
7/18/2018,93.39
7/19/2018,93.35
7/20/2018,93.36
7/23/2018,93.33
7/24/2018,93.3
7/25/2018,93.48
7/26/2018,93.58
7/27/2018,93.66
7/30/2018,93.63
7/31/2018,93.72
8/1/2018,93.37
8/2/2018,92.87
8/3/2018,92.84
8/6/2018,92.8
8/7/2018,92.86
8/8/2018,92.6
8/9/2018,92.17
8/10/2018,91.64
8/13/2018,90.5
8/14/2018,90.73
8/15/2018,90.49
8/16/2018,90.23
8/17/2018,90.54
8/20/2018,90.48
8/21/2018,90.56
8/22/2018,91.27
8/23/2018,91.36
8/24/2018,91.34
8/27/2018,91.43
8/28/2018,91.63
8/29/2018,91.65
8/30/2018,92.29
8/31/2018,92.23
9/3/2018,92.23
9/4/2018,92.22
9/5/2018,92.24
9/6/2018,92.49
9/7/2018,92.68
9/10/2018,92.42
9/11/2018,92.42
9/12/2018,92.52
9/13/2018,92.8
9/14/2018,93.19
9/17/2018,93.18
9/18/2018,93.04
9/19/2018,92.79
9/20/2018,92.8
9/21/2018,92.96
9/24/2018,92.92
9/25/2018,92.98
9/26/2018,93.43
9/27/2018,93.98
9/28/2018,94.3
9/30/2018,94.3
10/1/2018,94.73
10/2/2018,94.81
10/3/2018,94.81
10/4/2018,93.61
10/5/2018,93.74
10/8/2018,93.74
10/9/2018,93.28
10/10/2018,93.03
10/11/2018,92.76
10/12/2018,92.86
10/15/2018,92.87
10/16/2018,92.97
10/17/2018,93.14
10/18/2018,92.77
10/19/2018,92.44
10/22/2018,92.37
10/23/2018,92.14
10/24/2018,92.09
10/25/2018,91.73
10/26/2018,91.56
10/29/2018,91.81
10/30/2018,91.53
10/31/2018,91.37
11/1/2018,91.18
11/2/2018,91.4
11/5/2018,91.38
11/6/2018,91.32
11/7/2018,91.41
11/8/2018,91.02
11/9/2018,90.89
11/12/2018,90.89
11/13/2018,90.33
11/14/2018,90.12
11/15/2018,90.23
11/16/2018,90.5
11/19/2018,90.52
11/20/2018,89.96
11/21/2018,89.97
11/22/2018,89.97
11/23/2018,89.27
11/26/2018,89.08
11/27/2018,88.83
11/28/2018,88.75
11/29/2018,89.41
11/30/2018,89.52
12/3/2018,90.42
12/4/2018,91.32
12/5/2018,91.32
12/6/2018,91.37
