Date,GDGE
5/6/2016,110.13
5/9/2016,110.13
5/10/2016,110.13
5/11/2016,110.13
5/12/2016,110.38
5/13/2016,110.38
5/16/2016,110.46
5/17/2016,110.63
5/18/2016,110.63
5/19/2016,110.13
5/20/2016,110.13
5/23/2016,110
5/24/2016,110
5/25/2016,110
5/26/2016,110
5/27/2016,110
5/30/2016,110
5/31/2016,109.95
6/1/2016,110
6/2/2016,110
6/3/2016,110
6/6/2016,110
6/7/2016,110.39
6/8/2016,110.45
6/9/2016,110.38
6/10/2016,110.25
6/13/2016,110.31
6/14/2016,110.15
6/15/2016,109.9
6/16/2016,109.98
6/17/2016,110
6/20/2016,110
6/21/2016,110.38
6/22/2016,110.28
6/23/2016,110.13
6/24/2016,109.28
6/27/2016,109.54
6/28/2016,109.52
6/29/2016,110.38
6/30/2016,110.01
7/1/2016,110.3
7/4/2016,110.3
7/5/2016,110.54
7/6/2016,110.41
7/7/2016,110.33
7/8/2016,110.31
7/11/2016,110.67
7/12/2016,110.67
7/13/2016,110.74
7/14/2016,110.76
7/15/2016,110.76
7/18/2016,110.76
7/19/2016,110.9
7/20/2016,111
7/21/2016,111
7/22/2016,110.88
7/25/2016,110.8
7/26/2016,110.65
7/27/2016,110.75
7/28/2016,110.75
7/29/2016,110.75
7/31/2016,110.75
8/1/2016,110.94
8/2/2016,111
8/3/2016,110.8
8/4/2016,110.88
8/5/2016,110.92
8/8/2016,111.04
8/9/2016,111.25
8/10/2016,111.25
8/11/2016,111.25
8/12/2016,111.25
8/15/2016,111.25
8/16/2016,111.25
8/17/2016,111.25
8/18/2016,111.25
8/19/2016,111.43
8/22/2016,111.38
8/23/2016,111.2
8/24/2016,111.14
8/25/2016,111.25
8/26/2016,111.21
8/29/2016,111.26
8/30/2016,111.5
8/31/2016,111.5
9/1/2016,111.5
9/2/2016,111.5
9/5/2016,111.5
9/6/2016,111.53
9/7/2016,111.63
9/8/2016,111.53
9/9/2016,111.5
9/12/2016,111.5
9/13/2016,111.55
9/14/2016,111.26
9/15/2016,111.5
9/16/2016,111.5
9/19/2016,111.55
9/20/2016,111.67
9/21/2016,111.55
9/22/2016,112
9/23/2016,112
9/26/2016,111.71
9/27/2016,111.66
9/28/2016,111.71
9/29/2016,111.5
9/30/2016,111.5
10/3/2016,111.52
10/4/2016,111.5
10/5/2016,111.5
10/6/2016,111.5
10/7/2016,111.5
10/10/2016,111.5
10/11/2016,111.46
10/12/2016,111.46
10/13/2016,111.5
10/14/2016,111.5
10/17/2016,111.46
10/18/2016,111.46
10/19/2016,111.44
10/20/2016,111.5
10/21/2016,111.5
10/24/2016,111.5
10/25/2016,111.5
10/26/2016,111.51
10/27/2016,111.46
10/28/2016,111.5
10/31/2016,111.5
11/1/2016,111.5
11/2/2016,111.5
11/3/2016,111.5
11/4/2016,111.25
11/7/2016,111.25
11/8/2016,111.3
11/9/2016,111.38
11/10/2016,110.76
11/11/2016,110.76
11/14/2016,108
11/15/2016,108
11/16/2016,107.98
11/17/2016,107.88
11/18/2016,108.01
11/21/2016,107.81
11/22/2016,107.88
11/23/2016,107.88
11/24/2016,107.88
11/25/2016,107.85
11/28/2016,107.88
11/29/2016,107.74
11/30/2016,107.88
12/1/2016,107.88
12/2/2016,107.93
12/5/2016,107.88
12/6/2016,108.15
12/7/2016,108.13
12/8/2016,108.38
12/9/2016,108.38
12/12/2016,108.35
12/13/2016,108.71
12/14/2016,108.68
12/15/2016,108.63
12/16/2016,108.63
12/19/2016,108.88
12/20/2016,108.88
12/21/2016,108.88
12/22/2016,108.88
12/23/2016,108.88
12/27/2016,108.88
12/28/2016,108.88
12/29/2016,108.88
12/30/2016,108.87
12/31/2016,108.87
1/3/2017,109.15
