Date,GDRU
5/6/2016,118.21
5/9/2016,118.32
5/10/2016,118.29
5/11/2016,118.44
5/12/2016,118.91
5/13/2016,118.77
5/16/2016,118.86
5/17/2016,118.87
5/18/2016,118.7
5/19/2016,118.27
5/20/2016,118.22
5/23/2016,117.9
5/24/2016,118.11
5/25/2016,118.18
5/26/2016,118.17
5/27/2016,118.15
5/30/2016,118.15
5/31/2016,118.25
6/1/2016,118.31
6/2/2016,118.44
6/3/2016,118.83
6/6/2016,119.01
6/7/2016,119.18
6/8/2016,119.7
6/9/2016,119.37
6/10/2016,119.22
6/13/2016,118.97
6/14/2016,118.7
6/15/2016,118.77
6/16/2016,118.81
6/17/2016,118.8
6/20/2016,119.11
6/21/2016,119.29
6/22/2016,119.35
6/23/2016,119.57
6/24/2016,118.92
6/27/2016,119.21
6/28/2016,119.64
6/29/2016,120.26
6/30/2016,119.51
7/1/2016,119.84
7/4/2016,119.84
7/5/2016,119.82
7/6/2016,119.72
7/7/2016,119.78
7/8/2016,119.81
7/11/2016,119.94
7/12/2016,119.94
7/13/2016,119.89
7/14/2016,119.95
7/15/2016,119.79
7/18/2016,119.51
7/19/2016,119.45
7/20/2016,119.43
7/21/2016,119.5
7/22/2016,119.51
7/25/2016,119.42
7/26/2016,119.24
7/27/2016,119.28
7/28/2016,119.34
7/29/2016,119.18
7/31/2016,119.18
8/1/2016,119.39
8/2/2016,119.29
8/3/2016,119.32
8/4/2016,119.68
8/5/2016,119.98
8/8/2016,120.07
8/9/2016,120.13
8/10/2016,120.24
8/11/2016,119.92
8/12/2016,119.72
8/15/2016,119.82
8/16/2016,119.88
8/17/2016,119.31
8/18/2016,119.55
8/19/2016,119.53
8/22/2016,119.5
8/23/2016,119.49
8/24/2016,119.53
8/25/2016,119.56
8/26/2016,119.65
8/29/2016,119.64
8/30/2016,119.75
8/31/2016,119.8
9/1/2016,119.81
9/2/2016,119.85
9/5/2016,119.85
9/6/2016,119.61
9/7/2016,120.09
9/8/2016,120.4
9/9/2016,120.02
9/12/2016,119.62
9/13/2016,119.72
9/14/2016,119.53
9/15/2016,119.33
9/16/2016,119.39
9/19/2016,119.58
9/20/2016,119.61
9/21/2016,119.64
9/22/2016,120.14
9/23/2016,120.08
9/26/2016,119.94
9/27/2016,119.91
9/28/2016,119.97
9/29/2016,120.05
9/30/2016,119.54
10/3/2016,119.61
10/4/2016,119.57
10/5/2016,119.29
10/6/2016,119.22
10/7/2016,119.08
10/10/2016,119.08
10/11/2016,118.66
10/12/2016,118.39
10/13/2016,118.06
10/14/2016,118.17
10/17/2016,117.98
10/18/2016,118.04
10/19/2016,118.2
10/20/2016,118.41
10/21/2016,118.38
10/24/2016,118.34
10/25/2016,118.34
10/26/2016,118.15
10/27/2016,117.9
10/28/2016,117.85
10/31/2016,117.41
11/1/2016,117.29
11/2/2016,117.17
11/3/2016,117.19
11/4/2016,116.94
11/7/2016,117.08
11/8/2016,117.36
11/9/2016,117.16
11/10/2016,116.26
11/11/2016,116.26
11/14/2016,114.9
11/15/2016,115.45
11/16/2016,115.27
11/17/2016,115.42
11/18/2016,115.14
11/21/2016,115.27
11/22/2016,115.33
11/23/2016,115.23
11/24/2016,115.23
11/25/2016,115.18
11/28/2016,115.21
11/29/2016,115.25
11/30/2016,115.18
12/1/2016,114.9
12/2/2016,115.17
12/5/2016,115.09
12/6/2016,115.18
12/7/2016,115.51
12/8/2016,115.42
12/9/2016,115.46
12/12/2016,115.29
12/13/2016,115.51
12/14/2016,115.79
12/15/2016,115.2
12/16/2016,115.31
12/19/2016,115.31
12/20/2016,115.41
12/21/2016,115.48
12/22/2016,115.5
12/23/2016,115.54
12/27/2016,115.51
12/28/2016,115.56
12/29/2016,115.58
12/30/2016,115.61
12/31/2016,115.61
1/3/2017,115.68
1/4/2017,115.87
1/5/2017,116.31
1/6/2017,116.56
1/9/2017,116.48
1/10/2017,116.46
