Date,GDTR
9/28/2016,110.28
9/29/2016,110.17
9/30/2016,110.35
10/3/2016,110.97
10/4/2016,111.41
10/5/2016,110.75
10/6/2016,110.85
10/7/2016,111.1
10/10/2016,111.1
10/11/2016,110.58
10/12/2016,109.93
10/13/2016,110.13
10/14/2016,109.97
10/17/2016,109.52
10/18/2016,109.64
10/19/2016,109.89
10/20/2016,110.05
10/21/2016,109.96
10/24/2016,109.91
10/25/2016,109.88
10/26/2016,109.55
10/27/2016,108.92
10/28/2016,108.46
10/31/2016,108.05
11/1/2016,107.39
11/2/2016,107.26
11/3/2016,107.39
11/4/2016,106.67
11/7/2016,106.83
11/8/2016,107.09
9/22/2016,112.92
9/23/2016,112.82
9/26/2016,111.23
9/27/2016,110.96
8/15/2016,112.86
8/16/2016,112.88
8/17/2016,112.59
8/18/2016,112.48
8/19/2016,112.12
8/22/2016,111.58
8/23/2016,112.74
8/24/2016,112.61
8/25/2016,112.67
8/26/2016,112.8
8/29/2016,112.73
8/30/2016,112.33
8/31/2016,112
9/1/2016,111.47
9/2/2016,111.31
9/5/2016,111.31
9/6/2016,111.9
9/7/2016,112.74
9/8/2016,112.35
9/9/2016,111.81
9/12/2016,111.03
9/13/2016,111.15
9/14/2016,110.59
9/15/2016,110.5
9/16/2016,110.84
9/19/2016,111.13
9/20/2016,111.27
9/21/2016,111.65
5/27/2016,109.83
5/30/2016,109.83
5/31/2016,109.89
6/1/2016,110.09
6/2/2016,110.41
6/3/2016,111.32
6/6/2016,111.68
6/7/2016,111.95
6/8/2016,112.37
6/9/2016,112.17
6/10/2016,111.84
6/13/2016,111.53
6/14/2016,110.88
6/15/2016,110.95
6/16/2016,111.17
6/17/2016,111.76
6/20/2016,112.29
6/21/2016,112.33
6/22/2016,112.56
6/23/2016,112.74
6/24/2016,111.59
6/27/2016,112.15
6/28/2016,112.9
6/29/2016,114.14
6/30/2016,113.78
7/1/2016,114.41
7/4/2016,114.41
7/5/2016,114.3
7/6/2016,114.26
7/7/2016,114.55
7/8/2016,115.22
7/11/2016,116.28
7/12/2016,115.98
7/13/2016,115.69
7/14/2016,115.4
7/15/2016,114.96
7/18/2016,113.15
7/19/2016,111.19
7/20/2016,109.59
7/21/2016,109.06
7/22/2016,110.09
7/25/2016,110.33
7/26/2016,109.93
7/27/2016,110.1
7/28/2016,110.53
7/29/2016,109.95
7/31/2016,110.21
8/1/2016,110.91
8/2/2016,110.76
8/3/2016,110.08
8/4/2016,110.4
8/5/2016,110.67
8/8/2016,112.02
8/9/2016,112.06
8/10/2016,112.66
8/11/2016,112.56
8/12/2016,112.86
5/6/2016,110.09
5/9/2016,110.21
5/10/2016,110.42
5/11/2016,110.54
5/12/2016,110.88
5/13/2016,110.56
5/16/2016,110.48
5/17/2016,110.69
5/18/2016,110.31
5/19/2016,109.66
5/20/2016,109.63
5/23/2016,109.21
5/24/2016,109.5
5/25/2016,109.69
5/26/2016,109.85
11/9/2016,106.41
11/10/2016,103.64
11/11/2016,103.64
11/14/2016,100.18
11/15/2016,102.07
11/16/2016,101.79
11/17/2016,102.11
11/18/2016,101.16
11/21/2016,101.26
11/22/2016,101.48
11/23/2016,100.69
11/24/2016,100.69
11/25/2016,100.62
11/28/2016,101.08
11/29/2016,101.27
11/30/2016,101.2
12/1/2016,100.07
12/2/2016,99.55
12/5/2016,99.46
12/6/2016,100.46
