Date,GAGE
1/31/2026,100
2/2/2026,100.048
2/3/2026,100.079
2/4/2026,100.074
2/5/2026,100.095
2/6/2026,100.117
2/9/2026,100.192
2/10/2026,100.214
2/11/2026,100.307
2/12/2026,100.337
2/13/2026,100.359
2/16/2026,100.434
2/17/2026,100.473
2/18/2026,100.494
2/19/2026,100.515
2/20/2026,100.546
2/23/2026,100.611
2/24/2026,100.633
2/25/2026,100.645
2/26/2026,100.769
2/27/2026,100.799
2/28/2026,100.826
3/2/2026,100.864
3/3/2026,100.885
3/4/2026,100.896
3/5/2026,100.9
3/6/2026,100.923
3/9/2026,100.991
3/10/2026,101.009
3/11/2026,101.021
3/12/2026,101.06
3/13/2026,101.081
3/16/2026,101.151
3/17/2026,101.176
3/18/2026,101.246
3/19/2026,101.267
3/20/2026,101.288
3/23/2026,101.363
3/24/2026,101.39
3/25/2026,101.435
3/26/2026,101.461
3/27/2026,101.486
3/30/2026,101.551
3/31/2026,101.573
4/1/2026,101.581
4/2/2026,101.6
4/3/2026,101.618
4/6/2026,101.691
4/7/2026,101.703
4/8/2026,101.594
4/9/2026,101.616
4/10/2026,101.637
4/13/2026,101.712
4/14/2026,101.727
4/15/2026,101.765
4/16/2026,101.784
4/17/2026,101.805
4/20/2026,101.879
4/21/2026,101.907
4/22/2026,101.951
4/23/2026,101.976
4/24/2026,102
4/27/2026,102.072
4/28/2026,102.094
4/29/2026,102.117
4/30/2026,102.142
5/1/2026,102.167
5/4/2026,102.237
5/5/2026,102.255
5/6/2026,102.266
5/7/2026,102.194
5/8/2026,102.212
