Date,GDAM
5/6/2016,108.907
5/9/2016,108.952
5/10/2016,109.114
5/11/2016,109.261
5/12/2016,109.488
5/13/2016,109.516
5/16/2016,109.573
5/17/2016,109.585
5/18/2016,109.805
5/19/2016,108.877
5/20/2016,108.891
5/23/2016,108.839
5/24/2016,108.9
5/25/2016,109.003
5/26/2016,109.161
5/27/2016,109.121
5/30/2016,109.162
5/31/2016,108.996
6/1/2016,109.214
6/2/2016,109.232
6/3/2016,109.544
6/6/2016,109.791
6/7/2016,110.77
6/8/2016,111.182
6/9/2016,111.557
6/10/2016,111.53
6/13/2016,111.224
6/14/2016,111.038
6/15/2016,110.98
6/16/2016,111.07
6/17/2016,111.152
6/20/2016,111.92
6/21/2016,112.143
6/22/2016,112.092
6/23/2016,113.497
6/24/2016,112.407
6/27/2016,112.478
6/28/2016,112.906
6/29/2016,113.348
6/30/2016,113.217
7/1/2016,114.03
7/4/2016,114.09
7/5/2016,114.321
7/6/2016,115.465
7/7/2016,115.693
7/8/2016,115.887
7/11/2016,116.338
7/12/2016,116.57
7/13/2016,116.813
7/14/2016,119.139
7/15/2016,119.242
7/18/2016,118.765
7/19/2016,118.661
7/20/2016,118.654
7/21/2016,118.811
7/22/2016,118.281
7/25/2016,118.341
7/26/2016,118.334
7/27/2016,117.026
7/28/2016,117.232
7/29/2016,116.882
7/31/2016,116.902
8/1/2016,116.877
8/2/2016,116.966
8/3/2016,116.991
8/4/2016,117.219
8/5/2016,117.573
8/8/2016,117.644
8/9/2016,118.314
8/10/2016,119.312
8/11/2016,119.355
8/12/2016,119.592
8/15/2016,119.561
8/16/2016,119.598
8/17/2016,119.561
8/18/2016,119.525
8/19/2016,119.523
8/22/2016,119.625
8/23/2016,119.519
8/24/2016,119.63
8/25/2016,119.669
8/26/2016,119.304
8/29/2016,119.369
8/30/2016,119.467
8/31/2016,119.341
9/1/2016,119.293
9/2/2016,119.314
9/5/2016,119.374
9/6/2016,119.519
9/7/2016,119.571
9/8/2016,119.641
9/9/2016,119.654
9/12/2016,119.006
9/13/2016,119.026
9/14/2016,118.633
9/15/2016,118.268
9/16/2016,118.265
9/19/2016,118.326
9/20/2016,118.42
9/21/2016,118.44
9/22/2016,119.091
9/23/2016,119.111
9/26/2016,119.241
9/27/2016,119.123
9/28/2016,119.143
9/29/2016,119.301
9/30/2016,119.183
10/3/2016,119.246
10/4/2016,119.53
10/5/2016,119.193
10/6/2016,119.285
10/7/2016,119.237
10/10/2016,119.3
10/11/2016,119.268
10/12/2016,119.398
10/13/2016,119.142
10/14/2016,119.308
10/17/2016,119.346
10/18/2016,119.145
10/19/2016,119.399
10/20/2016,119.445
10/21/2016,119.573
10/24/2016,119.571
10/25/2016,119.722
10/26/2016,119.592
10/27/2016,119.341
10/28/2016,119.341
10/31/2016,119.357
11/1/2016,119.416
11/2/2016,119.444
11/3/2016,119.527
11/4/2016,119.525
11/7/2016,119.663
11/8/2016,119.629
11/9/2016,119.518
11/10/2016,118.613
11/11/2016,118.634
11/14/2016,115.475
11/15/2016,115.488
11/16/2016,115.545
11/17/2016,116.235
11/18/2016,116.133
11/21/2016,116.036
11/22/2016,116.334
11/23/2016,116.648
11/24/2016,116.669
11/25/2016,116.538
11/28/2016,116.603
11/29/2016,117.078
11/30/2016,117.25
12/1/2016,117.043
12/2/2016,117.24
12/5/2016,117.254
12/6/2016,118.156
12/7/2016,118.278
12/8/2016,118.828
12/9/2016,119.116
12/12/2016,119.122
12/13/2016,119.338
12/14/2016,119.636
12/15/2016,119.349
12/16/2016,119.558
12/19/2016,119.647
12/20/2016,119.66
12/21/2016,119.809
12/22/2016,119.938
12/23/2016,119.977
12/27/2016,120.06
12/28/2016,120.119
12/29/2016,120.19
12/30/2016,120.063
12/31/2016,120.084
1/3/2017,120.395
1/4/2017,120.769
1/5/2017,121.149
1/6/2017,121.534
1/9/2017,121.386
1/10/2017,121.25
1/11/2017,121.133
1/12/2017,121.211
1/13/2017,121.232
1/16/2017,121.294
1/17/2017,121.367
1/18/2017,121.04
1/19/2017,120.743
1/20/2017,120.614
1/23/2017,120.898
1/24/2017,121.066
1/25/2017,120.516
1/26/2017,120.63
1/27/2017,120.791
1/30/2017,120.681
1/31/2017,120.805
2/1/2017,120.742
2/2/2017,120.811
2/3/2017,120.904
