Date,GDAZ
5/6/2016,105.823
5/9/2016,106.14
5/10/2016,106.154
5/11/2016,106.442
5/12/2016,107.552
5/13/2016,107.292
5/16/2016,107.336
5/17/2016,107.897
5/18/2016,107.638
5/19/2016,106.558
5/20/2016,106.846
5/23/2016,106.889
5/24/2016,106.904
5/25/2016,106.918
5/26/2016,106.659
5/27/2016,106.674
5/30/2016,106.717
5/31/2016,106.443
6/1/2016,106.731
6/2/2016,106.746
6/3/2016,107.092
6/6/2016,107.414
6/7/2016,107.837
6/8/2016,108.518
6/9/2016,109.194
6/10/2016,109.394
6/13/2016,109.072
6/14/2016,108.539
6/15/2016,108.006
6/16/2016,108.362
6/17/2016,108.996
6/20/2016,110.273
6/21/2016,110.698
6/22/2016,110.166
6/23/2016,110.18
6/24/2016,109.373
6/27/2016,109.69
6/28/2016,111.347
6/29/2016,111.635
6/30/2016,112.197
7/1/2016,113.306
7/4/2016,113.349
7/5/2016,112.269
7/6/2016,112.283
7/7/2016,112.298
7/8/2016,112.586
7/11/2016,112.903
7/12/2016,112.781
7/13/2016,114.027
7/14/2016,114.315
7/15/2016,115.15
7/18/2016,114.92
7/19/2016,114.934
7/20/2016,114.949
7/21/2016,115.511
7/22/2016,114.43
7/25/2016,114.474
7/26/2016,113.525
7/27/2016,113.539
7/28/2016,113.302
7/29/2016,112.572
7/31/2016,112.586
8/1/2016,112.861
8/2/2016,112.555
8/3/2016,112.569
8/4/2016,112.819
8/5/2016,113.803
8/8/2016,114.505
8/9/2016,114.823
8/10/2016,114.959
8/11/2016,115.384
8/12/2016,115.48
8/15/2016,116.262
8/16/2016,116.277
8/17/2016,116.348
8/18/2016,116.306
8/19/2016,116.32
8/22/2016,116.221
8/23/2016,115.902
8/24/2016,115.708
8/25/2016,115.038
8/26/2016,115.053
8/29/2016,114.79
8/30/2016,114.859
8/31/2016,114.837
9/1/2016,114.851
9/2/2016,114.848
9/5/2016,114.892
9/6/2016,115.493
9/7/2016,115.967
9/8/2016,116.076
9/9/2016,115.834
9/12/2016,115.023
9/13/2016,114.643
9/14/2016,114.433
9/15/2016,114.246
9/16/2016,114.26
9/19/2016,114.655
9/20/2016,114.704
9/21/2016,114.823
9/22/2016,115.963
9/23/2016,115.916
9/26/2016,115.645
9/27/2016,115.674
9/28/2016,115.99
9/29/2016,116.097
9/30/2016,116.257
10/3/2016,116.314
10/4/2016,116.843
10/5/2016,116.629
10/6/2016,116.552
10/7/2016,116.774
10/10/2016,116.819
10/11/2016,117.033
10/12/2016,116.715
10/13/2016,116.817
10/14/2016,116.854
10/17/2016,116.894
10/18/2016,116.947
10/19/2016,116.961
10/20/2016,116.943
10/21/2016,116.99
10/24/2016,117.011
10/25/2016,117.017
10/26/2016,116.897
10/27/2016,116.077
10/28/2016,116.363
10/31/2016,116.298
11/1/2016,116.187
11/2/2016,116.023
11/3/2016,115.921
11/4/2016,115.412
11/7/2016,115.752
11/8/2016,116.089
11/9/2016,115.544
11/10/2016,113.739
11/11/2016,113.754
11/14/2016,110.299
11/15/2016,111.042
11/16/2016,111.028
11/17/2016,110.643
11/18/2016,110.451
11/21/2016,110.388
11/22/2016,110.839
11/23/2016,110.777
11/24/2016,110.792
11/25/2016,110.932
11/28/2016,111.234
11/29/2016,111.413
11/30/2016,111.899
12/1/2016,111.607
12/2/2016,111.965
12/5/2016,112.125
12/6/2016,112.422
12/7/2016,112.407
12/8/2016,112.64
12/9/2016,112.637
12/12/2016,112.793
12/13/2016,112.954
12/14/2016,113.122
12/15/2016,112.31
12/16/2016,112.236
12/19/2016,112.417
12/20/2016,112.271
12/21/2016,112.385
12/22/2016,112.4
12/23/2016,112.443
12/27/2016,112.798
12/28/2016,112.494
12/29/2016,112.699
12/30/2016,112.658
12/31/2016,112.658
1/3/2017,112.75
1/4/2017,113.3
1/5/2017,113.872
1/6/2017,113.92
1/9/2017,113.687
1/10/2017,113.803
1/11/2017,113.567
1/12/2017,114.203
1/13/2017,114.384
1/16/2017,114.429
1/17/2017,114.735
1/18/2017,114.604
1/19/2017,113.551
1/20/2017,113.536
1/23/2017,113.838
1/24/2017,114.205
1/25/2017,113.493
1/26/2017,113.338
1/27/2017,113.539
1/30/2017,113.231
1/31/2017,113.426
2/1/2017,113.414
2/2/2017,113.798
2/3/2017,114.221
2/6/2017,114.543
2/7/2017,114.703
2/8/2017,114.902
2/9/2017,114.937
2/10/2017,115.079
2/13/2017,115.253
2/14/2017,115.508
2/15/2017,115.41
2/16/2017,115.43
2/17/2017,115.704
2/20/2017,115.748
2/21/2017,115.833
2/22/2017,116.01
2/23/2017,115.961
2/24/2017,116.114
2/27/2017,116.1
2/28/2017,116.183
3/1/2017,115.696
3/2/2017,115.747
3/3/2017,115.623
3/6/2017,115.806
3/7/2017,115.785
3/8/2017,115.119
3/9/2017,114.018
3/10/2017,113.841
3/13/2017,114.124
3/14/2017,113.696
3/15/2017,113.658
3/16/2017,114.368
3/17/2017,114.461
3/20/2017,114.4
3/21/2017,115.015
3/22/2017,114.878
3/23/2017,115.004
3/24/2017,115.155
3/27/2017,115.343
3/28/2017,115.381
3/29/2017,115.513
3/30/2017,115.668
3/31/2017,115.553
4/3/2017,115.584
4/4/2017,115.813
4/5/2017,115.921
4/6/2017,116.334
4/7/2017,116.354
4/10/2017,116.395
4/11/2017,116.521
4/12/2017,116.408
4/13/2017,116.418
4/17/2017,116.565
4/18/2017,116.587
4/19/2017,116.806
4/20/2017,116.789
4/21/2017,116.87
4/24/2017,116.985
4/25/2017,117.063
4/26/2017,117.068
4/27/2017,117.214
4/28/2017,117.313
4/30/2017,117.343
5/1/2017,117.457
5/2/2017,117.69
5/3/2017,118.189
5/4/2017,117.89
5/5/2017,117.632
5/8/2017,117.678
5/9/2017,117.605
5/10/2017,117.786
5/11/2017,117.918
5/12/2017,117.699
5/15/2017,118.13
5/16/2017,117.817
5/17/2017,116.75
5/18/2017,116.562
5/19/2017,116.663
5/22/2017,116.457
5/23/2017,117.417
5/24/2017,117.791
5/25/2017,117.636
5/26/2017,117.979
5/29/2017,118.024
5/30/2017,118.013
5/31/2017,117.543
6/1/2017,117.739
6/2/2017,117.754
6/5/2017,117.931
6/6/2017,117.889
6/7/2017,118.055
6/8/2017,117.854
6/9/2017,117.744
6/12/2017,117.631
6/13/2017,117.634
6/14/2017,117.649
6/15/2017,117.149
6/16/2017,117.173
6/19/2017,117.288
6/20/2017,116.415
6/21/2017,116.379
6/22/2017,115.776
6/23/2017,116.07
6/26/2017,116.583
6/27/2017,116.699
6/28/2017,116.474
6/29/2017,116.42
6/30/2017,116.337
7/3/2017,116.414
7/4/2017,116.429
7/5/2017,116.004
7/6/2017,114.722
7/7/2017,114.618
7/10/2017,115.463
7/11/2017,115.444
7/12/2017,115.933
7/13/2017,116.082
7/14/2017,116.452
7/17/2017,116.474
7/18/2017,116.741
7/19/2017,116.91
7/20/2017,117.425
7/21/2017,118.06
7/24/2017,118.111
7/25/2017,118.091
7/26/2017,118.175
7/27/2017,118.55
7/28/2017,118.589
7/31/2017,118.691
8/1/2017,118.79
8/2/2017,118.934
8/3/2017,119.218
8/4/2017,119.141
8/7/2017,119.046
8/8/2017,119.205
8/9/2017,118.959
8/10/2017,118.725
8/11/2017,118.218
8/14/2017,118.724
8/15/2017,118.746
8/16/2017,118.701
8/17/2017,119.099
8/18/2017,118.903
8/21/2017,118.834
8/22/2017,118.941
8/23/2017,119.151
8/24/2017,119.331
8/25/2017,119.312
8/28/2017,119.758
8/29/2017,119.928
8/30/2017,120.632
8/31/2017,121.514
9/1/2017,122.131
9/4/2017,122.177
9/5/2017,121.911
9/6/2017,121.859
9/7/2017,121.77
9/8/2017,121.785
9/11/2017,121.69
9/12/2017,120.699
9/13/2017,120.854
9/14/2017,120.383
9/15/2017,120.423
9/18/2017,120.512
9/19/2017,120.346
9/20/2017,119.697
9/21/2017,119.001
9/22/2017,119.727
9/25/2017,119.749
9/26/2017,119.873
9/27/2017,119.679
9/28/2017,119.95
9/29/2017,120.67
9/30/2017,120.685
10/2/2017,120.872
10/3/2017,120.86
10/4/2017,121.211
10/5/2017,121.377
10/6/2017,121.028
10/9/2017,121.073
10/10/2017,121.124
10/11/2017,121.189
10/12/2017,121.185
10/13/2017,121.23
10/16/2017,121.223
10/17/2017,121.073
10/18/2017,120.897
10/19/2017,121.137
10/20/2017,120.83
10/23/2017,120.736
10/24/2017,120.442
10/25/2017,120.13
10/26/2017,120.103
10/27/2017,119.817
10/30/2017,120.478
10/31/2017,120.622
11/1/2017,120.683
11/2/2017,120.896
11/3/2017,120.616
11/6/2017,120.033
11/7/2017,119.963
11/8/2017,119.376
11/9/2017,119.61
11/10/2017,119.113
11/13/2017,119.586
11/14/2017,119.884
11/15/2017,119.957
11/16/2017,119.966
11/17/2017,120.016
11/20/2017,120.023
11/21/2017,120.11
11/22/2017,120.184
11/23/2017,120.199
11/24/2017,120.413
11/27/2017,120.78
11/28/2017,121.218
11/29/2017,121.034
11/30/2017,120.998
12/1/2017,121.031
12/4/2017,121.082
12/5/2017,121.071
12/6/2017,121.361
12/7/2017,121.14
12/8/2017,121.089
12/11/2017,121.214
12/12/2017,121.22
12/13/2017,121.254
12/14/2017,121.352
12/15/2017,121.694
12/18/2017,121.73
12/19/2017,121.727
12/20/2017,121.727
12/21/2017,121.637
12/22/2017,121.668
12/26/2017,121.728
12/27/2017,121.9
12/28/2017,121.905
12/29/2017,122.032
12/31/2017,122.047
1/2/2018,122.061
1/3/2018,122.443
1/4/2018,122.939
1/5/2018,124.43
1/8/2018,124.312
1/9/2018,123.435
1/10/2018,122.843
1/11/2018,123.252
1/12/2018,123.3
1/15/2018,123.344
1/16/2018,123.762
1/17/2018,123.616
1/18/2018,123.142
1/19/2018,122.653
1/22/2018,122.78
1/23/2018,123.284
1/24/2018,123.222
1/25/2018,123.572
1/26/2018,124.751
1/29/2018,123.632
1/30/2018,123.685
1/31/2018,124.436
2/1/2018,124.548
2/2/2018,123.627
2/5/2018,122.986
2/6/2018,122.822
2/7/2018,123.346
2/8/2018,122.354
2/9/2018,121.299
2/12/2018,120.695
2/13/2018,120.378
2/14/2018,119.194
2/15/2018,119.383
2/16/2018,120.751
2/19/2018,120.796
2/20/2018,120.699
2/21/2018,120.589
2/22/2018,120.34
2/23/2018,120.572
2/26/2018,120.66
2/27/2018,120.72
2/28/2018,120.611
3/1/2018,120.137
3/2/2018,119.734
3/5/2018,119.894
3/6/2018,120.417
3/7/2018,120.273
3/8/2018,120.072
3/9/2018,119.935
3/12/2018,120.415
3/13/2018,120.453
3/14/2018,120.721
3/15/2018,120.742
3/16/2018,120.557
3/19/2018,119.569
3/20/2018,119.04
3/21/2018,118.863
3/22/2018,119.015
3/23/2018,118.418
3/26/2018,118.25
3/27/2018,119.201
3/28/2018,120.109
3/29/2018,120.402
3/31/2018,120.418
4/2/2018,120.436
4/3/2018,120.812
4/4/2018,120.869
4/5/2018,121.753
4/6/2018,122.033
4/9/2018,121.714
4/10/2018,121.26
4/11/2018,120.951
4/12/2018,120.961
4/13/2018,120.993
4/16/2018,120.812
4/17/2018,120.798
4/18/2018,120.527
4/19/2018,120.491
4/20/2018,120.19
4/23/2018,119.635
4/24/2018,119.66
4/25/2018,119.2
4/26/2018,119.323
4/27/2018,119.086
4/30/2018,118.965
5/1/2018,118.14
5/2/2018,117.619
5/3/2018,116.479
5/4/2018,116.233
5/7/2018,116.758
5/8/2018,116.313
5/9/2018,115.851
5/10/2018,118.05
5/11/2018,118.547
5/14/2018,119.04
5/15/2018,118.538
5/16/2018,118.198
5/17/2018,117.169
5/18/2018,116.997
5/21/2018,116.911
5/22/2018,117.896
5/23/2018,118.27
5/24/2018,119.276
5/25/2018,120.601
5/28/2018,120.646
5/29/2018,121.002
5/30/2018,120.669
5/31/2018,119.664
6/1/2018,119.014
6/4/2018,119.016
6/5/2018,119.114
6/6/2018,119.01
6/7/2018,119.121
6/8/2018,118.588
6/11/2018,118.561
6/12/2018,118.081
6/13/2018,117.553
6/14/2018,118.442
6/15/2018,118.152
6/18/2018,117.685
6/19/2018,117.231
6/20/2018,118.16
6/21/2018,118.31
6/22/2018,118.981
6/25/2018,119.082
6/26/2018,118.843
6/27/2018,118.927
6/28/2018,119.087
6/29/2018,119.344
6/30/2018,119.36
7/2/2018,119.326
7/3/2018,119.72
7/4/2018,119.735
7/5/2018,120.173
7/6/2018,120.559
7/9/2018,121.346
7/10/2018,121.712
7/11/2018,121.681
7/12/2018,121.83
7/13/2018,122.161
7/16/2018,121.991
7/17/2018,121.662
7/18/2018,121.654
7/19/2018,121.608
7/20/2018,121.638
7/23/2018,121.65
7/24/2018,121.618
7/25/2018,121.864
7/26/2018,122.018
7/27/2018,122.134
7/30/2018,122.127
7/31/2018,122.257
8/1/2018,121.819
8/2/2018,121.192
8/3/2018,121.176
8/6/2018,121.164
8/7/2018,121.261
8/8/2018,120.944
8/9/2018,120.403
8/10/2018,119.742
8/13/2018,118.32
8/14/2018,118.64
8/15/2018,118.338
8/16/2018,118.025
8/17/2018,118.44
8/20/2018,118.402
8/21/2018,118.518
8/22/2018,119.445
8/23/2018,119.579
8/24/2018,119.564
8/27/2018,119.726
8/28/2018,120.001
8/29/2018,120.044
8/30/2018,120.861
8/31/2018,120.8
9/3/2018,120.847
9/4/2018,120.846
9/5/2018,120.892
9/6/2018,121.23
9/7/2018,121.497
9/10/2018,121.203
9/11/2018,121.219
9/12/2018,121.361
9/13/2018,121.736
9/14/2018,122.259
9/17/2018,122.3
9/18/2018,122.131
9/19/2018,121.816
9/20/2018,121.852
9/21/2018,122.067
9/24/2018,122.07
9/25/2018,122.152
9/26/2018,122.758
9/27/2018,123.489
9/28/2018,123.917
9/30/2018,123.948
10/1/2018,124.527
10/2/2018,124.652
10/3/2018,124.665
10/4/2018,123.101
10/5/2018,123.296
10/8/2018,123.343
10/9/2018,122.748
10/10/2018,122.442
10/11/2018,122.099
10/12/2018,122.247
10/15/2018,122.311
10/16/2018,122.448
10/17/2018,122.688
10/18/2018,122.226
10/19/2018,121.803
10/22/2018,121.754
10/23/2018,121.475
10/24/2018,121.424
10/25/2018,120.969
10/26/2018,120.756
10/29/2018,121.136
10/30/2018,120.762
10/31/2018,120.573
11/1/2018,120.334
11/2/2018,120.64
11/5/2018,120.66
11/6/2018,120.601
11/7/2018,120.728
11/8/2018,120.234
11/9/2018,120.083
11/12/2018,120.13
11/13/2018,119.407
11/14/2018,119.147
11/15/2018,119.314
11/16/2018,119.676
11/19/2018,119.75
11/20/2018,119.033
11/21/2018,119.068
11/22/2018,119.084
11/23/2018,118.184
11/26/2018,117.979
11/27/2018,117.664
11/28/2018,117.572
11/29/2018,118.457
11/30/2018,118.62
12/3/2018,119.842
12/4/2018,121.036
