Date,GDGE
5/6/2016,203.418
5/9/2016,203.523
5/10/2016,203.558
5/11/2016,203.593
5/12/2016,204.088
5/13/2016,204.123
5/16/2016,204.378
5/17/2016,204.724
5/18/2016,204.759
5/19/2016,203.874
5/20/2016,203.909
5/23/2016,203.785
5/24/2016,203.82
5/25/2016,203.855
5/26/2016,203.89
5/27/2016,203.925
5/30/2016,204.031
5/31/2016,203.939
6/1/2016,204.066
6/2/2016,204.101
6/3/2016,204.136
6/6/2016,204.242
6/7/2016,204.994
6/8/2016,205.139
6/9/2016,205.037
6/10/2016,204.842
6/13/2016,205.058
6/14/2016,204.798
6/15/2016,204.374
6/16/2016,204.556
6/17/2016,204.628
6/20/2016,204.733
6/21/2016,205.458
6/22/2016,205.309
6/23/2016,205.069
6/24/2016,203.548
6/27/2016,204.135
6/28/2016,204.124
6/29/2016,205.739
6/30/2016,205.107
7/1/2016,205.679
7/4/2016,205.784
7/5/2016,206.25
7/6/2016,206.053
7/7/2016,205.934
7/8/2016,205.939
7/11/2016,206.696
7/12/2016,206.731
7/13/2016,206.906
7/14/2016,206.974
7/15/2016,207.009
7/18/2016,207.115
7/19/2016,207.414
7/20/2016,207.626
7/21/2016,207.661
7/22/2016,207.476
7/25/2016,207.434
7/26/2016,207.193
7/27/2016,207.412
7/28/2016,207.447
7/29/2016,207.482
7/31/2016,207.518
8/1/2016,207.902
8/2/2016,208.048
8/3/2016,207.715
8/4/2016,207.897
8/5/2016,208.006
8/8/2016,208.328
8/9/2016,208.753
8/10/2016,208.788
8/11/2016,208.824
8/12/2016,208.859
8/15/2016,208.964
8/16/2016,208.999
8/17/2016,209.034
8/18/2016,209.069
8/19/2016,209.426
8/22/2016,209.44
8/23/2016,209.153
8/24/2016,209.078
8/25/2016,209.315
8/26/2016,209.277
8/29/2016,209.478
8/30/2016,209.951
8/31/2016,209.951
9/1/2016,209.986
9/2/2016,210.021
9/5/2016,210.126
9/6/2016,210.207
9/7/2016,210.426
9/8/2016,210.287
9/9/2016,210.267
9/12/2016,210.372
9/13/2016,210.503
9/14/2016,210.001
9/15/2016,210.478
9/16/2016,210.513
9/19/2016,210.714
9/20/2016,210.969
9/21/2016,210.784
9/22/2016,211.643
9/23/2016,211.678
9/26/2016,211.246
9/27/2016,211.19
9/28/2016,211.317
9/29/2016,210.969
9/30/2016,211.004
10/3/2016,211.139
10/4/2016,211.152
10/5/2016,211.187
10/6/2016,211.215
10/7/2016,211.25
10/10/2016,211.356
10/11/2016,211.314
10/12/2016,211.349
10/13/2016,211.461
10/14/2016,211.503
10/17/2016,211.524
10/18/2016,211.559
10/19/2016,211.556
10/20/2016,211.714
10/21/2016,211.749
10/24/2016,211.847
10/25/2016,211.882
10/26/2016,211.932
10/27/2016,211.875
10/28/2016,211.988
10/31/2016,212.065
11/1/2016,212.094
11/2/2016,212.13
11/3/2016,212.166
11/4/2016,211.729
11/7/2016,211.837
11/8/2016,211.968
11/9/2016,212.147
11/10/2016,211.013
11/11/2016,211.049
11/14/2016,205.93
11/15/2016,205.966
11/16/2016,205.959
11/17/2016,205.817
11/18/2016,206.09
11/21/2016,205.819
11/22/2016,205.982
11/23/2016,206.019
11/24/2016,206.055
11/25/2016,206.044
11/28/2016,206.2
11/29/2016,205.982
11/30/2016,206.272
12/1/2016,206.308
12/2/2016,206.454
12/5/2016,206.453
12/6/2016,207.012
12/7/2016,206.999
12/8/2016,207.525
12/9/2016,207.561
12/12/2016,207.607
12/13/2016,208.322
12/14/2016,208.311
12/15/2016,208.244
12/16/2016,208.273
12/19/2016,208.856
12/20/2016,208.892
12/21/2016,208.928
12/22/2016,208.964
12/23/2016,209
12/27/2016,209.145
12/28/2016,209.181
12/29/2016,209.218
12/30/2016,209.244
12/31/2016,209.244
1/3/2017,209.884
1/4/2017,210.303
1/5/2017,211.814
1/6/2017,212.267
1/9/2017,212.019
1/10/2017,212.222
1/11/2017,212.452
1/12/2017,212.295
1/13/2017,213.042
1/16/2017,213.151
1/17/2017,213.424
1/18/2017,213.198
1/19/2017,213.022
1/20/2017,213.058
1/23/2017,213.167
1/24/2017,213.556
1/25/2017,213.239
1/26/2017,213.291
1/27/2017,213.319
1/30/2017,213.42
1/31/2017,213.428
2/1/2017,213.697
2/2/2017,213.682
2/3/2017,213.529
2/6/2017,213.926
2/7/2017,213.674
2/8/2017,214.43
2/9/2017,213.746
2/10/2017,213.782
2/13/2017,214.27
2/14/2017,214.473
2/15/2017,213.979
2/16/2017,214.474
2/17/2017,214.195
2/20/2017,214.304
2/21/2017,214.655
2/22/2017,214.691
2/23/2017,214.765
2/24/2017,214.763
2/27/2017,215.109
2/28/2017,214.886
3/1/2017,214.558
3/2/2017,214.579
3/3/2017,214.757
3/6/2017,214.724
3/7/2017,214.76
3/8/2017,214.796
3/9/2017,213.922
3/10/2017,214.868
3/13/2017,214.276
3/14/2017,213.828
3/15/2017,214.377
3/16/2017,215.086
3/17/2017,214.843
3/20/2017,215.231
3/21/2017,215.267
3/22/2017,215.303
3/23/2017,215.339
3/24/2017,215.375
3/27/2017,215.484
3/28/2017,215.41
3/29/2017,215.556
3/30/2017,215.593
3/31/2017,215.593
4/3/2017,215.701
4/4/2017,215.737
4/5/2017,215.774
4/6/2017,215.81
4/7/2017,216.1
4/10/2017,215.955
4/11/2017,214.99
4/12/2017,215.799
4/13/2017,215.836
4/17/2017,215.98
4/18/2017,216.017
4/19/2017,215.786
4/20/2017,215.822
4/21/2017,215.949
4/24/2017,216.262
4/25/2017,216.498
4/26/2017,216.534
4/27/2017,216.371
4/28/2017,216.606
4/30/2017,216.679
5/1/2017,216.716
5/2/2017,216.753
5/3/2017,216.99
5/4/2017,216.828
5/5/2017,216.865
5/8/2017,216.854
5/9/2017,217.03
5/10/2017,217.153
5/11/2017,217.285
5/12/2017,217.439
5/15/2017,217.52
5/16/2017,217.764
5/17/2017,217.509
5/18/2017,216.477
5/19/2017,217.341
5/22/2017,217.539
5/23/2017,217.6
5/24/2017,218.063
5/25/2017,217.612
5/26/2017,218.04
5/29/2017,218.152
5/30/2017,218.58
5/31/2017,218.776
6/1/2017,218.813
6/2/2017,218.655
6/5/2017,218.657
6/6/2017,218.804
6/7/2017,219.135
6/8/2017,219.27
6/9/2017,219.307
6/12/2017,219.956
6/13/2017,219.994
6/14/2017,220.139
6/15/2017,220.068
6/16/2017,220.213
6/19/2017,220.364
6/20/2017,219.522
6/21/2017,220.068
6/22/2017,220.33
6/23/2017,220.367
6/26/2017,220.352
6/27/2017,220.516
6/28/2017,220.114
6/29/2017,220.347
6/30/2017,220.423
7/3/2017,220.398
7/4/2017,220.436
7/5/2017,220.121
7/6/2017,219.924
7/7/2017,219.375
7/10/2017,220.063
7/11/2017,220.419
7/12/2017,220.597
7/13/2017,220.635
7/14/2017,220.516
7/17/2017,220.839
7/18/2017,220.763
7/19/2017,220.898
7/20/2017,221.033
7/21/2017,221.07
7/24/2017,221.28
