Date,GDRU
5/6/2016,594.154
5/9/2016,594.982
5/10/2016,594.913
5/11/2016,595.785
5/12/2016,598.198
5/13/2016,597.628
5/16/2016,598.336
5/17/2016,598.517
5/18/2016,597.763
5/19/2016,595.699
5/20/2016,595.572
5/23/2016,594.266
5/24/2016,595.432
5/25/2016,595.87
5/26/2016,595.944
5/27/2016,595.914
5/30/2016,596.115
5/31/2016,596.708
6/1/2016,597.103
6/2/2016,597.85
6/3/2016,599.917
6/6/2016,601.094
6/7/2016,602.045
6/8/2016,604.711
6/9/2016,603.191
6/10/2016,602.537
6/13/2016,601.606
6/14/2016,600.348
6/15/2016,600.777
6/16/2016,601.112
6/17/2016,601.129
6/20/2016,602.98
6/21/2016,603.961
6/22/2016,604.379
6/23/2016,605.592
6/24/2016,602.432
6/27/2016,604.195
6/28/2016,606.401
6/29/2016,609.601
6/30/2016,609.969
7/1/2016,611.742
7/4/2016,612.039
7/5/2016,612.049
7/6/2016,611.616
7/7/2016,612.018
7/8/2016,612.307
7/11/2016,613.224
7/12/2016,613.342
7/13/2016,613.174
7/14/2016,613.581
7/15/2016,612.862
7/18/2016,611.766
7/19/2016,611.584
7/20/2016,611.566
7/21/2016,612.007
7/22/2016,612.133
7/25/2016,612.025
7/26/2016,611.173
7/27/2016,611.491
7/28/2016,611.913
7/29/2016,611.195
7/31/2016,611.294
8/1/2016,612.465
8/2/2016,612.061
8/3/2016,612.313
8/4/2016,614.2
8/5/2016,615.844
8/8/2016,616.561
8/9/2016,617.005
8/10/2016,617.655
8/11/2016,616.098
8/12/2016,615.21
8/15/2016,616.035
8/16/2016,616.398
8/17/2016,613.659
8/18/2016,614.967
8/19/2016,614.947
8/22/2016,615.092
8/23/2016,615.143
8/24/2016,615.422
8/25/2016,615.693
8/26/2016,616.236
8/29/2016,616.502
8/30/2016,617.066
8/31/2016,617.405
9/1/2016,617.534
9/2/2016,617.857
9/5/2016,618.155
9/6/2016,617.045
9/7/2016,619.58
9/8/2016,621.223
9/9/2016,619.429
9/12/2016,617.674
9/13/2016,618.27
9/14/2016,617.412
9/15/2016,616.514
9/16/2016,616.909
9/19/2016,618.164
9/20/2016,618.427
9/21/2016,618.706
9/22/2016,621.301
9/23/2016,621.095
9/26/2016,620.676
9/27/2016,620.668
9/28/2016,621.054
9/29/2016,621.574
9/30/2016,620.97
10/3/2016,621.642
10/4/2016,621.539
10/5/2016,620.218
10/6/2016,619.925
10/7/2016,619.294
10/10/2016,619.595
10/11/2016,617.557
10/12/2016,616.251
10/13/2016,614.686
10/14/2016,615.316
10/17/2016,614.654
10/18/2016,615.043
10/19/2016,615.977
10/20/2016,617.165
10/21/2016,617.141
10/24/2016,617.216
10/25/2016,617.337
10/26/2016,616.449
10/27/2016,615.227
10/28/2016,615.067
10/31/2016,615.33
11/1/2016,614.79
11/2/2016,614.282
11/3/2016,614.497
11/4/2016,613.292
11/7/2016,614.349
11/8/2016,615.88
11/9/2016,614.918
11/10/2016,610.39
11/11/2016,610.49
11/14/2016,603.692
11/15/2016,606.67
11/16/2016,605.833
11/17/2016,606.718
11/18/2016,605.349
11/21/2016,606.355
11/22/2016,606.76
11/23/2016,606.313
11/24/2016,606.413
11/25/2016,606.245
11/28/2016,606.716
11/29/2016,607.045
11/30/2016,606.767
12/1/2016,605.402
12/2/2016,606.939
12/5/2016,606.78
12/6/2016,607.349
12/7/2016,609.187
12/8/2016,608.798
12/9/2016,609.123
12/12/2016,608.545
12/13/2016,609.782
12/14/2016,611.335
12/15/2016,608.391
12/16/2016,609.039
12/19/2016,609.343
12/20/2016,609.973
12/21/2016,610.412
12/22/2016,610.611
12/23/2016,610.941
12/27/2016,611.187
12/28/2016,611.561
12/29/2016,611.769
12/30/2016,611.887
12/31/2016,611.987
1/3/2017,612.668
1/4/2017,613.736
1/5/2017,616.179
1/6/2017,617.554
1/9/2017,617.451
1/10/2017,617.438
1/11/2017,615.212
1/12/2017,616.83
1/13/2017,616.165
1/16/2017,616.466
1/17/2017,617.888
1/18/2017,617.487
1/19/2017,615.641
1/20/2017,616.018
1/23/2017,617.141
1/24/2017,617.514
1/25/2017,616.257
1/26/2017,616.016
1/27/2017,617.277
1/30/2017,616.746
1/31/2017,617.307
2/1/2017,616.746
2/2/2017,618.422
2/3/2017,618.938
2/6/2017,619.47
2/7/2017,619.659
2/8/2017,620.619
2/9/2017,621.262
2/10/2017,621.484
2/13/2017,622.708
2/14/2017,622.645
2/15/2017,622.042
2/16/2017,622.68
2/17/2017,622.919
2/20/2017,623.222
2/21/2017,623.567
2/22/2017,623.815
2/23/2017,624.033
2/24/2017,624.217
2/27/2017,624.721
2/28/2017,624.834
3/1/2017,624.085
3/2/2017,624.184
3/3/2017,624.406
3/6/2017,625.01
3/7/2017,624.844
3/8/2017,623.758
3/9/2017,621.685
3/10/2017,620.963
3/13/2017,621.448
3/14/2017,620.574
3/15/2017,620.257
3/16/2017,622.029
3/17/2017,622.608
