Date,GDTR
7/31/2016,603.901
8/1/2016,607.736
8/2/2016,607.061
8/3/2016,603.451
8/4/2016,605.259
8/5/2016,606.821
8/8/2016,614.375
8/9/2016,614.716
8/10/2016,617.989
8/11/2016,617.573
8/12/2016,619.299
8/15/2016,619.531
8/16/2016,619.777
8/17/2016,618.298
8/18/2016,617.792
8/19/2016,615.957
8/22/2016,613.303
8/23/2016,619.635
8/24/2016,619.054
8/25/2016,619.45
8/26/2016,620.266
8/29/2016,620.155
8/30/2016,618.01
8/31/2016,616.323
9/1/2016,613.529
9/2/2016,612.762
9/5/2016,613.04
9/6/2016,616.345
9/7/2016,620.979
9/8/2016,618.962
9/9/2016,616.083
9/12/2016,612.165
9/13/2016,612.885
9/14/2016,609.959
9/15/2016,609.59
9/16/2016,611.484
9/19/2016,613.346
9/20/2016,614.221
9/21/2016,616.332
9/22/2016,623.336
9/23/2016,622.875
9/26/2016,614.524
9/27/2016,613.153
9/28/2016,609.578
9/29/2016,609.099
9/30/2016,610.127
10/3/2016,613.798
10/4/2016,616.306
10/5/2016,612.82
10/6/2016,613.463
10/7/2016,614.904
10/10/2016,615.185
10/11/2016,612.457
10/12/2016,608.993
10/13/2016,610.178
10/14/2016,609.405
10/17/2016,607.203
10/18/2016,607.941
10/19/2016,609.434
10/20/2016,610.378
10/21/2016,609.985
10/25/2016,609.904
10/26/2016,608.199
10/27/2016,604.877
10/28/2016,602.422
10/31/2016,601.887
11/1/2016,598.334
11/2/2016,597.722
11/3/2016,598.562
11/4/2016,594.652
11/7/2016,595.805
11/8/2016,597.331
5/13/2016,599.353
5/16/2016,599.173
5/17/2016,600.391
5/18/2016,598.432
5/19/2016,595.08
5/20/2016,595.017
5/23/2016,593.046
5/24/2016,594.668
5/25/2016,595.797
5/26/2016,596.733
5/27/2016,596.75
5/30/2016,596.936
5/31/2016,596.664
6/1/2016,597.841
6/2/2016,599.671
6/3/2016,604.622
6/6/2016,606.833
6/7/2016,608.339
6/8/2016,610.68
6/9/2016,609.703
6/10/2016,608.041
6/13/2016,606.688
6/14/2016,603.295
6/15/2016,603.737
6/16/2016,605.041
6/17/2016,608.261
6/20/2016,611.399
6/21/2016,611.717
6/22/2016,613.016
6/23/2016,614.103
6/24/2016,608.023
6/27/2016,611.278
6/28/2016,615.399
6/29/2016,622.123
6/30/2016,621.681
7/1/2016,625.176
7/4/2016,625.455
7/5/2016,624.972
7/6/2016,624.819
7/7/2016,626.484
7/8/2016,630.178
7/11/2016,636.151
