Date,GJGE
12/31/2025,100
1/2/2026,100.047
1/5/2026,100.191
1/6/2026,100.243
1/7/2026,100.265
1/8/2026,100.038
1/9/2026,100.035
1/12/2026,100.158
1/13/2026,100.16
1/14/2026,100.478
1/15/2026,100.568
1/16/2026,100.552
1/19/2026,100.624
1/20/2026,100.669
1/21/2026,100.689
1/22/2026,100.768
1/23/2026,100.76
1/26/2026,100.825
1/27/2026,100.884
1/28/2026,100.993
1/29/2026,101.021
1/30/2026,101.05
1/31/2026,101.074
2/2/2026,101.107
2/3/2026,101.209
2/4/2026,101.171
2/5/2026,101.2
2/6/2026,101.223
2/9/2026,101.297
2/10/2026,101.321
2/11/2026,101.669
2/12/2026,101.704
2/13/2026,101.746
2/16/2026,101.829
2/17/2026,101.901
2/18/2026,101.984
2/19/2026,102.008
2/20/2026,102.06
2/23/2026,102.128
2/24/2026,102.151
2/25/2026,102.181
2/26/2026,102.555
2/27/2026,102.603
2/28/2026,102.628
3/2/2026,102.592
3/3/2026,102.615
3/4/2026,102.638
3/5/2026,102.604
3/6/2026,102.637
3/9/2026,102.706
3/10/2026,102.724
3/11/2026,102.744
3/12/2026,102.901
3/13/2026,102.929
3/16/2026,103.01
3/17/2026,103.057
3/18/2026,103.334
3/19/2026,103.36
3/20/2026,103.383
3/23/2026,103.496
3/24/2026,103.553
3/25/2026,103.713
3/26/2026,103.759
3/27/2026,103.803
3/30/2026,103.873
3/31/2026,103.903
4/1/2026,103.903
4/2/2026,103.92
4/3/2026,103.934
4/6/2026,104.01
4/7/2026,104.03
4/8/2026,103.62
4/9/2026,103.644
4/10/2026,103.67
4/13/2026,103.744
4/14/2026,103.753
4/15/2026,104.046
4/16/2026,104.066
4/17/2026,104.09
4/20/2026,104.169
4/21/2026,104.216
4/22/2026,104.397
4/23/2026,104.437
4/24/2026,104.477
4/27/2026,104.558
4/28/2026,104.596
4/29/2026,104.681
4/30/2026,104.722
5/1/2026,104.752
5/4/2026,104.827
5/5/2026,104.845
5/6/2026,104.866
5/7/2026,104.519
5/8/2026,104.529
