Date,Price
5/8/2026,"2,597.80"
5/7/2026,"2,615.33"
5/6/2026,"2,632.50"
5/5/2026,"2,644.37"
5/4/2026,"2,620.82"
4/30/2026,"2,658.21"
4/29/2026,"2,639.82"
4/28/2026,"2,696.58"
4/27/2026,"2,732.41"
4/24/2026,"2,733.00"
4/23/2026,"2,771.46"
4/22/2026,"2,761.64"
4/21/2026,"2,757.70"
4/20/2026,"2,753.66"
4/17/2026,"2,723.94"
4/16/2026,"2,741.14"
4/15/2026,"2,740.45"
4/14/2026,"2,725.51"
4/13/2026,"2,722.69"
4/10/2026,"2,725.39"
4/9/2026,"2,733.40"
4/8/2026,"2,765.06"
4/7/2026,"2,797.24"
4/6/2026,"2,784.87"
4/3/2026,"2,760.70"
4/2/2026,"2,774.41"
4/1/2026,"2,775.24"
3/31/2026,"2,776.37"
3/30/2026,"2,800.69"
3/27/2026,"2,789.61"
3/26/2026,"2,822.84"
3/25/2026,"2,840.14"
3/24/2026,"2,837.90"
3/23/2026,"2,833.43"
3/20/2026,"2,864.89"
3/19/2026,"2,868.99"
3/18/2026,"2,871.72"
3/17/2026,"2,853.53"
3/16/2026,"2,853.72"
3/13/2026,"2,871.86"
3/12/2026,"2,872.08"
3/11/2026,"2,854.05"
3/10/2026,"2,853.86"
3/9/2026,"2,888.68"
3/6/2026,"2,854.11"
3/5/2026,"2,825.00"
3/4/2026,"2,809.78"
3/3/2026,"2,825.14"
3/2/2026,"2,835.65"
2/27/2026,"2,799.14"
2/26/2026,"2,785.58"
2/25/2026,"2,795.39"
2/24/2026,"2,777.35"
2/20/2026,"2,780.60"
2/19/2026,"2,772.84"
2/18/2026,"2,779.08"
2/17/2026,"2,765.33"
2/16/2026,"2,782.60"
2/13/2026,"2,776.34"
2/12/2026,"2,765.66"
2/11/2026,"2,757.75"
2/10/2026,"2,717.04"
2/9/2026,"2,725.64"
2/6/2026,"2,735.43"
2/5/2026,"2,737.13"
2/4/2026,"2,776.31"
2/3/2026,"2,786.15"
2/2/2026,"2,768.56"
1/30/2026,"2,782.74"
1/29/2026,"2,797.76"
1/28/2026,"2,788.01"
1/27/2026,"2,781.39"
1/26/2026,"2,768.15"
1/23/2026,"2,777.29"
1/22/2026,"2,768.02"
1/21/2026,"2,770.53"
1/20/2026,"2,738.07"
1/19/2026,"2,750.25"
1/16/2026,"2,733.75"
1/15/2026,"2,701.32"
1/14/2026,"2,702.69"
1/13/2026,"2,696.92"
1/12/2026,"2,701.93"
1/9/2026,"2,724.85"
1/8/2026,"2,718.62"
1/6/2026,"2,745.26"
1/5/2026,"2,757.09"
12/30/2025,"2,766.62"
12/29/2025,"2,742.03"
12/26/2025,"2,754.89"
12/25/2025,"2,714.12"
12/24/2025,"2,720.02"
12/23/2025,"2,725.38"
12/22/2025,"2,715.98"
12/19/2025,"2,743.09"
12/18/2025,"2,753.07"
12/17/2025,"2,759.73"
12/16/2025,"2,774.23"
12/15/2025,"2,748.93"
12/12/2025,"2,739.49"
12/11/2025,"2,748.93"
12/10/2025,"2,720.66"
12/9/2025,"2,702.72"
12/8/2025,"2,705.17"
12/5/2025,"2,711.30"
12/4/2025,"2,657.13"
12/3/2025,"2,651.71"
12/2/2025,"2,667.20"
12/1/2025,"2,686.93"
11/28/2025,"2,676.42"
11/27/2025,"2,621.37"
11/26/2025,"2,668.38"
11/25/2025,"2,685.95"
11/24/2025,"2,654.84"
11/21/2025,"2,685.03"
11/20/2025,"2,628.31"
11/19/2025,"2,646.02"
11/18/2025,"2,563.07"
11/17/2025,"2,510.64"
11/14/2025,"2,525.68"
11/13/2025,"2,543.36"
11/12/2025,"2,536.22"
11/11/2025,"2,566.17"
11/10/2025,"2,558.60"
11/7/2025,"2,566.42"
11/6/2025,"2,542.70"
11/5/2025,"2,546.62"
11/3/2025,"2,570.96"
11/1/2025,"2,532.66"
10/31/2025,"2,525.20"
10/30/2025,"2,557.48"
10/29/2025,"2,523.35"
10/28/2025,"2,495.09"
10/27/2025,"2,476.79"
10/24/2025,"2,543.93"
10/23/2025,"2,570.67"
10/22/2025,"2,653.00"
10/21/2025,"2,632.42"
10/20/2025,"2,744.83"
10/17/2025,"2,721.14"
10/16/2025,"2,607.78"
10/15/2025,"2,545.22"
10/14/2025,"2,541.49"
10/13/2025,"2,576.38"
10/10/2025,"2,588.56"
10/9/2025,"2,638.37"
10/8/2025,"2,562.51"
10/7/2025,"2,668.60"
10/6/2025,"2,648.50"
10/3/2025,"2,604.55"
10/2/2025,"2,632.07"
10/1/2025,"2,647.25"
9/30/2025,"2,684.60"
9/29/2025,"2,684.09"
9/26/2025,"2,725.97"
9/25/2025,"2,708.68"
9/24/2025,"2,723.58"
9/23/2025,"2,758.65"
9/22/2025,"2,741.06"
9/19/2025,"2,748.06"
9/18/2025,"2,793.58"
9/17/2025,"2,814.04"
9/16/2025,"2,802.77"
9/15/2025,"2,809.85"
9/12/2025,"2,839.73"
9/11/2025,"2,908.14"
9/10/2025,"2,914.26"
9/9/2025,"2,935.96"
9/8/2025,"2,921.62"
9/5/2025,"2,901.45"
9/4/2025,"2,873.70"
9/3/2025,"2,867.55"
9/2/2025,"2,845.39"
9/1/2025,"2,886.97"
8/29/2025,"2,899.38"
8/28/2025,"2,912.72"
8/27/2025,"2,911.48"
8/26/2025,"2,885.87"
8/25/2025,"2,887.24"
8/22/2025,"2,896.76"
8/21/2025,"2,883.50"
8/20/2025,"2,940.78"
8/19/2025,"2,965.66"
8/18/2025,"2,951.26"
8/15/2025,"3,012.09"
8/14/2025,"2,977.34"
8/13/2025,"2,973.02"
8/12/2025,"2,977.18"
8/11/2025,"2,964.15"
8/8/2025,"2,924.63"
8/7/2025,"2,876.43"
8/6/2025,"2,764.62"
8/5/2025,"2,786.37"
8/4/2025,"2,773.85"
8/1/2025,"2,727.98"
7/31/2025,"2,732.12"
7/30/2025,"2,726.24"
7/29/2025,"2,758.28"
7/28/2025,"2,730.98"
7/25/2025,"2,772.39"
7/24/2025,"2,807.69"
7/23/2025,"2,841.16"
7/22/2025,"2,825.61"
7/21/2025,"2,821.78"
7/18/2025,"2,784.63"
7/17/2025,"2,761.48"
7/16/2025,"2,777.16"
7/15/2025,"2,756.95"
7/14/2025,"2,714.14"
7/11/2025,"2,642.02"
7/10/2025,"2,732.45"
7/9/2025,"2,696.45"
7/8/2025,"2,755.58"
7/7/2025,"2,756.14"
7/4/2025,"2,801.65"
7/3/2025,"2,823.34"
7/2/2025,"2,815.26"
7/1/2025,"2,848.44"
6/30/2025,"2,847.38"
6/27/2025,"2,806.11"
6/26/2025,"2,797.27"
6/25/2025,"2,790.78"
6/24/2025,"2,744.95"
6/23/2025,"2,759.67"
6/20/2025,"2,751.04"
6/19/2025,"2,783.81"
6/18/2025,"2,791.83"
6/17/2025,"2,788.94"
6/16/2025,"2,737.83"
6/13/2025,"2,750.32"
6/11/2025,"2,733.20"
6/10/2025,"2,722.37"
6/9/2025,"2,737.76"
6/6/2025,"2,786.16"
6/5/2025,"2,856.61"
6/4/2025,"2,836.64"
6/3/2025,"2,834.06"
6/2/2025,"2,829.67"
5/30/2025,"2,828.83"
5/29/2025,"2,809.94"
5/28/2025,"2,785.20"
5/27/2025,"2,736.75"
5/26/2025,"2,699.84"
5/23/2025,"2,770.10"
5/22/2025,"2,792.16"
5/21/2025,"2,809.58"
5/20/2025,"2,823.42"
5/19/2025,"2,882.63"
5/16/2025,"2,840.34"
5/15/2025,"2,840.05"
5/14/2025,"2,924.21"
5/13/2025,"2,935.53"
5/12/2025,"2,930.17"
5/8/2025,"2,850.93"
5/7/2025,"2,833.09"
5/6/2025,"2,820.07"
5/5/2025,"2,738.80"
5/2/2025,"2,836.70"
4/30/2025,"2,918.47"
