Date,TIBR,TIBR1M,TIBR3M,TIBR6M
2018-01-03,7.36,,,
2018-01-04,7.42,,,
2018-01-05,7.42,,,
2018-01-08,7.4,,,
2018-01-09,7.13,,,
2018-01-10,7.0,,,
2018-01-11,7.18,,,
2018-01-12,7.3,,,
2018-01-15,7.39,,,
2018-01-16,7.51,,,
2018-01-17,7.5,,,
2018-01-18,7.34,,,
2018-01-22,7.35,,,
2018-01-23,7.4,,,
2018-01-24,7.36,,,
2018-01-25,7.37,,,
2018-01-26,7.38,,,
2018-01-29,7.37,,,
2018-01-30,7.29,,,
2018-01-31,7.32,,,
2018-02-01,7.19,,,
2018-02-02,7.27,,,
2018-02-05,7.26,,,
2018-02-06,7.24,,,
2018-02-07,7.26,,,
2018-02-08,7.3,,,
2018-02-09,7.31,,,
2018-02-12,7.29,,,
2018-02-13,7.3,,,
2018-02-14,7.3,,,
2018-02-15,7.3,,,
2018-02-16,7.32,,,
2018-02-19,7.35,,,
2018-02-20,7.43,,,
2018-02-21,7.38,,,
2018-02-22,7.31,,,
2018-02-23,7.34,,,
2018-02-26,7.3,,,
2018-02-27,7.32,,,
2018-02-28,7.29,,,
2018-03-01,7.29,,,
2018-03-02,7.3,,,
2018-03-05,7.3,,,
2018-03-06,7.3,,,
2018-03-07,7.3,,,
2018-03-09,7.3,,,
2018-03-12,7.39,,,
2018-03-13,7.34,,,
2018-03-14,7.3,,,
2018-03-15,7.34,,,
2018-03-16,7.26,,,
2018-03-19,7.3,,,
2018-03-20,7.3,,,
2018-03-21,7.29,,,
2018-03-22,7.3,,,
2018-03-23,7.3,,,
2018-03-26,7.3,,,
2018-03-27,7.25,,,
2018-03-28,7.28,,,
2018-03-29,7.28,,,
2018-03-30,7.28,,,
2018-04-02,7.28,,,
2018-04-03,7.28,,,
2018-04-04,7.28,,,
2018-04-05,7.3,,,
2018-04-10,7.29,,,
2018-04-11,7.25,,,
2018-04-12,7.25,,,
2018-04-13,7.25,,,
2018-04-16,7.27,,,
2018-04-17,7.35,,,
2018-04-18,7.36,,,
2018-04-19,7.38,,,
2018-04-20,7.38,,,
2018-04-23,7.35,,,
2018-04-24,7.34,,,
2018-04-25,7.31,,,
2018-04-26,7.31,,,
2018-04-27,7.3,,,
2018-04-30,7.3,,,
2018-05-01,7.31,,,
2018-05-02,7.32,,,
2018-05-04,7.33,,,
2018-05-07,7.33,,,
2018-05-08,7.33,,,
2018-05-10,7.31,,,
2018-05-11,7.31,,,
2018-05-14,7.31,,,
2018-05-15,7.33,,,
2018-05-16,7.33,,,
2018-05-18,7.32,,,
2018-05-21,7.29,,,
2018-05-22,7.27,,,
2018-05-23,7.26,,,
2018-05-24,7.24,,,
2018-05-25,7.29,,,
2018-05-28,7.26,,,
2018-05-29,7.26,,,
2018-05-30,7.25,,,
2018-05-31,7.28,,,
2018-06-01,7.3,,,
2018-06-04,7.29,,,
2018-06-05,7.31,,,
2018-06-06,7.32,,,
2018-06-07,7.32,,,
2018-06-08,7.32,,,
2018-06-11,7.32,,,
2018-06-12,7.32,,,
2018-06-13,7.31,,,
2018-06-14,7.34,,,
2018-06-15,7.35,,,
2018-06-18,7.33,,,
2018-06-19,7.34,,,
2018-06-20,7.34,,,
2018-06-21,7.31,,,
2018-06-22,7.3,,,
2018-06-25,7.32,,,
2018-06-26,7.31,,,
2018-06-27,7.31,,,
2018-06-28,7.31,,,
2018-06-29,7.31,,,
2018-07-02,7.29,,,
2018-07-03,7.27,,,
2018-07-04,7.26,,,
2018-07-05,7.27,,,
2018-07-06,7.27,,,
2018-07-09,7.27,,,
2018-07-10,7.27,,,
2018-07-11,7.27,,,
2018-07-12,7.27,,,
2018-07-13,7.27,,,
2018-07-16,7.3,,,
2018-07-17,7.28,,,
2018-07-18,7.3,,,
2018-07-19,7.3,,,
2018-07-20,7.29,,,
2018-07-23,7.3,,,
2018-07-24,7.3,,,
2018-07-25,7.3,,,
2018-07-26,7.12,,,
2018-07-27,7.1,,,
2018-07-30,7.12,,,
2018-07-31,7.13,,,
2018-08-01,7.11,,,
2018-08-02,7.1,,,
2018-08-03,7.1,,,
2018-08-06,7.11,,,
2018-08-07,7.02,,,
2018-08-08,7.03,,,
2018-08-09,7.08,,,
2018-08-10,7.09,,,
2018-08-13,7.1,,,
2018-08-14,7.1,,,
2018-08-15,7.1,,,
2018-08-16,7.12,,,
2018-08-17,7.12,,,
2018-08-20,7.07,,,
2018-08-21,7.02,,,
2018-08-22,7.0,,,
2018-08-23,7.1,,,
2018-08-24,7.1,,,
2018-08-27,7.1,,,
2018-08-29,7.1,,,
2018-08-30,7.09,,,
2018-08-31,7.04,,,
2018-09-03,7.05,,,
2018-09-04,7.0,,,
2018-09-05,6.99,,,
2018-09-06,7.08,,,
2018-09-07,7.06,,,
2018-09-10,7.08,,,
2018-09-11,7.07,,,
2018-09-12,7.06,,,
2018-09-13,7.0,,,
2018-09-14,7.04,,,
2018-09-17,7.0,,,
2018-09-18,7.03,,,
2018-09-19,7.0,,,
2018-09-20,7.1,,,
2018-09-21,7.1,,,
2018-09-24,7.07,,,
2018-09-25,7.06,,,
2018-09-26,7.05,,,
2018-09-27,7.08,,,
2018-09-28,7.06,,,
2018-10-01,7.05,,,
2018-10-02,7.0,,,
2018-10-03,7.04,,,
2018-10-04,7.03,,,
2018-10-05,7.1,,,
2018-10-08,7.1,,,
2018-10-09,7.1,,,
2018-10-10,7.05,,,
2018-10-11,7.05,,,
2018-10-12,7.0,,,
2018-10-15,7.0,,,
2018-10-16,7.0,,,
2018-10-17,7.0,,,
2018-10-18,7.0,,,
2018-10-19,7.06,,,
2018-10-22,7.04,,,
2018-10-23,7.03,,,
2018-10-24,7.02,,,
2018-10-25,7.07,,,
2018-10-26,7.07,,,
2018-10-29,7.07,,,
2018-10-30,7.06,,,
2018-10-31,7.06,,,
2018-11-01,7.06,,,
2018-11-02,7.08,,,
2018-11-05,7.07,,,
2018-11-06,7.06,,,
2018-11-07,7.06,,,
2018-11-08,7.05,,,
2018-11-09,7.05,,,
2018-11-12,6.98,,,
2018-11-13,6.98,,,
2018-11-14,7.0,,,
2018-11-15,6.99,,,
2018-11-16,7.09,,,
2018-11-19,7.1,,,
2018-11-20,7.1,,,
2018-11-21,7.1,,,
2018-11-22,7.02,,,
2018-11-26,7.07,,,
2018-11-27,7.06,,,
2018-11-29,7.08,,,
2018-11-30,7.07,,,
2018-12-03,7.08,,,
2018-12-04,7.07,,,
2018-12-05,7.08,,,
2018-12-06,7.08,,,
2018-12-07,7.07,,,
2018-12-10,7.08,,,
2018-12-11,7.07,,,
2018-12-12,7.03,,,
2018-12-13,7.08,,,
2018-12-14,7.07,,,
2018-12-17,7.08,,,
2018-12-18,7.09,,,
2018-12-19,7.09,,,
2018-12-20,7.09,,,
2018-12-21,7.09,,,
2018-12-24,7.01,,,
2018-12-25,7.0,,,
2018-12-26,7.0,,,
2018-12-27,7.06,,,
2018-12-28,7.03,,,
2018-12-31,7.03,,,
2019-01-03,7.0,,,
2019-01-04,7.0,,,
2019-01-08,7.0,,,
2019-01-09,7.0,,,
2019-01-10,7.05,,,
2019-01-11,7.05,,,
2019-01-14,7.05,,,
2019-01-15,7.05,,,
2019-01-16,7.07,,,
2019-01-17,7.05,,,
2019-01-18,7.06,,,
2019-01-21,7.06,,,
2019-01-22,7.06,,,
2019-01-23,7.06,,,
2019-01-24,7.01,,,
2019-01-25,7.01,,,
2019-01-28,7.01,,,
2019-01-29,7.0,,,
2019-01-30,6.69,,,
2019-01-31,6.7,,,
2019-02-01,6.63,,,
2019-02-04,6.59,,,
2019-02-05,6.64,,,
2019-02-06,6.62,,,
2019-02-07,6.77,,,
2019-02-08,6.74,,,
2019-02-11,6.75,,,
2019-02-12,6.72,,,
2019-02-13,6.6,,,
2019-02-14,6.69,,,
2019-02-15,6.67,,,
2019-02-18,6.65,,,
2019-02-19,6.32,,,
2019-02-20,6.55,,,
2019-02-21,6.51,,,
2019-02-22,6.46,,,
2019-02-25,6.75,,,
2019-02-26,6.75,,,
2019-02-27,6.75,,,
2019-02-28,6.75,,,
2019-03-01,6.75,,,
2019-03-04,6.75,,,
2019-03-05,6.74,,,
2019-03-06,6.75,,,
2019-03-07,6.75,,,
2019-03-11,6.75,,,
2019-03-12,6.75,,,
2019-03-13,6.6,6.6837,6.9269,7.0826
2019-03-14,6.5,6.6837,6.9215,7.0804
2019-03-15,6.52,6.6769,6.9089,7.075
2019-03-18,6.5,6.6607,6.8963,7.0686
2019-03-19,6.5,6.6553,6.8897,7.0655
2019-03-20,6.5,6.6618,6.883,7.0627
