Date,US900123BB58,US900123AY60,US900123CB40,RU000A0JXU14,XS0767473852,XS0088543193,RU000A1006S9,XS3020792696,XS2010028939,XS2010043904,XS1678623734,XS1678623064,XS2808539410,XS2334109423,XS3262542155,XS2801343414
2018-01-01,,,,104.93,111.88,173.625,,,,,,,,,,
2018-01-02,116.48,111.7,88.2,104.29,112.12,173.625,,,,,,,,,,
2018-01-03,116.92,112.22,88.5,104.89,112.25,173.75,,,,,,,,,,
2018-01-04,116.97,112.17,88.45,105.88,112.62,173.875,,,,,,,,,,
2018-01-05,117.12,112.4,88.81,105.2,112.75,174.0,,,,,,,,,,
2018-01-08,117.19,112.17,88.65,106.58,113.88,174.625,,,,,,,,,,
2018-01-09,116.98,111.64,88.35,105.78,113.12,174.5,,,,,,,,,,
2018-01-10,116.13,111.18,87.16,105.33,112.38,174.0,,,,,,,,,,
2018-01-11,116.15,111.69,87.35,105.78,112.38,174.0,,,,,,,,,,
2018-01-12,116.2,111.96,87.43,105.19,112.25,173.875,,,,,,,,,,
2018-01-15,116.28,111.88,87.5,105.47,112.5,174.0,,,,,,,,,,
2018-01-16,116.03,111.46,87.24,105.56,112.75,174.125,,,,,,,,,,
2018-01-17,115.92,111.05,86.94,105.16,112.38,174.125,,,,,,,,,,
2018-01-18,115.43,110.51,86.66,104.43,111.5,173.125,,,,,,,,,,
2018-01-19,114.6,109.9,86.18,104.35,110.62,172.75,,,,,,,,,,
2018-01-22,114.33,109.88,85.54,103.84,110.5,172.5,,,,,,,,,,
2018-01-23,115.36,110.2,86.25,104.52,111.38,172.75,,,,,,,,,,
2018-01-24,114.8,109.82,86.19,104.36,110.88,172.375,,,,,,,,,,
2018-01-25,114.59,110.12,86.03,104.89,111.5,172.375,,,,,,,,,,
2018-01-26,114.77,110.33,86.24,104.86,112.0,172.5,,,,,,,,,,
2018-01-29,114.7,110.0,85.9,104.14,110.5,171.75,,,,,,,,,,
2018-01-30,114.12,109.47,85.38,104.39,111.12,171.875,,,,,,,,,,
2018-01-31,114.43,109.91,86.1,105.37,112.0,172.25,,,,,,,,,,
2018-02-01,114.48,110.13,85.99,105.96,112.88,172.375,,,,,,,,,,
2018-02-02,114.1,108.88,85.74,105.08,111.88,172.0,,,,,,,,,,
2018-02-05,112.68,108.26,84.59,104.38,111.38,171.625,,,,,,,,,,
2018-02-06,112.43,108.03,84.07,104.03,110.88,171.375,,,,,,,,,,
2018-02-07,112.84,108.43,84.44,104.37,111.75,171.75,,,,,,,,,,
2018-02-08,112.25,106.98,83.89,103.79,111.75,170.875,,,,,,,,,,
2018-02-09,110.8,106.13,82.29,102.09,108.88,170.0,,,,,,,,,,
2018-02-12,110.27,106.04,81.96,101.86,109.0,170.375,,,,,,,,,,
2018-02-13,110.35,105.71,82.21,102.06,108.38,169.625,,,,,,,,,,
2018-02-14,109.94,104.92,81.75,100.82,107.75,169.0,,,,,,,,,,
2018-02-15,109.7,105.41,81.69,101.76,108.38,169.25,,,,,,,,,,
2018-02-16,110.8,106.33,82.95,102.68,109.12,169.375,,,,,,,,,,
2018-02-19,110.95,106.73,83.15,103.11,109.5,169.625,,,,,,,,,,
2018-02-20,110.84,105.81,82.95,102.26,109.12,169.5,,,,,,,,,,
2018-02-21,110.42,106.05,82.28,102.46,109.25,169.25,,,,,,,,,,
2018-02-22,109.72,105.45,81.68,102.77,109.12,169.125,,,,,,,,,,
2018-02-23,109.62,105.26,81.75,103.71,110.25,169.375,,,,,,,,,,
2018-02-26,110.14,105.82,82.2,104.34,111.12,169.75,,,,,,,,,,
2018-02-27,110.3,105.61,82.25,103.89,110.75,169.75,,,,,,,,,,
2018-02-28,109.5,105.45,81.7,104.13,110.38,169.5,,,,,,,,,,
2018-03-01,109.53,105.18,82.01,103.28,109.62,168.875,,,,,,,,,,
2018-03-02,109.2,105.0,81.61,102.69,109.25,168.625,,,,,,,,,,
2018-03-05,109.3,105.0,81.52,102.14,109.38,168.5,,,,,,,,,,
2018-03-06,109.5,105.14,81.8,102.52,109.38,168.375,,,,,,,,,,
2018-03-07,109.39,105.0,81.74,101.63,108.88,168.0,,,,,,,,,,
2018-03-08,109.14,105.0,81.36,101.12,108.75,167.75,,,,,,,,,,
2018-03-09,109.07,105.0,81.21,101.01,108.62,167.5,,,,,,,,,,
2018-03-12,109.09,105.0,81.16,101.62,108.75,167.5,,,,,,,,,,
2018-03-13,108.55,104.12,80.55,101.77,108.75,167.5,,,,,,,,,,
2018-03-14,108.62,104.45,80.96,100.54,108.38,167.125,,,,,,,,,,
2018-03-15,108.57,104.31,80.96,100.04,107.88,166.625,,,,,,,,,,
2018-03-16,108.43,104.06,80.79,100.59,108.0,166.875,,,,,,,,,,
2018-03-19,107.93,103.62,80.57,99.93,107.75,166.75,,,,,,,,,,
2018-03-20,107.5,103.44,80.11,99.99,106.75,166.25,,,,,,,,,,
2018-03-21,107.68,103.57,80.19,100.19,107.0,166.375,,,,,,,,,,
2018-03-22,108.14,103.88,80.8,100.04,107.25,166.5,,,,,,,,,,
2018-03-23,107.67,103.56,80.4,99.78,106.75,166.25,,,,,,,,,,
