Date,EURUSD,GBPUSD,EURGEL,USDGEL,GELRUB,GELTRY,USDAMD,USDAZN,USDRUB,USDTRY
2018-01-01,1.200494647026062,1.351607084274292,3.113,2.572,22.2475,1.4491,484.08,1.7,57.220569999999995,3.7270852000000003
2018-01-02,1.2011579275131226,1.3511322736740112,3.1263,2.57,22.1891,1.44,484.08,1.7,57.02598699999999,3.7007999999999996
2018-01-03,1.2063454389572144,1.359619379043579,3.0939,2.555,22.1883,1.4567,484.1,1.7,56.69110650000001,3.7218685000000007
2018-01-04,1.2010425329208374,1.3511322736740112,3.1256,2.57,21.99,1.4349,484.07,1.69,56.51429999999999,3.687693
2018-01-05,1.2068840265274048,1.3552889823913574,3.1158,2.57,21.9888,1.4307,484.08,1.69,56.511216,3.676899
2018-01-08,1.2037460803985596,1.3575890064239502,3.0995,2.57,22.0566,1.4346,484.9,1.69,56.685461999999994,3.686922
2018-01-09,1.1970456838607788,1.3571282625198364,3.0857,2.565,22.0071,1.4456,484.9,1.69,56.4482115,3.707964
2018-01-10,1.1929330825805664,1.353234887123108,3.0644,2.545,22.2441,1.4687,484.7,1.69,56.611234499999995,3.7378414999999996
2018-01-11,1.1956144571304321,1.351278305053711,3.0862,2.545,22.0138,1.4596,483.98,1.69,56.025121,3.714682
2018-01-12,1.2042099237442017,1.3541878461837769,3.1077,2.53,22.2152,1.4574,483.5,1.69,56.20445599999999,3.6872219999999998
2018-01-15,1.2192296981811523,1.3733056783676147,3.1148,2.52,22.1771,1.4843,483.21,1.7,55.886292,3.740436
2018-01-16,1.2268433570861816,1.379824161529541,3.1203,2.525,22.2163,1.4797,483.0,1.69,56.0961575,3.7362425
2018-01-17,1.227129340171814,1.3798813819885254,3.1014,2.53,22.3409,1.4907,482.5,1.69,56.522477,3.7714709999999996
2018-01-18,1.218397855758667,1.382800817489624,3.1037,2.528,22.2761,1.4816,482.59,1.69,56.313980799999996,3.7454848000000003
2018-01-19,1.2236607074737549,1.3894678354263306,3.0993,2.528,22.3666,1.4957,481.95,1.69,56.54276479999999,3.7811296000000003
2018-01-22,1.2255502939224243,1.3891589641571045,3.0962,2.51,22.3713,1.4854,481.63,1.7,56.151963,3.728354
2018-01-23,1.2256253957748413,1.3984841108322144,3.0932,2.505,22.4111,1.4911,481.15,1.6895,56.1398055,3.7352055
2018-01-24,1.2310267686843872,1.401738166809082,3.1206,2.505,22.3316,1.4802,480.75,1.6895,55.940658,3.7079009999999997
2018-01-25,1.239111304283142,1.4220906496047974,3.0867,2.47,22.4666,1.4926,480.65,1.7,55.492502,3.686722
2018-01-26,1.239234209060669,1.4150274991989136,3.0528,2.4378,22.888,1.5142,480.55,1.6895,55.79636640000001,3.6913167600000003
2018-01-29,1.2428072690963745,1.4149274826049805,3.0863,2.47,22.5959,1.5079,480.6,1.7,55.811873000000006,3.7245130000000004
2018-01-30,1.2381141185760498,1.4076577425003052,3.1005,2.485,22.5494,1.503,480.53,1.7,56.035258999999996,3.7349549999999994
2018-01-31,1.2409565448760986,1.4155884981155396,3.0991,2.485,22.5243,1.4987,480.8,1.689,55.9728855,3.7242694999999997
2018-02-01,1.241865873336792,1.420051097869873,3.0962,2.455,22.6243,1.4952,480.95,1.7,55.54265650000001,3.6707160000000005
2018-02-02,1.2510008811950684,1.4266760349273682,3.0593,2.435,23.0367,1.5234,481.02,1.689,56.0943645,3.7094790000000004
2018-02-05,1.244694471359253,1.411133885383606,3.0486,2.445,23.26,1.5247,481.75,1.689,56.8707,3.7278914999999997
2018-02-06,1.2367818355560303,1.3943694829940796,3.0509,2.445,23.0636,1.5163,481.95,1.689,56.390502,3.7073534999999995
2018-02-07,1.2381294965744019,1.395868182182312,3.0111,2.435,23.5875,1.5368,484.75,1.6882,57.435562499999996,3.742108
2018-02-08,1.2268133163452148,1.3879250288009644,2.9883,2.42,23.9468,1.5531,484.75,1.6882,57.951256,3.7585019999999996
2018-02-09,1.2260762453079224,1.3934950828552246,2.9731,2.41,24.0223,1.5598,483.1,1.6882,57.89374300000001,3.7591180000000004
2018-02-12,1.2252799272537231,1.3827433586120605,2.9992,2.425,23.6841,1.5473,481.5,1.6882,57.4339425,3.7522024999999997
2018-02-13,1.2303755283355713,1.3852334022521973,3.0201,2.43,23.5851,1.5493,484.75,1.6882,57.31179300000001,3.764799
2018-02-14,1.235376238822937,1.3886960744857788,3.044,2.43,23.2,1.5366,481.6,1.6882,56.376000000000005,3.733938
2018-02-15,1.2467273473739624,1.401581048965454,3.0765,2.445,22.9262,1.5204,481.22,1.6882,56.054559,3.7173779999999996
2018-02-16,1.2503595352172852,1.4104173183441162,3.0581,2.45,22.8852,1.5106,480.92,1.7,56.068740000000005,3.7009700000000003
2018-02-19,1.241187572479248,1.4031543731689453,3.0671,2.457,22.8549,1.5103,481.0,1.6882,56.1544893,3.7108071
2018-02-20,1.2398641109466553,1.3992668390274048,3.0512,2.458,22.8723,1.5262,480.55,1.6882,56.2201134,3.7513996000000005
2018-02-21,1.233532428741455,1.4001091718673706,3.0255,2.448,23.0399,1.5289,480.45,1.6882,56.4016752,3.7427471999999997
2018-02-22,1.2281843423843384,1.3910139799118042,3.0419,2.452,22.8761,1.5237,480.55,1.6882,56.0921972,3.7361124
2018-02-23,1.2326656579971313,1.3953033685684204,3.0365,2.455,22.7974,1.5243,480.62,1.6882,55.967617000000004,3.7421565
2018-02-26,1.228712558746338,1.3968042135238647,3.0572,2.467,22.4163,1.5157,480.82,1.6882,55.3010121,3.7392319
2018-02-27,1.2315573692321777,1.3966480493545532,3.035,2.468,22.6907,1.5295,480.75,1.6882,56.0006476,3.7748060000000003
2018-02-28,1.2230321168899536,1.3906078338623047,3.0095,2.458,22.8328,1.5326,480.8,1.6882,56.1230224,3.7671308000000003
2018-03-01,1.2191256284713745,1.375421166419983,3.0202,2.452,23.0807,1.5391,480.93,1.6882,56.5938764,3.7738731999999997
2018-03-02,1.2270842790603638,1.377543330192566,3.0301,2.45,23.0959,1.5409,480.78,1.6882,56.58495500000001,3.775205
2018-03-05,1.2315422296524048,1.3795006275177002,3.0248,2.442,23.0039,1.5464,480.75,1.6882,56.17552380000001,3.7763088000000002
