Date,G0GE,G1GE,G2GE,G3GE,G4GE,GAGE,GDAM,GDAZ,GDGE,GDRU,GDTR,GJGE
2016-05-06,,,,,,,98.14,96.02,110.13,118.21,110.09,
2016-05-09,,,,,,,98.12,96.27,110.13,118.32,110.21,
2016-05-10,,,,,,,98.25,96.27,110.13,118.29,110.42,
2016-05-11,,,,,,,98.37,96.52,110.13,118.44,110.54,
2016-05-12,,,,,,,98.55,97.52,110.38,118.91,110.88,
2016-05-13,,,,,,,98.56,97.27,110.38,118.77,110.56,
2016-05-16,,,,,,,98.56,97.27,110.46,118.86,110.48,
2016-05-17,,,,,,,98.55,97.77,110.63,118.87,110.69,
2016-05-18,,,,,,,98.73,97.52,110.63,118.7,110.31,
2016-05-19,,,,,,,97.87,96.52,110.13,118.27,109.66,
2016-05-20,,,,,,,97.87,96.77,110.13,118.22,109.63,
2016-05-23,,,,,,,97.76,96.77,110.0,117.9,109.21,
2016-05-24,,,,,,,97.8,96.77,110.0,118.11,109.5,
2016-05-25,,,,,,,97.88,96.77,110.0,118.18,109.69,
2016-05-26,,,,,,,98.0,96.52,110.0,118.17,109.85,
2016-05-27,,,,,,,97.95,96.52,110.0,118.15,109.83,
2016-05-30,,,,,,,97.95,96.52,110.0,118.15,109.83,
2016-05-31,,,,,,,97.78,96.27,109.95,118.25,109.89,
2016-06-01,,,,,,,97.96,96.52,110.0,118.31,110.09,
2016-06-02,,,,,,,97.96,96.52,110.0,118.44,110.41,
2016-06-03,,,,,,,98.22,96.82,110.0,118.83,111.32,
2016-06-06,,,,,,,98.39,97.08,110.0,119.01,111.68,
2016-06-07,,,,,,,99.26,97.45,110.39,119.18,111.95,
2016-06-08,,,,,,,99.62,98.06,110.45,119.7,112.37,
2016-06-09,,,,,,,99.94,98.66,110.38,119.37,112.17,
2016-06-10,,,,,,,99.9,98.83,110.25,119.22,111.84,
2016-06-13,,,,,,,99.56,98.5,110.31,118.97,111.53,
2016-06-14,,,,,,,99.38,98.0,110.15,118.7,110.88,
2016-06-15,,,,,,,99.3,97.5,109.9,118.77,110.95,
2016-06-16,,,,,,,99.37,97.81,109.98,118.81,111.17,
2016-06-17,,,,,,,99.42,98.38,110.0,118.8,111.76,
2016-06-20,,,,,,,100.07,99.51,110.0,119.11,112.29,
2016-06-21,,,,,,,100.25,99.88,110.38,119.29,112.33,
2016-06-22,,,,,,,100.19,99.38,110.28,119.35,112.56,
2016-06-23,,,,,,,101.44,99.38,110.13,119.57,112.74,
2016-06-24,,,,,,,100.44,98.63,109.28,118.92,111.59,
2016-06-27,,,,,,,100.45,98.88,109.54,119.21,112.15,
2016-06-28,,,,,,,100.82,100.38,109.52,119.64,112.9,
2016-06-29,,,,,,,101.2,100.63,110.38,120.26,114.14,
2016-06-30,,,,,,,101.06,101.13,110.01,119.51,113.78,
2016-07-01,,,,,,,101.78,102.13,110.3,119.84,114.41,
2016-07-04,,,,,,,101.78,102.13,110.3,119.84,114.41,
2016-07-05,,,,,,,101.97,101.13,110.54,119.82,114.3,
2016-07-06,,,,,,,102.99,101.13,110.41,119.72,114.26,
2016-07-07,,,,,,,103.18,101.13,110.33,119.78,114.55,
2016-07-08,,,,,,,103.34,101.38,110.31,119.81,115.22,
2016-07-11,,,,,,,103.69,101.63,110.67,119.94,116.28,
2016-07-12,,,,,,,103.88,101.51,110.67,119.94,115.98,
2016-07-13,,,,,,,104.09,102.63,110.74,119.89,115.69,
2016-07-14,,,,,,,106.18,102.88,110.76,119.95,115.4,
2016-07-15,,,,,,,106.25,103.63,110.76,119.79,114.96,
2016-07-18,,,,,,,105.77,103.38,110.76,119.51,113.15,
2016-07-19,,,,,,,105.65,103.38,110.9,119.45,111.19,
2016-07-20,,,,,,,105.63,103.38,111.0,119.43,109.59,
2016-07-21,,,,,,,105.75,103.88,111.0,119.5,109.06,
2016-07-22,,,,,,,105.25,102.88,110.88,119.51,110.09,
2016-07-25,,,,,,,105.25,102.88,110.8,119.42,110.33,
2016-07-26,,,,,,,105.23,102.0,110.65,119.24,109.93,
2016-07-27,,,,,,,104.02,102.0,110.75,119.28,110.1,
2016-07-28,,,,,,,104.19,101.77,110.75,119.34,110.53,
2016-07-29,,,,,,,103.86,101.09,110.75,119.18,109.95,
2016-07-31,,,,,,,103.86,101.09,110.75,119.18,110.21,
2016-08-01,,,,,,,103.82,101.33,110.94,119.39,110.91,
