Date,G0GE,G1GE,G2GE,G3GE,G4GE,GAGE,GDAM,GDAZ,GDGE,GDRU,GDTR,GJGE
2016-05-06,,,,,,,108.907,105.823,203.418,594.154,596.153,
2016-05-09,,,,,,,108.952,106.14,203.523,594.982,597.108,
2016-05-10,,,,,,,109.114,106.154,203.558,594.913,598.277,
2016-05-11,,,,,,,109.261,106.442,203.593,595.785,599.056,
2016-05-12,,,,,,,109.488,107.552,204.088,598.198,600.97,
2016-05-13,,,,,,,109.516,107.292,204.123,597.628,599.353,
2016-05-16,,,,,,,109.573,107.336,204.378,598.336,599.173,
2016-05-17,,,,,,,109.585,107.897,204.724,598.517,600.391,
2016-05-18,,,,,,,109.805,107.638,204.759,597.763,598.432,
2016-05-19,,,,,,,108.877,106.558,203.874,595.699,595.08,
2016-05-20,,,,,,,108.891,106.846,203.909,595.572,595.017,
2016-05-23,,,,,,,108.839,106.889,203.785,594.266,593.046,
2016-05-24,,,,,,,108.9,106.904,203.82,595.432,594.668,
2016-05-25,,,,,,,109.003,106.918,203.855,595.87,595.797,
2016-05-26,,,,,,,109.161,106.659,203.89,595.944,596.733,
2016-05-27,,,,,,,109.121,106.674,203.925,595.914,596.75,
2016-05-30,,,,,,,109.162,106.717,204.031,596.115,596.936,
2016-05-31,,,,,,,108.996,106.443,203.939,596.708,596.664,
2016-06-01,,,,,,,109.214,106.731,204.066,597.103,597.841,
2016-06-02,,,,,,,109.232,106.746,204.101,597.85,599.671,
2016-06-03,,,,,,,109.544,107.092,204.136,599.917,604.622,
2016-06-06,,,,,,,109.791,107.414,204.242,601.094,606.833,
2016-06-07,,,,,,,110.77,107.837,204.994,602.045,608.339,
2016-06-08,,,,,,,111.182,108.518,205.139,604.711,610.68,
2016-06-09,,,,,,,111.557,109.194,205.037,603.191,609.703,
2016-06-10,,,,,,,111.53,109.394,204.842,602.537,608.041,
2016-06-13,,,,,,,111.224,109.072,205.058,601.606,606.688,
2016-06-14,,,,,,,111.038,108.539,204.798,600.348,603.295,
2016-06-15,,,,,,,110.98,108.006,204.374,600.777,603.737,
