Date,Price
5/8/2026,369.01
5/7/2026,369.28
5/6/2026,370
5/5/2026,370.44
5/4/2026,370.78
5/1/2026,370.78
4/30/2026,371.19
4/29/2026,371.4
4/28/2026,371.4
4/27/2026,371.56
4/24/2026,371.83
4/23/2026,371.83
4/22/2026,372.38
4/21/2026,372.59
4/20/2026,373.81
4/17/2026,373.81
4/16/2026,374.16
4/15/2026,374.48
4/14/2026,375.19
4/13/2026,375.73
4/10/2026,375.73
4/9/2026,376.06
4/8/2026,376.32
4/7/2026,376.47
4/6/2026,377.5
4/3/2026,376.98
4/2/2026,376.96
4/1/2026,377.23
3/31/2026,377.16
3/30/2026,377.54
3/27/2026,377.18
3/26/2026,377.36
3/25/2026,377.2
3/24/2026,377.32
3/23/2026,377.5
3/20/2026,377.5
3/19/2026,377.5
3/18/2026,377.39
3/17/2026,377.46
3/16/2026,377.54
3/13/2026,377.54
3/12/2026,377.44
3/11/2026,377.27
3/10/2026,377.41
3/9/2026,377.29
3/6/2026,377.31
3/5/2026,377.59
3/4/2026,377.86
3/3/2026,376.99
3/2/2026,376.88
2/27/2026,377
2/26/2026,377.01
2/25/2026,376.92
2/24/2026,377.84
2/23/2026,376.97
2/20/2026,376.82
2/19/2026,376.5
2/18/2026,377.69
2/17/2026,376.83
2/16/2026,377.67
2/13/2026,376.94
2/12/2026,377.57
2/11/2026,377.88
2/10/2026,377.97
2/9/2026,377.69
2/6/2026,377.7
2/5/2026,378.01
2/4/2026,379
2/3/2026,378.44
2/2/2026,379.03
1/30/2026,378.64
1/29/2026,379.1
1/28/2026,378.86
1/27/2026,378.86
1/26/2026,378.86
1/23/2026,379.07
1/22/2026,379
1/21/2026,381
1/20/2026,379.21
1/19/2026,378.89
1/16/2026,379.99
1/15/2026,379.42
1/14/2026,381
1/13/2026,380.83
1/12/2026,381.15
1/9/2026,381.21
1/8/2026,381.39
1/7/2026,381
1/6/2026,381.55
1/5/2026,381.55
1/2/2026,381.36
1/1/2026,381.36
12/31/2025,381.36
12/30/2025,381.35
12/29/2025,381.46
12/26/2025,381.47
12/25/2025,381.46
12/24/2025,381.46
12/23/2025,381.55
12/22/2025,381.5
12/19/2025,381.47
12/18/2025,381.48
12/17/2025,381.57
12/16/2025,381.5
12/15/2025,381.7
12/12/2025,381.77
12/11/2025,381.84
12/10/2025,381.82
12/9/2025,381.66
12/8/2025,381.55
12/5/2025,381.5
12/4/2025,381.14
12/3/2025,381.2
12/2/2025,381.24
12/1/2025,381.19
11/28/2025,381.43
11/27/2025,381.12
11/26/2025,381.12
11/25/2025,381.31
11/24/2025,381.6
11/21/2025,382.05
11/20/2025,382.05
11/19/2025,381.47
11/18/2025,383.5
11/17/2025,381.72
11/14/2025,382.12
11/13/2025,382.28
11/12/2025,383
11/11/2025,382.52
11/10/2025,382.61
11/7/2025,382.54
11/6/2025,382.48
11/5/2025,382.57
11/4/2025,382.55
11/3/2025,383
10/31/2025,382.65
10/30/2025,382.72
10/29/2025,382.62
10/28/2025,382.78
10/27/2025,382.7
10/24/2025,383.05
10/23/2025,382.54
10/22/2025,382.51
10/21/2025,382.53
10/20/2025,382.5
10/17/2025,382.59
10/16/2025,382.48
10/15/2025,382.67
10/14/2025,382.77
10/13/2025,382.57
10/10/2025,382.68
10/9/2025,382.55
10/8/2025,382.75
10/7/2025,382.58
10/6/2025,382.58
10/3/2025,382.76
10/2/2025,383.34
10/1/2025,382.74
9/30/2025,382.52
9/29/2025,382.75
9/26/2025,382.71
9/25/2025,383.47
9/24/2025,383
9/23/2025,382.85
9/22/2025,383.45
9/19/2025,382.85
9/18/2025,382.59
9/17/2025,382.94
9/16/2025,382
9/15/2025,383.12
9/12/2025,383.47
9/11/2025,382.75
9/10/2025,382.49
9/9/2025,382.95
9/8/2025,382.5
9/5/2025,382.77
9/4/2025,382.25
9/3/2025,382.65
9/2/2025,382.68
9/1/2025,382.61
8/29/2025,382.52
8/28/2025,382.97
8/27/2025,382.25
8/26/2025,382.42
8/25/2025,382.82
8/22/2025,382.62
8/21/2025,382
8/20/2025,383.5
8/19/2025,382.97
8/18/2025,383.27
8/15/2025,383.1
8/14/2025,383.5
8/13/2025,383.56
8/12/2025,383.81
8/11/2025,383.58
8/8/2025,383.59
8/7/2025,383.5
8/6/2025,383.68
8/5/2025,384.03
8/4/2025,383.56
8/1/2025,383.55
7/31/2025,383.82
7/30/2025,383.84
7/29/2025,383.84
7/28/2025,383.77
7/25/2025,383.94
7/24/2025,383.74
7/23/2025,383.9
7/22/2025,383.83
7/21/2025,383.83
7/18/2025,384.23
7/17/2025,384.12
7/16/2025,383.96
7/15/2025,384.12
7/14/2025,384.14
7/11/2025,383.91
7/10/2025,383.5
7/9/2025,383.82
7/8/2025,384.19
7/7/2025,384.11
7/4/2025,384.5
7/3/2025,384.46
7/2/2025,384.51
7/1/2025,385.32
6/30/2025,384.47
6/27/2025,385.5
6/26/2025,384.91
6/25/2025,385.29
6/24/2025,385.62
6/23/2025,386.08
6/20/2025,385.5
6/19/2025,383.5
6/18/2025,384.44
6/17/2025,384.28
6/16/2025,383.76
6/13/2025,383.23
6/12/2025,383.48
6/11/2025,383.25
6/10/2025,383.5
6/9/2025,383.1
6/6/2025,383.22
6/5/2025,383.5
6/4/2025,383.94
6/3/2025,383.94
6/2/2025,383.94
5/30/2025,383.94
5/29/2025,384.44
5/28/2025,384.44
5/27/2025,384.44
5/26/2025,384.44
5/23/2025,384.44
5/22/2025,384.44
5/21/2025,386.5
5/20/2025,384.92
5/19/2025,386.2
5/16/2025,386.33
