Date,Price
5/8/2026,2.683
5/7/2026,2.68
5/6/2026,2.681
5/5/2026,2.682
5/4/2026,2.682
5/1/2026,2.683
4/30/2026,2.684
4/29/2026,2.685
4/28/2026,2.685
4/27/2026,2.686
4/24/2026,2.686
4/23/2026,2.686
4/22/2026,2.6865
4/21/2026,2.6865
4/20/2026,2.685
4/17/2026,2.686
4/16/2026,2.687
4/15/2026,2.688
4/14/2026,2.688
4/13/2026,2.691
4/10/2026,2.691
4/9/2026,2.691
4/8/2026,2.691
4/7/2026,2.688
4/6/2026,2.688
4/3/2026,2.695
4/2/2026,2.6926
4/1/2026,2.6926
3/31/2026,2.6929
3/30/2026,2.6938
3/27/2026,2.69
3/26/2026,2.699
3/25/2026,2.699
3/24/2026,2.705
3/23/2026,2.72
3/20/2026,2.715
3/19/2026,2.721
3/18/2026,2.717
3/17/2026,2.713
3/16/2026,2.72
3/13/2026,2.73
3/12/2026,2.722
3/11/2026,2.725
3/10/2026,2.722
3/9/2026,2.744
3/6/2026,2.74
3/5/2026,2.735
3/4/2026,2.724
3/3/2026,2.704
3/2/2026,2.71
2/27/2026,2.674
2/26/2026,2.674
2/25/2026,2.673
2/24/2026,2.673
2/23/2026,2.674
2/20/2026,2.675
2/19/2026,2.676
2/18/2026,2.677
2/17/2026,2.677
2/16/2026,2.678
2/13/2026,2.679
2/12/2026,2.68
2/11/2026,2.682
2/10/2026,2.682
2/9/2026,2.683
2/6/2026,2.686
2/5/2026,2.687
2/4/2026,2.687
2/3/2026,2.688
2/2/2026,2.6885
1/30/2026,2.69
1/29/2026,2.691
1/28/2026,2.692
1/27/2026,2.692
1/26/2026,2.692
1/23/2026,2.694
1/22/2026,2.694
1/21/2026,2.694
1/20/2026,2.694
1/19/2026,2.694
1/16/2026,2.694
1/15/2026,2.6945
1/14/2026,2.6955
1/13/2026,2.6955
1/12/2026,2.696
1/9/2026,2.696
1/8/2026,2.696
1/7/2026,2.696
1/6/2026,2.696
1/5/2026,2.696
1/2/2026,2.696
1/1/2026,2.696
12/31/2025,2.696
12/30/2025,2.694
12/29/2025,2.693
12/26/2025,2.694
12/25/2025,2.695
12/24/2025,2.695
12/23/2025,2.696
12/22/2025,2.697
12/19/2025,2.698
12/18/2025,2.696
12/17/2025,2.696
12/16/2025,2.696
12/15/2025,2.696
12/12/2025,2.696
12/11/2025,2.697
12/10/2025,2.7013
12/9/2025,2.698
12/8/2025,2.698
12/5/2025,2.698
12/4/2025,2.699
12/3/2025,2.7
12/2/2025,2.698
12/1/2025,2.699
11/28/2025,2.7
11/27/2025,2.702
11/26/2025,2.703
11/25/2025,2.704
11/24/2025,2.704
11/21/2025,2.704
11/20/2025,2.705
11/19/2025,2.706
11/18/2025,2.7056
11/17/2025,2.706
11/14/2025,2.707
11/13/2025,2.707
11/12/2025,2.705
11/11/2025,2.705
11/10/2025,2.704
11/7/2025,2.705
11/6/2025,2.707
11/5/2025,2.707
11/4/2025,2.709
11/3/2025,2.709
10/31/2025,2.711
10/30/2025,2.713
10/29/2025,2.713
10/28/2025,2.717
10/27/2025,2.719
10/24/2025,2.712
10/23/2025,2.725
10/22/2025,2.714
10/21/2025,2.708
10/20/2025,2.714
10/17/2025,2.706
10/16/2025,2.706
10/15/2025,2.709
10/14/2025,2.709
10/13/2025,2.709
10/10/2025,2.71
10/9/2025,2.71
10/8/2025,2.71
10/7/2025,2.712
10/6/2025,2.715
10/3/2025,2.725
10/2/2025,2.722
10/1/2025,2.726
9/30/2025,2.721
9/29/2025,2.711
9/26/2025,2.707
9/25/2025,2.708
9/24/2025,2.709
9/23/2025,2.708
9/22/2025,2.724
9/19/2025,2.732
9/18/2025,2.74
9/17/2025,2.7215
9/16/2025,2.7085
9/15/2025,2.7055
9/12/2025,2.7015
9/11/2025,2.6985
9/10/2025,2.693
9/9/2025,2.692
9/8/2025,2.693
9/5/2025,2.693
9/4/2025,2.694
9/3/2025,2.696
9/2/2025,2.695
9/1/2025,2.694
8/29/2025,2.695
8/28/2025,2.695
8/27/2025,2.695
8/26/2025,2.699
8/25/2025,2.695
8/22/2025,2.702
8/21/2025,2.704
8/20/2025,2.702
8/19/2025,2.697
8/18/2025,2.699
8/15/2025,2.695
8/14/2025,2.7
8/13/2025,2.7275
8/12/2025,2.697
8/11/2025,2.692
8/8/2025,2.694
8/7/2025,2.695
8/6/2025,2.697
8/5/2025,2.6985
8/4/2025,2.7005
8/1/2025,2.7025
7/31/2025,2.7035
7/30/2025,2.7045
7/29/2025,2.7045
7/28/2025,2.7045
7/25/2025,2.707
7/24/2025,2.707
7/23/2025,2.708
7/22/2025,2.708
7/21/2025,2.709
7/18/2025,2.71
7/17/2025,2.71
7/16/2025,2.711
7/15/2025,2.712
7/14/2025,2.713
7/11/2025,2.7128
7/10/2025,2.716
7/9/2025,2.716
7/8/2025,2.7168
7/7/2025,2.716
7/4/2025,2.717
7/3/2025,2.718
7/2/2025,2.718
7/1/2025,2.719
6/30/2025,2.721
6/27/2025,2.723
6/26/2025,2.723
6/25/2025,2.723
6/24/2025,2.723
6/23/2025,2.724
6/20/2025,2.725
6/19/2025,2.725
6/18/2025,2.725
6/17/2025,2.726
6/16/2025,2.727
6/13/2025,2.728
6/12/2025,2.728
6/11/2025,2.728
6/10/2025,2.729
6/9/2025,2.729
6/6/2025,2.73
6/5/2025,2.731
