isin,issuer,ticker,currency,coupon,maturity_date,face_value,coupon_frequency,day_count_basis
US900123BB58,Turkey,TURKEY_38_725,USD,7.25,3/5/2038,100,2,30/360
US900123AY60,Turkey,TURKEY_36_688,USD,6.875,3/17/2036,100,2,30/360
US900123CB40,Turkey,TURKEY_43_488,USD,4.875,4/16/2043,100,2,30/360
RU000A0JXU14,Russia,RUSSIA_47_525,USD,5.25,6/23/2047,100,2,30/360
XS0767473852,Russia,RUSSIA_42_563,USD,5.625,4/4/2042,100,2,30/360
XS0088543193,Russia,RUSSIA_28_1275,USD,12.75,6/24/2028,100,2,30/360
RU000A1006S9,Russia,RUSSIA_35_510,USD,5.1,3/28/2035,100,2,30/360
XS3020792696,Armenia,ARMEN_35_675,USD,6.75,3/12/2035,100,2,30/360
XS2010028939,Armenia,ARMEN_31_360,USD,3.6,2/2/2031,100,2,30/360
XS2010043904,Armenia,ARMEN_29_395,USD,3.95,9/26/2029,100,2,30/360
XS1678623734,Azerbaijan,AZERBJ_32_350,USD,3.5,9/1/2032,100,2,30/360
XS1678623064,Azerbaijan,AZERBJ_29_513,USD,5.125,9/1/2029,100,2,30/360
XS2808539410,TBC_Bank,TBC_AT1_1025,USD,10.25,7/29/2029,100,2,30/360
XS2334109423,Georgia,GEO_SOV_26_275,USD,2.75,4/22/2026,100,2,30/360
XS3262542155,Georgia,GEO_SOV_31_513,USD,5.125,1/28/2031,100,2,30/360
XS2801343414,Bank_of_Georgia,BOG_AT1_950,USD,9.5,10/16/2029,100,2,30/360
