Ticker,Name,Sector,Asset Class,Market Value,Weight (%)
AAPL,APPLE INC,Information Technology,Equity,"1,570,802,259.66",8.43
ABBV,ABBVIE INC,Health Care,Equity,"173,240,809.28",0.93
ABT,ABBOTT LABORATORIES,Health Care,Equity,"121,954,722.50",0.65
ACN,ACCENTURE PLC CLASS A,Information Technology,Equity,"103,717,349.08",0.56
ADBE,ADOBE INC,Information Technology,Equity,"94,856,009.23",0.51
AIG,AMERICAN INTERNATIONAL GROUP INC,Financials,Equity,"25,939,897.06",0.14
AMD,ADVANCED MICRO DEVICES INC,Information Technology,Equity,"95,719,185.99",0.51
AMGN,AMGEN INC,Health Care,Equity,"78,164,188.48",0.42
AMT,AMERICAN TOWER REIT CORP,Real Estate,Equity,"53,032,583.34",0.28
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"1,015,153,056.36",5.45
AVGO,BROADCOM INC,Information Technology,Equity,"574,109,843.28",3.08
AXP,AMERICAN EXPRESS,Financials,Equity,"84,764,246.58",0.46
BA,BOEING,Industrials,Equity,"81,288,416.72",0.44
BAC,BANK OF AMERICA CORP,Financials,Equity,"153,176,356.80",0.82
BK,BANK OF NEW YORK MELLON CORP,Financials,Equity,"34,243,256.03",0.18
BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,Equity,"94,299,902.40",0.51
BLK,BLACKROCK INC,Financials,Equity,"75,098,181.42",0.4
BMY,BRISTOL MYERS SQUIBB,Health Care,Equity,"50,919,063.05",0.27
BRK.B,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,"494,182,742.58",2.65
C,CITIGROUP INC,Financials,Equity,"73,485,051.45",0.39
CAT,CATERPILLAR INC,Industrials,Equity,"87,903,375.93",0.47
CHTR,CHARTER COMMUNICATIONS INC CLASS A,Communication,Equity,"21,001,497.52",0.11
CL,COLGATE-PALMOLIVE,Consumer Staples,Equity,"40,242,206.52",0.22
CMCSA,COMCAST CORP CLASS A,Communication,Equity,"69,718,835.80",0.37
COF,CAPITAL ONE FINANCIAL CORP,Financials,Equity,"63,109,133.64",0.34
COP,CONOCOPHILLIPS,Energy,Equity,"58,206,663.83",0.31
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,"239,719,441.50",1.29
CRM,SALESFORCE INC,Information Technology,Equity,"139,965,741.63",0.75
CSCO,CISCO SYSTEMS INC,Information Technology,Equity,"134,599,493.36",0.72
CVS,CVS HEALTH CORP,Health Care,Equity,"41,079,776.43",0.22
CVX,CHEVRON CORP,Energy,Equity,"122,199,476.88",0.66
DE,DEERE,Industrials,Equity,"69,191,679.24",0.37
DHR,DANAHER CORP,Health Care,Equity,"63,250,531.38",0.34
DIS,WALT DISNEY,Communication,Equity,"106,212,690.48",0.57
DUK,DUKE ENERGY CORP,Utilities,Equity,"48,417,554.13",0.26
EMR,EMERSON ELECTRIC,Industrials,Equity,"35,713,564.32",0.19
ESM5,S&P500 EMINI JUN 25,Cash and/or Derivatives,Futures,0,0
FDX,FEDEX CORP,Industrials,Equity,"25,709,007.68",0.14
GD,GENERAL DYNAMICS CORP,Industrials,Equity,"37,341,547.25",0.2
GE,GE AEROSPACE,Industrials,Equity,"133,786,740.90",0.72
GILD,GILEAD SCIENCES INC,Health Care,Equity,"71,659,382.22",0.38
GM,GENERAL MOTORS,Consumer Discretionary,Equity,"25,949,238.12",0.14
GOOG,ALPHABET INC CLASS C,Communication,Equity,"429,322,681.47",2.3
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"526,220,256.75",2.83
GS,GOLDMAN SACHS GROUP INC,Financials,Equity,"100,033,990.20",0.54
HD,HOME DEPOT INC,Consumer Discretionary,Equity,"192,941,408.24",1.04
HON,HONEYWELL INTERNATIONAL INC,Industrials,Equity,"77,329,940.58",0.42
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,Equity,"128,057,023.68",0.69
INTC,INTEL CORPORATION CORP,Information Technology,Equity,"46,498,837.20",0.25
INTU,INTUIT INC,Information Technology,Equity,"107,969,811.03",0.58
ISRG,INTUITIVE SURGICAL INC,Health Care,Equity,"103,059,693.56",0.55
JNJ,JOHNSON & JOHNSON,Health Care,Equity,"197,184,624.36",1.06
JPM,JPMORGAN CHASE & CO,Financials,Equity,"390,355,608.09",2.1
KO,COCA-COLA,Consumer Staples,Equity,"148,805,047.20",0.8
LIN,LINDE PLC,Materials,Equity,"117,023,171.20",0.63
LLY,ELI LILLY,Health Care,Equity,"301,159,926.44",1.62
LMT,LOCKHEED MARTIN CORP,Industrials,Equity,"52,600,833.92",0.28
LOW,LOWES COMPANIES INC,Consumer Discretionary,Equity,"66,843,388.41",0.36
MA,MASTERCARD INC CLASS A,Financials,Equity,"245,764,839.24",1.32
MARGIN_USD,FUTURES USD MARGIN BALANCE,Cash and/or Derivatives,Cash Collateral and Margins,"-258,375.00",0
MCD,MCDONALDS CORP,Consumer Discretionary,Equity,"120,722,843.47",0.65
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Consumer Staples,Equity,"45,823,313.22",0.25
MDT,MEDTRONIC PLC,Health Care,Equity,"55,407,716.12",0.3
MET,METLIFE INC,Financials,Equity,"23,941,431.22",0.13
META,META PLATFORMS INC CLASS A,Communication,Equity,"735,322,536.06",3.95
MMM,3M,Industrials,Equity,"42,913,429.24",0.23
MO,ALTRIA GROUP INC,Consumer Staples,Equity,"54,230,120.06",0.29
MRK,MERCK & CO INC,Health Care,Equity,"105,089,402.52",0.56
MS,MORGAN STANLEY,Financials,Equity,"83,536,503.40",0.45
MSFT,MICROSOFT CORP,Information Technology,Equity,"1,792,116,159.84",9.62
MSFUT,CASH COLLATERAL MSFUT USD,Cash and/or Derivatives,Cash Collateral and Margins,"3,167,640.00",0.02
NEE,NEXTERA ENERGY INC,Utilities,Equity,"74,615,889.04",0.4
NFLX,NETFLIX INC,Communication,Equity,"271,574,034.39",1.46
NKE,NIKE INC CLASS B,Consumer Discretionary,Equity,"37,970,992.78",0.2
NOW,SERVICENOW INC,Information Technology,Equity,"110,830,220.76",0.6
NVDA,NVIDIA CORP,Information Technology,Equity,"1,721,777,234.74",9.24
ORCL,ORACLE CORP,Information Technology,Equity,"135,489,891.24",0.73
PEP,PEPSICO INC,Consumer Staples,Equity,"94,987,684.02",0.51
PFE,PFIZER INC,Health Care,Equity,"70,768,271.20",0.38
PG,PROCTER & GAMBLE,Consumer Staples,Equity,"208,260,450.40",1.12
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,Information Technology,Equity,"135,358,003.55",0.73
PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,Equity,"148,368,121.60",0.8
PYPL,PAYPAL HOLDINGS INC,Financials,Equity,"37,006,250.60",0.2
